,PALMER AV/HUTCHINSON RVR PY E,ORCHARD BEACH CIR/CITY ISLAND RD,CITY ISLAND AV/CROSS ST,BARTOW AV/REAR OF PATHMARK,CHARLES CRIMI RD/SUBWAY OVERPASS BAY,BAY PLAZA BL/APPLEBEE'S,HUTCHINSON RVR PKY/EINSTEIN LOOP S,CITY ISLAND AV/PELL PL,CITY ISLAND AV/BEACH ST,CITY ISLAND AV/DITMARS ST,CITY ISLAND AV/ROCHELLE ST,CITY ISLAND AV/FORDHAM ST,CITY ISLAND RD/SHORE RD,BARTOW AV/CO-OP CITY BL,CHARLES CRIMI BL/SUBWAY OVERPASS,STILLWELL AV/PALMER AV,CO-OP CITY BL/BARTOW AV,ERSKINE PL/DEREIMER AV,BRUCKNER BL/WILKINSON AV,CITY ISLAND AV/KILROE ST,PALMER AV/STILLWELL AV,HUTCHINSON RVR PY E/BOLLER AV,HUTCHINSON RVR PY E/EINSTEIN LOOP N,CITY ISLAND AV/SUTHERLAND ST,BAY PLAZA BL/CO-OP CITY BL,CITY ISLAND AV/SCHOFIELD ST,CITY ISLAND RD/CITY ISLAND CIR,CITY ISLAND AV/PILOT ST,CITY ISLAND AV/WINTERS ST,HUTCHINSON RVR PY E/EINSTEIN LOOP S,HUTCHINSON RVR PKY/EINSTEIN LOOP N,West Farms Depot (WF)
PALMER AV/HUTCHINSON RVR PY E,,,,,,,,,,,,,,,,0.15 CITY ISLAND,,,,,,,,,,,,,,,,
ORCHARD BEACH CIR/CITY ISLAND RD,,,,,,,,,,,,,,,,,,,,1.836 CITY ISLAND,,,,,,,,,,,,
CITY ISLAND AV/CROSS ST,,,,,,,,,0.153 CITY ISLAND,,,,,,,,,,,0.313 CO-OP CITY BAY PLAZA,,,,,,,,,,,,
BARTOW AV/REAR OF PATHMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614 CITY ISLAND,
CHARLES CRIMI RD/SUBWAY OVERPASS BAY,,,,,,,,,,,,,,,,,,,,,1.043 CO-OP CITY BAY PLAZA,,,,,,,,,,,
BAY PLAZA BL/APPLEBEE'S,,,,,,,,,,,,,,,,,,,,,,,,,0.393 CO-OP CITY BAY PLAZA,,,,,,,
HUTCHINSON RVR PKY/EINSTEIN LOOP S,0.349 CITY ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY ISLAND AV/PELL PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 CITY ISLAND,0.331 CO-OP CITY BAY PLAZA,,,
CITY ISLAND AV/BEACH ST,,,0.153 CO-OP CITY BAY PLAZA,,,,,,,0.331 CITY ISLAND,,,,,,,,,,,,,,,,,,,,,,
CITY ISLAND AV/DITMARS ST,,,,,,,,,0.331 CO-OP CITY BAY PLAZA,,,0.321 CITY ISLAND,,,,,,,,,,,,,,,,,,,,
CITY ISLAND AV/ROCHELLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 CO-OP CITY BAY PLAZA,,,,
CITY ISLAND AV/FORDHAM ST,,,,,,,,,,0.321 CO-OP CITY BAY PLAZA,,,,,,,,,,,,,,,,0.246 CITY ISLAND,,,,,,
CITY ISLAND RD/SHORE RD,,1.344 CITY ISLAND,,,,,,,,,,,,,,,,,2.487 CO-OP CITY BAY PLAZA,,,,,,,,,,,,,
BARTOW AV/CO-OP CITY BL,,,,0.204 CITY ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLES CRIMI BL/SUBWAY OVERPASS,,,,,,,,,,,,,1.81 CITY ISLAND,,,,,,,,,,,,,,,,,,,8.922 to depot of Bx29
STILLWELL AV/PALMER AV,,,,,,,,,,,,,,,,,,0.188 CITY ISLAND,,,,,,,,,,,,,,
CO-OP CITY BL/BARTOW AV,,,,,,,,,,,,,,0.023 CITY ISLAND,,,,,,,,,,,,,,,,,,
ERSKINE PL/DEREIMER AV,,,,,,,,,,,,,,,,,,,1.275 CITY ISLAND,,,,,,,,,,,,,
BRUCKNER BL/WILKINSON AV,,,,,0.182 CO-OP CITY BAY PLAZA,,,,,,,,,,0.17 CITY ISLAND,,,,,,,,,,,,,,,,,
CITY ISLAND AV/KILROE ST,,,0.313 CITY ISLAND,,,,,,,,,,,,,,,,,,,,,0.145 CO-OP CITY BAY PLAZA,,,,,,,,
PALMER AV/STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,0.499 CO-OP CITY BAY PLAZA,,,,,,,,,,
HUTCHINSON RVR PY E/BOLLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.765 CO-OP CITY BAY PLAZA,,
HUTCHINSON RVR PY E/EINSTEIN LOOP N,,,,,,1.445 CO-OP CITY BAY PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY ISLAND AV/SUTHERLAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,1.362 CO-OP CITY BAY PLAZA,,,,,
BAY PLAZA BL/CO-OP CITY BL,,,,,,,,,,,,,,,,,0.335 CO-OP CITY BAY PLAZA,,,,,,,,,,,,,,,
