,HEATH AV/ALBANY CRES,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/MORRIS AV,SEDGWICK AV/VAN CORTLANDT AV W,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/E 204 ST,W MOSHOLU PKY S/JEROME AV,GRAND CONCOURSE/E 203 ST,GRAND CONCOURSE/E MT EDEN AV,W MOSHOLU PY S/PAUL AV,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/BEDFORD PK BL,E 149 ST/MORRIS AV,SEDGWICK AV/HILLMAN AV,ALBANY CR/BAILEY AV,GRAND CONCOURSE/E 187 ST,W 231 ST/KINGSBRIDGE AV,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E 170 ST,W MOSHOLU PKY S/PAUL AV,GRAND CONCOURSE/E 174 ST,W 231 ST/BROADWAY,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 196 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/E 182 ST,HEATH AV/SUMMIT PL,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E KINGSBRIDGE RD,3 AV/E 138 ST,GRAND CONCOURSE/E 180 ST,E 136 ST/LINCOLN AV,SEDGWICK AV/STEVENSON PL 1,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 198 ST,E MOSHOLU PKY S/JEROME AV,W 231 ST/CORLEAR AV,GRAND CONCOURSE/E 181 ST,GRAND CONCOURSE/E 169 ST,GRAND CONCOURSE/E 177 ST,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 153 ST,3 AV/E 144 ST,GRAND CONCOURSE/E 175 ST,GRAND CONCOURSE/E TREMONT AV,W 231 ST/TIBBETT AV,SEDGWICK AV/FT INDEPENDENCE ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E MOSHOLU PY S,SEDGWICK AV/STEVENSON PL 2,E 149 ST/GRAND CONCOURSE,SEDGWICK AV/DICKINSON AV,3 AV/E 140 ST,E 149 ST/MELROSE AV,GRAND CONCOURSE/MC CLELLAN ST,E 149 ST/COURTLANDT AV,GRAND CONCOURSE/MT EDEN AV,GRAND CONCOURSE/E 156 ST,SEDGWICK AV/STEVENSON PL,3 AV/E 142 ST,GRAND CONCOURSE/E 163 ST,SEDGWICK AV/GILES PL,Kingsbridge Depot (KB)
HEATH AV/ALBANY CRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/CROSS BX EXP OVERPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/FIELD PL,,,,,,,,,,,,,,,,,,,,0.201 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,0.654 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,
GRAND CONCOURSE/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,
GRAND CONCOURSE/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,0.273 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/VAN CORTLANDT AV W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,
GRAND CONCOURSE/E 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,0.899 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,
GRAND CONCOURSE/E 204 ST,,,,,,,,,0.0 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,0.262 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W MOSHOLU PKY S/JEROME AV,,,,,,,,,,,,,,,,,,,,,,0.458 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
