,E GUN HILL RD/LACONIA AV,HUTCHINSON RVR PY E/BOLLER AV,BAYCHESTER AV/750 BAYCHESTER AV,BOSTON RD/DYRE AV,E GUN HILL RD/DECATOUR AV,E GUN HILL RD/HULL AV,PEARTREE AV/GIVAN AV,E GUN HILL RD/TRYON AV,DREISER LOOP/CO-OP CITY BL,BARTOW AV/CO-OP CITY BL,E GUN HILL RD/PAULDING AV,BAYCHESTER AV/DARROW PL,ASCH LOOP/ALCOTT PL,CO-OP CITY BL/PEARTREE AV,E GUN HILL RD/BRONXWOOD AV,E GUN HILL RD/WEBSTER AV,VAN CORTLANDT AV E/ROCHAMBEAU AV,E GUN HILL RD/WHITE PLAINS RD,BARTOW AV/REAR OF PATHMARK,EARHART LA/ERSKINE PL,BOSTON RD/STEENWICK AV,BOSTON RD/CONNER ST,HUTCHINSON RVR PY E/EINSTEIN LOOP N,BOSTON RD/WILSON AV,DREISER LOOP/DEFOE PLACE,PEARTREE AV/CONNER  ST,BOSTON RD/BAYCHESTER AV,BAINBRIDGE AV/E 210 ST,ASCH LOOP/CO-OP CITY BL,HUTCHINSON RVR PY E/EINSTEIN LOOP S,BOSTON RD/GRACE AV,BOSTON RD/BRUNER AV,BAINBRIDGE AV/E GUN HILL RD,HUNTER AV/BOLLER AV,BOSTON RD/PROVOST AV,E MOSHOLU PY N/VAN CORTLANDT AV E,BOSTON RD/E GUN HILL RD,CO-OP CITY BL/CARVER LOOP  #1,HUNTER AV/EARHART LA,BOSTON RD/EASTCHESTER RD,BAYCHESTER AV/ALDRICH ST,BOSTON RD/PALMER AV,BOSTON RD/KINGSLAND AV,BOSTON RD/BIVONA ST,E GUN HILL RD/OLINVILLE AV,BOSTON RD/SEYMOUR AV,DREISER LOOP/DEBS PL,BOSTON RD/WICKHAM AV,E GUN HILL RD/BARNES AV,HUTCHINSON RVR PKY/EINSTEIN LOOP N,BAYCHESTER AV/DONIZETTI PL,E GUN HILL RD/PUTNAM PL,BOSTON RD/ELY AV,BAINBRIDGE AV/RESERVOIR OVAL E,E 206 ST/ROCHAMBEAU AV,ERSKINE PL/EARHART LA,CO-OP CITY BL/CARVER LOOP #2,BAINBRIDGE AV/VAN CORTLANDT AV E,ASCH LOOP/BARTOW AV,E GUN HILL RD/BOSTON RD,BOSTON RD/BOLLER AV,HUTCHINSON RVR PKY/EINSTEIN LOOP S,BOSTON RD/TIEMANN AV,West Farms Depot (WF)
E GUN HILL RD/LACONIA AV,,,,,,,,,,,0.225 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/BOLLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.765 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYCHESTER AV/750 BAYCHESTER AV,,,,,,,,,0.986 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/DYRE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/DECATOUR AV,,,,,,0.079 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/HULL AV,,,,,,,,0.321 NORWOOD 205 ST STATION,,,,,,,,0.164 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEARTREE AV/GIVAN AV,,,,,,,,,,,,,,0.218 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/TRYON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,0.141 CO-OP CITY EARHART LANE,,,,,,,,,,,,
DREISER LOOP/CO-OP CITY BL,,,,,,,,,,,,1.136 CO-OP CITY EARHART LANE,,,,,,,,,,,,,0.488 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,0.267 CO-OP CITY EARHART LANE,,,,,,,,,,0.326 NORWOOD 205 ST STATION,,,,,,,
BARTOW AV/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,0.204 CO-OP CITY EARHART LANE,,,,,,,,,,3.087 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
