,EASTCHESTER RD/NEEDHAM AV,EASTCHESTER RD/IVES ST,LACONIA AV/E 232 ST,E 233 ST/BUSSING AV,E 229 ST/SCHIEFFELIN PL,EASTCHESTER RD/WATERS PL,KATONAH AV/E 242 ST,KATONAH AV/E 239 ST,EASTCHESTER RD/HAMMERSLEY AV,E 233 ST/PAULDING AV,E 229 ST/LACONIA AV,E 225 ST/LACONIA AV,EASTCHESTER RD/WARING AV,EASTCHESTER RD/GIVAN AV,E 233 ST/GUNTHER AV,EASTCHESTER RD/PELHAM PY S,EASTCHESTER RD/E 222 ST,E 225 ST/SCHIEFFELIN AV,EASTCHESTER RD/WILKINSON AV,WILLIAMSBRIDGE RD/ST RAYMONDS AV,EASTCHESTER RD/SCHORR PL,E 233 ST/BRONX BL,E 233 ST/CARPENTER AV,EASTCHESTER RD/BASSETT AV,EASTCHESTER RD/ADEE AV,E 233 ST/WHITE PLAINS RD,EASTCHESTER RD/CHESTER ST,TREMONT AV/LANE AV,E 225 ST/SCHIEFFELIN PL,EASTCHESTER RD/BURKE AV,WILLIAMSBRIDGE RD/SILVER ST,E 229 ST/E 229 DR S,VAN CORTLANDT PK E/E 242 ST,EASTCHESTER RD/ALLERTON AV,E TREMONT AV/LANE AV,EASTCHESTER RD/BOSTON RD,E 229 ST/SCHIEFFELIN AV,LACONIA AV/E 233 ST,EASTCHESTER RD/MACE AV,KATONAH AV/E 234 ST,EASTCHESTER RD/SACKETT AV,E 233 ST/WEBSTER AV,EASTCHESTER RD/E GUN HILL RD,E 233 ST/KATONAH AV,LACONIA AV/E 225 ST,EASTCHESTER RD/ASTOR AV,EASTCHESTER RD/MORRIS PK AV,EASTCHESTER RD/PELHAM PY,KATONAH AV/E 237 ST,LACONIA AV/GRENADA PL,LACONIA AV/E 230 ST,WILLIAMSBRIDGE RD/E TREMONT AV,EASTCHESTER RD/SEMINOLE ST,WILLIAMSBRIDGE RD/EASTCHESTER RD,West Farms Depot (WF)
EASTCHESTER RD/NEEDHAM AV,,,,,,,,,,,,,,,,,0.195 WOODLAWN KATONAH AV,,,,,,,,,,0.145 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/IVES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 WOODLAWN KATONAH AV,,,,,,,,
LACONIA AV/E 232 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 WESTCHESTER SQ,,,,
E 233 ST/BUSSING AV,,,,,,,,,,0.426 WESTCHESTER SQ,,,,,,,,,,,,,,,,0.355 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 229 ST/SCHIEFFELIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337 WESTCHESTER SQ,,,,,,,,0.117 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/WATERS PL,,,,,,,,,,,,,,,,,,,,,,,,0.171 WOODLAWN KATONAH AV,,,,,,,0.257 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,
KATONAH AV/E 242 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,
KATONAH AV/E 239 ST,,,,,,,0.233 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 WESTCHESTER SQ,,,,,,
EASTCHESTER RD/HAMMERSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 WOODLAWN KATONAH AV,,,,,,,,,,,,,0.394 WESTCHESTER SQ,,,,,,,,,,,,
E 233 ST/PAULDING AV,,,0.336 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
