,JEROME AV/E FORDHAM RD,MORRIS AV/E 174 ST,JEROME AV/E 176 ST,MORRIS AV/E 163 ST,JEROME AV/E 184 ST,JEROME AV/W 182 ST,LINCOLN AV/E 138 ST,MORRIS AV/E 151 ST,MORRIS AV/E 149 ST,JEROME AV/W KINGSBRIDGE RD,JEROME AV/E 182 ST,MORRIS AV/E 167 ST,MORRIS AV/E 153 ST,JEROME AV/E 177 ST,MORRIS AV/E 171 ST,JEROME AV/W TREMONT AV,W KINGSBRIDGE RD/UNIVERSITY AV,MORRIS AV/E 166 ST,MORRIS AV/E 172 ST,E 175 ST/JEROME AV,JEROME AV/E 183 ST,VA HOSPITAL/VA HOSPITAL,MORRIS AV/MT EDEN PY,RESERVOIR AV/W 195 ST,JEROME AV/W 184 ST,MORRIS AV/MC CLELLAN ST,JEROME AV/W 183 ST,JEROME AV/W FORDHAM RD,MORRIS AV/E 165 ST,MORRIS AV/E 140 ST,JEROME AV/E TREMONT AV,JEROME AV/E 192 ST,MORRIS AV/E 156 ST,MORRIS AV/WALTON AV,E 136 ST/LINCOLN AV,W 195 ST/JEROME AV,JEROME AV/W 176 ST,3 AV/E 137 ST,3 AV/E 138 ST,W 195 ST/RESERVOIR AV,JEROME AV/E 181 ST,MORRIS AV/E 161 ST,MORRIS AV/E MT EDEN AV,JEROME AV/NORTH ST,RESERVOIR AV/W KINGSBRIDGE RD,MORRIS AV/E 144 ST,JEROME AV/E BURNSIDE AV,JEROME AV/W 177 ST,MORRIS AV/E 170 ST,JEROME AV/W 192 ST,JEROME AV/W BURNSIDE AV,E 175 ST/WALTON AV,MORRIS AV/E 142 ST,MORRIS AV/E 141 ST,MORRIS AV/E 169 ST,JEROME AV/E KINGSBRIDGE RD,JEROME AV/W 181 ST,MORRIS AV/E 158 ST,West Farms Depot (WF)
JEROME AV/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 MOTT HAVEN 136 ST,,,,,,,,,0.297 KINGSBRIDGE V A HOSPITAL,,,,,,,
JEROME AV/E 176 ST,,,,,,,,,,,,,,0.183 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,0.202 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,
JEROME AV/E 184 ST,0.287 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/W 182 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 MOTT HAVEN 136 ST,,
LINCOLN AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 151 ST,,,,,,,,,1.068 MOTT HAVEN 136 ST,,,,0.734 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 149 ST,,,,,,,,0.171 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366 MOTT HAVEN 136 ST,,,,,,
JEROME AV/W KINGSBRIDGE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 MOTT HAVEN 136 ST,,,,,,,,,
