,W 135 ST/MALCOLM X BL,E 138 ST/WILLIS AV,E 138 ST/WILLOW AV,WALNUT AV/E 133 ST,W 135 ST/ADAM C POWELL BL,E 138 ST/WALNUT AV,W 135 ST/FRED DOUGLASS BL,E 138 ST/GRAND CONCOURSE,E 138 ST/LINCOLN AV,E 138 ST/CYPRESS AV,E 134 ST/WILLOW AV,E 135 ST/MADISON AV,E 134 ST/WALNUT AV,E 138 ST/JACKSON AV,E 138 ST/BROOK AV,E 138 ST/3 AV,E 138 ST/BRUCKNER BL,E 138 ST/ST ANNS AV,W 135 ST/5 AV,E 138 ST/ALEXANDER AV,WALNUT AV/E 135 ST,W 135 ST/ST NICHOLAS AV,West Farms Depot (WF)
W 135 ST/MALCOLM X BL,,,,,0.276 HARLEM ST NICHOLAS,,,,,,,,,,,,,,0.306 PORT MORRIS 132 ST,,,,
E 138 ST/WILLIS AV,,,,,,,,,,,,,,,0.349 PORT MORRIS 132 ST,,,,,0.22 HARLEM ST NICHOLAS,,,
E 138 ST/WILLOW AV,,,,,,0.289 PORT MORRIS 132 ST,,,,,,,,,,,,,,,,,
WALNUT AV/E 133 ST,,,,,,,,,,,,,,,,,,,,,0.168 HARLEM ST NICHOLAS,,
W 135 ST/ADAM C POWELL BL,0.276 PORT MORRIS 132 ST,,,,,,0.254 HARLEM ST NICHOLAS,,,,,,,,,,,,,,,,
E 138 ST/WALNUT AV,,,,,,,,,,,,,,,,,0.33 HARLEM ST NICHOLAS,,,,0.244 PORT MORRIS 132 ST,,
W 135 ST/FRED DOUGLASS BL,,,,,0.254 PORT MORRIS 132 ST,,,,,,,,,,,,,,,,,0.13 HARLEM ST NICHOLAS,
E 138 ST/GRAND CONCOURSE,,,,,,,,,1.233 PORT MORRIS 132 ST,,,1.468 HARLEM ST NICHOLAS,,,,,,,,,,,
E 138 ST/LINCOLN AV,,,,,,,,,,,,,,,,,,,,0.197 PORT MORRIS 132 ST,,,
E 138 ST/CYPRESS AV,,,,,,,,,,,,,,0.164 PORT MORRIS 132 ST,,,,0.289 HARLEM ST NICHOLAS,,,,,
E 134 ST/WILLOW AV,,,,0.323 PORT MORRIS 132 ST,,,,,,,,,,,,,,,,,,,
E 135 ST/MADISON AV,,,,,,,,0.783 PORT MORRIS 132 ST,,,,,,,,,,,0.125 HARLEM ST NICHOLAS,,,,
E 134 ST/WALNUT AV,,,,,,,,,,,0.24 PORT MORRIS 132 ST,,,,,,,,,,,,
E 138 ST/JACKSON AV,,,0.139 PORT MORRIS 132 ST,,,,,,,0.164 HARLEM ST NICHOLAS,,,,,,,,,,,,,8.004 to depot of Bx33
E 138 ST/BROOK AV,,0.349 HARLEM ST NICHOLAS,,,,,,,,,,,,,,,,0.168 PORT MORRIS 132 ST,,,,,
E 138 ST/3 AV,,,,,,,,0.386 HARLEM ST NICHOLAS,,,,,,,,,,,,,,,
E 138 ST/BRUCKNER BL,,,,,,,,,,,,,,0.097 HARLEM ST NICHOLAS,,,,,,,,,
E 138 ST/ST ANNS AV,,,,,,,,,,0.289 PORT MORRIS 132 ST,,,,,0.168 HARLEM ST NICHOLAS,,,,,,,,
W 135 ST/5 AV,0.306 HARLEM ST NICHOLAS,,,,,,,,,,,0.125 PORT MORRIS 132 ST,,,,,,,,,,,
E 138 ST/ALEXANDER AV,,0.22 PORT MORRIS 132 ST,,,,,,,,,,,,,,0.197 HARLEM ST NICHOLAS,,,,,,,
WALNUT AV/E 135 ST,,,,,,0.244 HARLEM ST NICHOLAS,,,,,,,0.085 PORT MORRIS 132 ST,,,,,,,,,,
W 135 ST/ST NICHOLAS AV,,,,,,,0.13 PORT MORRIS 132 ST,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,5.106 HARLEM ST NICHOLAS,,,,,,,,,
