,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/JEROME AV,KATONAH AV/E 234 ST,VALENTINE AV/E 199 ST,VALENTINE AV/E 192 ST,VALENTINE AV/FORDHAM RD,BAINBRIDGE AV/VAN CORTLANDT AV E,BAINBRIDGE AV/E MOSHOLU PY S,E 233 ST/ONEIDA AV,VALENTINE AV/E 196 ST,BAINBRIDGE AV/E FORDHAM RD,BEDFORD PK BL/BRIGGS AV,VALENTINE AV/E FORDHAM RD,KATONAH AV/E 237 ST,BAINBRIDGE AV/E GUN HILL RD,KATONAH AV/E 239 ST,BAINBRIDGE AV/E 196 ST,E 233 ST/JEROME AV,BAINBRIDGE AV/E 198 ST,VALENTINE AV/E 194 ST,VALENTINE AV/E 198 ST,BAINBRIDGE AV/E MOSHOLU PY N,E 233 ST/VAN CORTLANDT PK E,BAINBRIDGE AV/RESERVOIR OVAL E,BAINBRIDGE AV/E 201 ST,BAINBRIDGE AV/E 204 ST,BAINBRIDGE AV/E 194 ST,BAINBRIDGE AV/E 212 ST,BAINBRIDGE AV/BEDFORD PK BL,JEROME AV/E 233 ST,BAINBRIDGE AV/E 206 ST,KATONAH AV/E 242 ST,E 233 ST/KEPLER AV,E 233 ST/NAPIER AV,VAN CORTLANDT PK E/E 242 ST,West Farms Depot (WF)
BAINBRIDGE AV/E 210 ST,,,,,,,0.294 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,0.623 WOODLAWN KATONAH AV,,,,,,,,
BAINBRIDGE AV/JEROME AV,,,,,,,,,,,,,,,,,,0.929 WOODLAWN KATONAH AV,,,,,,,,,,2.306 FORDHAM CENTER VALENTINE AV,,,,,,,,
KATONAH AV/E 234 ST,,,,,,,,,,,,,,0.196 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,0.293 FORDHAM CENTER VALENTINE AV,,,
VALENTINE AV/E 199 ST,,,,,,,,,,,,,,,,,,,,,0.261 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,
VALENTINE AV/E 192 ST,,,,,,0.198 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENTINE AV/FORDHAM RD,,,,,,,,,,,,,0.021 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,8.463 to depot of Bx34
BAINBRIDGE AV/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 FORDHAM CENTER VALENTINE AV,,,,,
BAINBRIDGE AV/E MOSHOLU PY S,,,,,,,,,,,,,,,,,,,,,,0.2 WOODLAWN KATONAH AV,,,0.12 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,
E 233 ST/ONEIDA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 WOODLAWN KATONAH AV,0.208 FORDHAM CENTER VALENTINE AV,,
VALENTINE AV/E 196 ST,,,,,,,,,,,,,,,,,,,,0.205 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358 WOODLAWN KATONAH AV,,,,,,,,,
BEDFORD PK BL/BRIGGS AV,,,,0.201 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENTINE AV/E FORDHAM RD,,,,,,,,,,,0.203 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,
