,E 169 ST/PROSPECT AV,E 167 ST/SOUTHERN BL,WEBSTER AV/E 167 ST,E 168 ST/3 AV,E 168 ST/PARK AV,EDWARD L GRANT HY/SHAKESPEARE AV,EDWARD L GRANT HY/PLIMPTON AV,E 169 ST/TIFFANY ST,E 167 ST/RIVER AV,E 167 ST/WEBSTER AV,EDWARD L GRANT HY/JEROME AV,EDWARD L GRANT HY/W 169 ST,EDWARD L GRANT HY/JESUP AV,E 167 ST/GRAND CONCOURSE,E 169 ST/UNION AV,E 168 ST/ 3 AV,E 167 ST/FINDLAY AV,WADSWORTH AV/W 181 ST,W 178 ST/BROADWAY,EDWARD L GRANT HY/UNIVERSITY AV,E 169 ST/BOSTON RD,FRANKLIN AV/E 169 ST,E.L.GRANT HWY/NELSON AV,E 169 ST/INTERVALE AV,E 168 ST/FRANKLIN AV,W 181 ST/ST NICHOLAS AV,W FARMS RD/WESTCHESTER AV,W 181 ST/AMSTERDAM AV,W 179 ST/BROADWAY,E 167 ST/MORRIS AV,West Farms Depot (WF)
E 169 ST/PROSPECT AV,,,,,,,,0.3 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,0.283 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,
E 167 ST/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,0.31 WASHINGTON HEIGHTS G W BRIDGE,,,0.319 WEST FARMS RD SOUTHERN BL,,,,
WEBSTER AV/E 167 ST,,,,,0.329 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,
E 168 ST/3 AV,,,,,0.207 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,
E 168 ST/PARK AV,,,,,,,,,,0.323 WASHINGTON HEIGHTS G W BRIDGE,,,,,,0.207 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,
EDWARD L GRANT HY/SHAKESPEARE AV,,,,,,,,,,,,1.626 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,
EDWARD L GRANT HY/PLIMPTON AV,,,,,,,,,,,,,,,,,,,,0.396 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,
E 169 ST/TIFFANY ST,,0.248 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 167 ST/RIVER AV,,,,,,,,,,,,0.358 WASHINGTON HEIGHTS G W BRIDGE,,0.517 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,
E 167 ST/WEBSTER AV,,,,,,,,,,,,,,,,,0.251 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,
EDWARD L GRANT HY/JEROME AV,,,,,,,,,0.111 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,
EDWARD L GRANT HY/W 169 ST,,,,,,,,,,,0.332 WEST FARMS RD SOUTHERN BL,,0.239 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,
EDWARD L GRANT HY/JESUP AV,,,,,,,0.296 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
E 167 ST/GRAND CONCOURSE,,,,,,,,,0.365 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,0.49 WEST FARMS RD SOUTHERN BL,
E 169 ST/UNION AV,0.128 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 168 ST/ 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.207 WEST FARMS RD SOUTHERN BL,,,,,,
E 167 ST/FINDLAY AV,,,0.251 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 WASHINGTON HEIGHTS G W BRIDGE,
WADSWORTH AV/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.388 WEST FARMS RD SOUTHERN BL,,,0.353 WASHINGTON HEIGHTS G W BRIDGE,,
W 178 ST/BROADWAY,,,,,,,,,,,,,,,,,,0.29 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,
EDWARD L GRANT HY/UNIVERSITY AV,,,,,,,,,,,,,,,,,,,,,,,0.299 WEST FARMS RD SOUTHERN BL,,,,,1.651 WASHINGTON HEIGHTS G W BRIDGE,,,
E 169 ST/BOSTON RD,,,,,,,,,,,,,,,0.155 WEST FARMS RD SOUTHERN BL,,,,,,,0.206 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,
FRANKLIN AV/E 169 ST,,,,0.371 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.L.GRANT HWY/NELSON AV,,,,,,0.071 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,
E 169 ST/INTERVALE AV,0.237 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 168 ST/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,0.348 WEST FARMS RD SOUTHERN BL,,,,,,,,,,
W 181 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,0.229 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,0.486 WEST FARMS RD SOUTHERN BL,,,
W FARMS RD/WESTCHESTER AV,,0.319 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.551 to depot of Bx35
W 181 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,0.826 WEST FARMS RD SOUTHERN BL,,,,,,0.386 WASHINGTON HEIGHTS G W BRIDGE,,,,,
W 179 ST/BROADWAY,,,,,,,,,,,,,,,,,,,0.362 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,
E 167 ST/MORRIS AV,,,,,,,,,,,,,,0.301 WASHINGTON HEIGHTS G W BRIDGE,,,0.241 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,2.088 WASHINGTON HEIGHTS G W BRIDGE,,,,
