,WHITE PLAINS RD/STORY AV,E 174 ST/BOONE AV,ROSEDALE AV/E 174 ST,E 174 ST/CROES AV,E TREMONT AV/MONROE AV,UNIVERSITY AV/W TREMONT AV,OLMSTEAD AV/SEWARD AV,VALENTINE AV/TREMONT AV,WADSWORTH AV/W 181 ST,W 181 ST/ST NICHOLAS AV,E 180 ST/BATHGATE AV,BOSTON RD/E 180 ST,CROSS BX SVC RD S/TAYLOR AV,E TREMONT AV/GRAND CONCOURSE E,E 174 ST/MANOR AV,PUGSLEY AV/RANDALL AV,E 180 ST/PROSPECT AV,E 174 ST/FTELEY AV,WHITE PLAINS RD/WATSON AV,E 180 ST/DALY AV,PUGSLEY AV/SEWARD AV,LAFAYETTE AV/PUGSLEY AV,W 178 ST/FT WASHINGTON AV,E TREMONT AV/ANTHONY AV,UNIVERSITY AV/N OF WASHINGTON BDG,BOSTON RD/E 178 ST,WHITE PLAINS RD/WESTCHESTER AV,BOSTON RD/E TREMONT AV,E 180 ST/BOSTON RD,E 174 ST/ BRYANT AV,E 174 ST/BRONX RIVER AV,E 174 ST/ST LAWRENCE AV,WEBSTER AV/E 178 ST,E 180 ST/ARTHUR AV,E 180 ST/CROTONA AV,WHITE PLAINS RD/LAFAYETTE AV,E TREMONT AV/JEROME AV,UNIVERSITY AV/W 174 ST,E TREMONT AV/GRAND CONCOURSE,E 180 ST/WEBSTER AV,E 180 ST/SOUTHERN BL,WHITE PLAINS RD/GLEASON AV,E 180 ST/CROTONA PY,BOSTON RD/E TREMONT AV F/S,CROSS BX SVC RD S/BEACH AV,W 181 ST/AMSTERDAM AV,E 180 ST/WASHINGTON AV,E 180 ST/MOHEGAN AV,WEBSTER AV/E TREMONT AV,RANDALL AV/OLMSTEAD AV,W TREMONT AV/W 177 ST,LAFAYETTE AV/WHITE PLAINS RD,WEBSTER AV/E 180 ST,W TREMONT AV/UNIVERSITY AV,W 179 ST/BROADWAY,W TREMONT AV/HARRISON AV,E 174 ST/ROSEDALE AV,BOSTON RD/VYSE AV,E 174 ST/LONGFELLOW AV,E 174 ST/HARROD AV,E 180 ST/3 AV,WHITE PLAINS RD/BRUCKNER BL,E 174 ST/BRYANT AV,UNIVERSITY AV/WASHINGTON BRIDGE,HOE AV/E 174 ST,W TREMONT AV/DAVIDSON AV,SEWARD AV/PUGSLEY AV,E TREMONT AV/MORRIS AV,UNIVERSITY AV/W 176 ST,W TREMONT AV/GRAND AV,West Farms Depot (WF)
WHITE PLAINS RD/STORY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 SOUNDVIEW PUGSLEY AV,,,,,,,,,,0.263 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,
E 174 ST/BOONE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,
ROSEDALE AV/E 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,
E 174 ST/CROES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,
E TREMONT AV/MONROE AV,,,,,,,,,,,,,,,,,,,,,,,,0.578 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/W TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694 WASHINGTON HEIGHTS G W BRIDGE,1.057 SOUNDVIEW PUGSLEY AV,
OLMSTEAD AV/SEWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,
VALENTINE AV/TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,0.214 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WADSWORTH AV/W 181 ST,,,,,,,,,,0.388 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,
W 181 ST/ST NICHOLAS AV,,,,,,,,,0.229 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/BATHGATE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E 180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS BX SVC RD S/TAYLOR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/GRAND CONCOURSE E,,,,,,,,,,,,,,0.0 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517 WASHINGTON HEIGHTS G W BRIDGE,,,
E 174 ST/MANOR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,
PUGSLEY AV/RANDALL AV,,,,,,,,,,,,,,,,,,,,,0.196 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
