,E GUN HILL RD/FISH AV,E GUN HILL RD/BARNES AV,DREISER LOOP/CO-OP CITY BL,BAYCHESTER AV/DONIZETTI PL,BAINBRIDGE AV/E 206 ST,E GUN HILL RD/KINGSLAND AV,BAINBRIDGE AV/E 204 ST,BAINBRIDGE AV/E MOSHOLU PY N,E GUN HILL RD/DEWITT PL,E GUN HILL RD/LACONIA AV,E GUN HILL RD/DECATOUR AV,PAUL AV/BEDFORD PK BL,JEROME AV/E 196 ST,E GUN HILL RD/HERING AV,E KINGSBRIDGE RD/MORRIS AV,E GUN HILL RD/BURKE AV,BAY PZ BL/BARTOW AV,E GUN HILL RD/EASTCHESTER RD,BAYCHESTER AV/750 BAYCHESTER AV,PAUL AV/W MOSHOLU PY S,VALENTINE AV/E 192 ST,CO-OP CITY BL/BARTOW AV,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/E GUN HILL RD,E KINGSBRIDGE RD/GRAND CONCOURSE,PAUL AV/W 205 ST,E GUN HILL RD/GIVAN AV,E GUN HILL RD/ARNOW AV,CO-OP CITY BL/CARVER LOOP  #1,BAY PLAZA BL/CO-OP CITY BL,E GUN HILL RD/HULL AV,BARTOW AV/GUNTHER AV,BAYCHESTER AV/ALDRICH ST,CO-OP CITY BL/BELLAMY LOOP S,E GUN HILL RD/WHITE PLAINS RD,BEDFORD PK/JEROME AV,BAINBRIDGE AV/RESERVOIR OVAL E,GRAND CONCOURSE/E MOSHOLU PY S,E GUN HILL RD/BRONXWOOD AV,CO-OP CITY BL/BELLAMY LOOP N,BARTOW AV/ELY AV,CO-OP CITY BL/CARVER LOOP #2,E GUN HILL RD/WEBSTER AV,E GUN HILL RD/PEARSALL AV,W MOSHOLU PKY S/JEROME AV,DREISER LOOP/DEFOE PLACE,BAINBRIDGE AV/VAN CORTLANDT AV E,CO-OP CITY BL/PEARTREE AV,BARTOW AV/EDSON AV,BAY PZ/BARTOW AV,E GUN HILL RD/PAULDING AV,E GUN HILL RD/TRYON AV,E GUN HILL RD/PUTNAM PL,JEROME AV/MORRIS AV,BARTOW AV/BRUNNER AV,E GUN HILL RD/YOUNG AV,DREISER LOOP/DEBS PL,BAY PLAZA BL/APPLEBEE'S,E GUN HILL RD/BOSTON RD,E MOSHOLU PY S/GRAND CONCOURSE,JEROME AV/W KINGSBRIDGE RD,E MOSHOLU PY S/JEROME AV,E GUN HILL RD/KNAPP ST,BAYCHESTER AV/DARROW PL,E GUN HILL RD/OLINVILLE AV,West Farms Depot (WF)
E GUN HILL RD/FISH AV,,,,,,,,,,,,,,,,0.167 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/BARNES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43 NORWOOD 205 ST STATION via GUNHILL,,,,0.142 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREISER LOOP/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 CO-OP CITY BAY PLAZA via GUNHILL,,,,0.488 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,0.267 NORWOOD 205 ST STATION via GUNHILL,,,,,,,1.136 NORWOOD 205 ST STATION via GUNHILL,,
BAYCHESTER AV/DONIZETTI PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.025 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 CO-OP CITY BAY PLAZA via GUNHILL,,
BAINBRIDGE AV/E 206 ST,,,,,,,0.146 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,2.016 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,0.563 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/KINGSLAND AV,,,,,,,,,,,,,,,,,,0.271 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E 204 ST,,,,,0.146 CO-OP CITY BAY PLAZA via GUNHILL,,,0.14 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E MOSHOLU PY N,,,,,,,0.14 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/DEWITT PL,,,,,,,,,,,,,,,,,,0.344 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/LACONIA AV,,,,,,,,,,,,,,0.182 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,
