,BOSTON RD/ASTOR AV,WHITE PLAINS RD/E 233 ST,NEREID AV/BRUNER AV,WHITE PLAINS RD/E 235 ST,WHITE PLAINS RD/ARNOW AV,SOUNDVIEW AV/CORNELL AV,WHITE PLAINS RD/ROSEWOOD ST,SOUNDVIEW AV/STEPHENS AV,WHITE PLAINS RD/E 231 ST,WHITE PLAINS RD/MAGENTA ST,WHITE PLAINS RD/RHINELANDER AV,WHITE PLAINS RD/WESTCHESTER AV,WHITE PLAINS RD/E 228 ST,WHITE PLAINS RD/LYDIG AV,WHITE PLAINS RD/BRUCKNER BL,WHITE PLAINS RD/STORY AV,WHITE PLAINS RD/VAN NEST AV,WHITE PLAINS RD/WATSON AV,WHITE PLAINS RD/LAFAYETTE AV,WHITE PLAINS RD/MACE AV,WHITE PLAINS RD/GLEASON AV,E 241 ST/CRANFORD AV,WARING AV/WHITE PLAINS RD,WHITE PLAINS RD/NEREID AV,WHITE PLAINS RD/BRONXDALE AV,WHITE PLAINS RD/PELHAM PY,WHITE PLAINS RD/ADEE AV,WHITE PLAINS RD/BIRCHALL AV,WHITE PLAINS RD/ALLERTON AV,SOUNDVIEW AV/GUILDERSLEEVE AV,WHITE PLAINS RD/E 239 ST,WHITE PLAINS RD/WARING AV,WHITE PLAINS RD/ARCHER ST,WHITE PLAINS RD/SEWARD AV,WHITE PLAINS RD/E 237 ST,WHITE PLAINS RD/MORRIS PK AV,WHITE PLAINS RD/E 222 ST,SOUNDVIEW AV/GILDERSLEEVE AV,BRONX PK E/UNIONPORT RD,WHITE PLAINS RD/WOOD AV,WHITE PLAINS RD/E 240 ST,WHITE PLAINS RD/E 215 ST,NEREID AV/BYRON AV,WHITE PLAINS RD/E 225 ST,WHITE PLAINS RD/LACOMBE AV,WHITE PLAINS RD/GUERLAIN ST,NEREID AV/EDSON AV,WHITE PLAINS RD/E GUN HILL RD,WHITE PLAINS RD/BURKE AV,WHITE PLAINS RD/OBRIEN AV,WHITE PLAINS RD/PATTERSON AV,WHITE PLAINS RD/E TREMONT AV,E 241 ST/BAYCHESTER AV,WHITE PLAINS RD/E 219 ST,SOUNDVIEW AV/NEWMAN AV,WHITE PLAINS RD/RANDALL AV,West Farms Depot (WF)
BOSTON RD/ASTOR AV,,,,,,,,,,,,,,,,,,,,,,,0.218 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/E 233 ST,,,,0.227 WAKEFIELD 241 ST via WHITE PLS RD,,,,,0.212 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/BRUNER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,
WHITE PLAINS RD/E 235 ST,,0.239 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/ARNOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 WAKEFIELD 241 ST via WHITE PLS RD,,0.275 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUNDVIEW AV/CORNELL AV,,,,,,,,0.059 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/ROSEWOOD ST,,,,,,,,,,0.218 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 CLASON PT,,,,,,,,
SOUNDVIEW AV/STEPHENS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/E 231 ST,,0.201 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,,,0.263 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/MAGENTA ST,,,,,,,0.218 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589 WAKEFIELD 241 ST via WHITE PLS RD,,,,,,,,,
