,W 181 ST/WADSWORTH AV,SEDGWICK AV/FT INDEPENDENCE ST,W 181 ST/ST NICHOLAS AV,W 238 ST/ORLOFF AV,SEDGWICK AV/W 195 ST,UNIVERSITY AV/N OF WASHINGTON BDG,UNIVERSITY AV/W 179 ST,UNIVERSITY AV/HALL OF FAME TER,W KINGSBRIDGE RD/UNIVERSITY AV,UNIVERSITY AV/W 190 ST,UNIVERSITY AV/WASHINGTON BRIDGE,UNIVERSITY AV/W BURNSIDE AV,FT INDEPENDENCE/GILES PL,UNIVERSITY AV/W 183 ST,UNIVERSITY AV/W TREMONT AV,UNIVERSITY AV/W 176 ST,W 179 ST/BROADWAY,FT INDEPENDENCE ST/HEATH AV,UNIVERSITY AV/W 181 ST,BROADWAY/W 179 ST,SEDGWICK AV/W 229 ST,W 238 ST/BAILEY AV,UNIVERSITY AV/W 174 ST,UNIVERSITY AV/W FORDHAM RD,W 181 ST/AMSTERDAM AV,SEDGWICK AV/W 231 ST,W KINGSBRIDGE RD/SEDGWICK AV,SEDGWICK AV/W 197 ST,UNIVERSITY AV/W 192 ST,FT INDEPENDENCE ST/BAILEY PL,UNIVERSITY AV/MORTON PL,WADSWORTH AV/W 181 ST,BROADWAY/179 ST,UNIVERSITY AV/W BURNSIDE AV #1,W 238 ST/BROADWAY,Kingsbridge Depot (KB)
W 181 ST/WADSWORTH AV,,,0.388 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/FT INDEPENDENCE ST,,,,,,,,,,,,,0.038 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,0.406 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,
W 181 ST/ST NICHOLAS AV,,,0.0 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,0.486 RIVERDALE BWAY-238 ST,,,,,,,0.229 WASHINGTON HEIGHTS G W BRIDGE,,,,
W 238 ST/ORLOFF AV,,,,,,,,,,,,,,,,,,,,,,0.186 RIVERDALE BWAY-238 ST,,,,,,,,0.194 WASHINGTON HEIGHTS G W BRIDGE,,,,,,
SEDGWICK AV/W 195 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 WASHINGTON HEIGHTS G W BRIDGE,0.18 RIVERDALE BWAY-238 ST,,,,,,,,
UNIVERSITY AV/N OF WASHINGTON BDG,,,,,,,,,,,,,,,,,,,,,,,0.178 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,
UNIVERSITY AV/W 179 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483 WASHINGTON HEIGHTS G W BRIDGE,,,,,
UNIVERSITY AV/HALL OF FAME TER,,,,,,,0.369 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/UNIVERSITY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 RIVERDALE BWAY-238 ST,,0.133 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,
UNIVERSITY AV/W 190 ST,,,,,,,,,,,,,,,,,,,,,,,,0.262 WASHINGTON HEIGHTS G W BRIDGE,,,,,0.283 RIVERDALE BWAY-238 ST,,,,,,,
