,UNIVERSITY AV/HALL OF FAME TER,BROADWAY/W 179 ST,UNIVERSITY AV/W 181 ST,UNIVERSITY AV/W 192 ST,SEDGWICK AV/W 231 ST,FT INDEPENDENCE ST/BAILEY PL,W 179 ST/BROADWAY,UNIVERSITY AV/W TREMONT AV,UNIVERSITY AV/W FORDHAM RD,W 181 ST/WADSWORTH AV,SEDGWICK AV/W 195 ST,UNIVERSITY AV/W 176 ST,W 238 ST/BAILEY AV,W 181 ST/ST NICHOLAS AV,UNIVERSITY AV/N OF WASHINGTON BDG,UNIVERSITY AV/WASHINGTON BRIDGE,UNIVERSITY AV/W BURNSIDE AV,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV/W 197 ST,UNIVERSITY AV/W 190 ST,FT INDEPENDENCE/GILES PL,SEDGWICK AV/W 229 ST,UNIVERSITY AV/W BURNSIDE AV #1,W 181 ST/AMSTERDAM AV,BROADWAY/179 ST,W 238 ST/BROADWAY,UNIVERSITY AV/W 179 ST,FT INDEPENDENCE ST/HEATH AV,W KINGSBRIDGE RD/UNIVERSITY AV,W 238 ST/ORLOFF AV,WADSWORTH AV/W 181 ST,UNIVERSITY AV/MORTON PL,UNIVERSITY AV/W 183 ST,W KINGSBRIDGE RD/SEDGWICK AV,UNIVERSITY AV/W 174 ST,Kingsbridge Depot (KB)
UNIVERSITY AV/HALL OF FAME TER,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,
BROADWAY/W 179 ST,,,,,,,0.02 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,0.023 RIVERDALE BWAY-238 ST,,,,,,,,,,,
UNIVERSITY AV/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 RIVERDALE BWAY-238 ST,,,
UNIVERSITY AV/W 192 ST,,,,,,,,,,,,,,,,,,,,0.283 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,0.133 RIVERDALE BWAY-238 ST,,,,,,,
SEDGWICK AV/W 231 ST,,,,,,,,,,,,,,,,,,0.406 RIVERDALE BWAY-238 ST,,,,0.23 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,
FT INDEPENDENCE ST/BAILEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 WASHINGTON HEIGHTS G W BRIDGE,,0.194 RIVERDALE BWAY-238 ST,,,,,,
W 179 ST/BROADWAY,,0.02 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/W TREMONT AV,,,,,,,,,,,,0.282 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,0.324 RIVERDALE BWAY-238 ST,,,,
UNIVERSITY AV/W FORDHAM RD,,,,,,,,,,,,,,,,,,,,0.262 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,0.404 WASHINGTON HEIGHTS G W BRIDGE,,,
W 181 ST/WADSWORTH AV,,,,,,,,,,,,,,0.388 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,
