,E TREMONT AV/LATTING ST,E TREMONT AV/HASKIN ST,PENNYFIELD AV/GLENNON PL,E TREMONT AV/BAISLEY AV,PENNYFIELD AV/CHAFFEE AV,E TREMONT AV/DEWEY AV,E TREMONT AV/UNIONPORT RD,E TREMONT AV/BRYANT AV,W BURNSIDE AV/SEDGWICK AV,E TREMONT AV/SCHLEY AV,PENNYFIELD AV/GERANIUM PL,E TREMONT AV/CASTLE HILL AV,E TREMONT AV/PURITAN AV,UNIVERSITY AV/W BURNSIDE AV,SEDGWICK AV/CEDAR AV,PENNYFIELD AV/FEARN PL,W BURNSIDE AV/LORING PL S,PENNYFIELD AV/HARDING AVE,E TREMONT AV/HUTCHINSON RVR PK,E TREMONT AV/WATERBURY AV,E TREMONT AV/MORRIS PK AV,E TREMONT AV/OVERING ST,E TREMONT AV/HARDING AV,E BURNSIDE AV/VALENTINE AV,E TREMONT AV/ST LAWRENCE AV,VALENTINE AV/E 178 ST,E BURNSIDE AV/MORRIS AV,UNIVERSITY AV/W 179 ST,HARDING AV/THROGS NECK BL,HARDING AV/PENNYFIELD AV,E TREMONT AV/PHILLIP AV,E TREMONT AV/DEVOE AV,E TREMONT AV/THIERIOT AV,W BURNSIDE AV/JEROME AV,E TREMONT AV/PROSPECT AV,E TREMONT AV/BRONX RIVER AV,E TREMONT AV/SAMPSON AV,VALENTINE AV/TREMONT AV,E TREMONT AV/E 180 ST,SEDGWICK AV/W TREMONT AV,E TREMONT AV/BOSTON RD,E TREMONT AV/ARTHUR AV,W BURNSIDE AV/PHELAN PL,E TREMONT A/DOGWOOD DR,E TREMONT AV/COMMONWEALTH AV,E TREMONT AV/PURDY ST,E TREMONT AV/ST PETERS AV,CEDAR AV/W 179 ST,E TREMONT AV/LURTING AV,E TREMONT AV/SOUTHERN BL,E TREMONT AV/WESTCHESTER AV,E TREMONT AV/E 177 ST,E TREMONT AV/BRONX PARK AV,E TREMONT AV/DUDLEY AV,CEDAR AV/W TREMONT AV,E TREMONT AV/3 AV,HARDING AV/E TREMONT AV,E TREMONT AV/RANDALL AV,E TREMONT AV/PHILIP AV,E TREMONT AV/CROTONA AV,E BURNSIDE AV/RYER AV,E TREMONT AV/SILVER ST,E TREMONT AV/MILES AV,E TREMONT AV/WASHINGTON AV,E TREMONT AV/ERICSON PL,E TREMONT AV/BRUCKNER BL,E TREMONT AV/VYSE AV,E TREMONT AV/LAFAYETTE AV,E TREMONT AV/WEBSTER AV,E TREMONT AV/ST RAYMONDS AV,E TREMONT AV/BARKLEY AV,PENNYFIELD AV/TIERNEY PL,E BURNSIDE AV/JEROME AV,W BURNSIDE AV/GRAND AV,E TREMONT AV/CROSS BRONX EP,PENNYFIELD AV/FT SCHUYLER ENT,E TREMONT AV/MARMION AV,PENNYFIELD AV/ALAN PL,E TREMONT AV/CROTONA PY,E BURNSIDE AV/GRAND CONCOURSE,E TREMONT AV/DOGWOOD DR,E TREMONT AV/LELAND AV,W BURNSIDE AV/UNIVERSITY AV,West Farms Depot (WF)
E TREMONT AV/LATTING ST,,,,,,,,,,,,,,,,,,,,0.294 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/HASKIN ST,,,,,,,,,,,,,0.299 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNYFIELD AV/GLENNON PL,,,,,0.174 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,
E TREMONT AV/BAISLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,
PENNYFIELD AV/CHAFFEE AV,,,0.174 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,0.254 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/DEWEY AV,,,,,,,,,,0.246 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/UNIONPORT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 THROGGS NECK FORT SCHUYLR via TREMONT,0.16 RIVER PARK TOWER via TREMONT,,
E TREMONT AV/BRYANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37 RIVER PARK TOWER via TREMONT,,,,,
W BURNSIDE AV/SEDGWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/SCHLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,0.243 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,
PENNYFIELD AV/GERANIUM PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,
