,WESTCHESTER AV/SOUTHERN BL,WESTCHESTER AV/INTERVALE AV,WESTCHESTER AV/COLGATE AV,CASTLE HILL AV/ZEREGA AV,METROPOLITAN AV/UNIONPORT RD,E 149 ST/ST ANNS AV,WESTCHESTER AV/ELDER AV,E 149 ST/BERGEN AV,METROPOLITAN AV/BENEDICT AV,WESTCHESTER AV/ COLGATE AV,E TREMONT AV/OVERING ST,WESTCHESTER AV/HOE AV,E TREMONT AV/SILVER ST,BERGEN AV/WESTCHESTER AV,E TREMONT AV/ST PETERS AV,E TREMONT AV/LURTING AV,CASTLE HILL AV/E TREMONT AV,E 149 ST/BROOK AV,LANE AV/BENSON AV,WESTCHESTER AV/MORRISON AV,METROPOLITAN AV/PURDY ST,WESTCHESTER AV/WHITE PLAINS RD,WESTCHESTER AV/ST ANNS AV,METROPOLITAN AV/PINE ST,HUGH GRANT CIR/CROSS BX SVC RD,WESTCHESTER AV/ NOBLE AV,WESTCHESTER AV/ FTELEY AV,WESTCHESTER AV/TINTON AV,E TREMONT AV/ST RAYMONDS AV,METROPOLITAN AV/WOOD RD,WESTCHESTER AV/THIERIOT AV,AILEEN B RYAN OVAL/UNIONPORT RD,METROPOLITAN AV/CASTLEHILL AV,WESTCHESTER AV/ROSEDALE AV,WESTCHESTER AV/E 163 ST,WESTCHESTER AV/TIFFANY ST,METROPOLITAN AV/PARKCHESTER RD,METROPOLITAN AV/MAPLE DR,METROPOLITAN AV/WOOD AV,WESTCHESTER AV/E 156 ST,WESTCHESTER AV/ST LAWRENCE AV,WESTCHESTER AV/JACKSON AV,WESTCHESTER AV/SIMPSON ST,METROPOLITAN AV/RED OAK DR,WESTCHESTER AV/BRYANT AV,WESTCHESTER AV/MANOR AV,WESTCHESTER AV/PROSPECT AV,WESTCHESTER AV/HOME ST,WESTCHESTER AV/REV J POLITE AV,WESTCHESTER AV/WHITLOCK AV,West Farms Depot (WF)
WESTCHESTER AV/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,
WESTCHESTER AV/INTERVALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 THE HUB via MTROPLTN OVAL via WESTCHSTER,0.179 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,
WESTCHESTER AV/COLGATE AV,,,,,,,0.238 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/ZEREGA AV,,,,,,,,,,,,,,,0.365 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/UNIONPORT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,
E 149 ST/ST ANNS AV,,,,,,,,,,,,,,,,,,0.184 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ELDER AV,,,,,,,,,,0.238 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 WESTCHESTER AV via METROPOLITAN OVAL,,,,,
E 149 ST/BERGEN AV,,,,,,,,,,,,,,0.124 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/BENEDICT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667 WESTCHESTER AV via METROPOLITAN OVAL,,,,,,,,,,,,,,
WESTCHESTER AV/ COLGATE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395 THE HUB via MTROPLTN OVAL via WESTCHSTER,,,
