,LANE AV/BENSON AV,WESTCHESTER AV/COLGATE AV,WESTCHESTER AV/HAVEMEYER AV,WESTCHESTER AV/MORRISON AV,WESTCHESTER AV/ROSEDALE AV,WESTCHESTER AV/ COLGATE AV,E 149 ST/BROOK AV,WESTCHESTER AV/HOME ST,WESTCHESTER AV/WHITLOCK AV,WESTCHESTER AV/E 156 ST,WESTCHESTER AV/INTERVALE AV,WESTCHESTER AV/ST PETERS AV,HUGH GRANT CIR/CROSS BX SVC RD,WESTCHESTER AV/PROSPECT AV,WESTCHESTER AV/THIERIOT AV,WESTCHESTER AV/SIMPSON ST,WESTCHESTER AV/DORIS ST,WESTCHESTER AV/ELDER AV,TREMONT AV/LANE AV,WESTCHESTER AV/ST LAWRENCE AV,WESTCHESTER AV/ FTELEY AV,WESTCHESTER AV/HOE AV,WESTCHESTER AV/BRYANT AV,WESTCHESTER AV/E 163 ST,WESTCHESTER AV/CROSS BX SVC RD,WESTCHESTER AV/JACKSON AV,WESTCHESTER AV/REV J POLITE AV,WESTCHESTER AV/MANOR AV,WESTCHESTER AV/PUGSLEY AV,E 149 ST/ST ANNS AV,WESTCHESTER AV/WHITE PLAINS RD,WESTCHESTER AV/SOUTHERN BL,WESTCHESTER AV/TIFFANY ST,WESTCHESTER AV/ST ANNS AV,BERGEN AV/WESTCHESTER AV,WESTCHESTER AV/ NOBLE AV,WESTCHESTER AV/OLMSTEAD AV,WESTCHESTER AV/CASTLE HILL AV,WESTCHESTER AV/ZEREGA AV,WESTCHESTER AV/TINTON AV,E 149 ST/BERGEN AV,West Farms Depot (WF)
LANE AV/BENSON AV,,,,,,,,,,,,0.453 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/COLGATE AV,,,,,,,,,,,,,,,,,,0.238 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/HAVEMEYER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 WESTCHTR SQ via WESTCHTR AV,,,
WESTCHESTER AV/MORRISON AV,,,,,,,,,,,,,,,,,,,,,0.254 WESTCHTR SQ via WESTCHTR AV,,,,,,,0.162 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,
WESTCHESTER AV/ROSEDALE AV,,,,,,,,,,,,,,,,,,,,,0.245 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,5.581 to depot of Bx4
WESTCHESTER AV/ COLGATE AV,,,,,,,,0.395 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/BROOK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611 THE HUB 3 AV via WESTCHESTER AV,
WESTCHESTER AV/HOME ST,,,,,,,,,,,,,,,,,,,,,,,0.233 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/WHITLOCK AV,,0.388 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/E 156 ST,,,,,,,,,,,,,,0.351 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/INTERVALE AV,,,,,,,,,,,,,,,,,,,,,,,,0.215 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,0.179 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,
WESTCHESTER AV/ST PETERS AV,,,,,,,,,,,,,,,,,,,0.37 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,0.264 THE HUB 3 AV via WESTCHESTER AV,,,
HUGH GRANT CIR/CROSS BX SVC RD,,,,,,,,,,,,,,,,,,,,,,,,,0.957 WESTCHTR SQ via WESTCHTR AV,,,,,,0.308 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,
WESTCHESTER AV/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,0.324 THE HUB 3 AV via WESTCHESTER AV,,
WESTCHESTER AV/THIERIOT AV,,,,,,,,,,,,,,,,,,,,0.241 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,0.171 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,
WESTCHESTER AV/SIMPSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 WESTCHTR SQ via WESTCHTR AV,0.199 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,
