,BAYCHESTER AV/N.E. THRUWAY EXIT,BRUCKNER BL/HAVEMEYER AV,BRUCKNER BL/MIDDLETOWN RD,STORY AV/SOUNDVIEW AV,PARKING RAMP/ACCESS RD,BRUCKNER BL/BUHRE AV,BRUCKNER BL/LOGAN AV,STORY AV/BOYNTON AV,WHITE PLAINS RD/STORY AV,"BRUCKNER BL/ST JOSEPH""S WAY",TURNBULL AV/ PUGSLEY AV,STORY AV/NOBLE AV,STORY AV/BRONX RIVER AV,BAY PLAZA BL/CO-OP CITY BL,CASTLE HILL AV/HERMANY AV,CASTLE HILL AV/TURNBULL AV,BRUCKNER BL/GIFFORD AV,STORY AV/METCALF AV,LAFAYETTE AV/OLMSTEAD AV,SOUTHERN BL/WESTCHESTER AV,BRUCKNER BL/KEARNEY AV,STORY AV/THIERIOT AV,CASTLE HILL AV/QUIMBY AV,SOUTHERN BL/ALDUS ST,MACDONOUGH PL/COUNTRY CLUB RD,BRUCKNER BL/WILKINSON AV,BRUCKNER BL/CASTLE HILL AV,CASTLE HILL AV/BRUCKNER BL,HUNTS POINT AV/SOUTHERN BL,BRONX RIVER AV/BRUCKNER BL,WESTCHESTER AV/BRUCKNER BL,BRUCKNER BL/ROBERTS AV,BRUCKNER BL/CODDINGTON AV,BRUCKNER BL/BAISLEY AV,STORY AV/ROSEDALE AV,EDSON AV/BARTOW AV,STORY AV/FTELEY AV,BRUCKNER BL/E TREMONT AV,STORY AV/COLGATE AV,BRUCKNER BL/ZEREGA AV,BRUCKNER BL/CROSBY AV,BRUCKNER BL/HUNTINGTON AV,BRUCKNER BL/JARVIS AV,STORY AV/MORRISON AV,E 163 ST/SOUTHERN BL,WHITE PLAINS RD/LAFAYETTE AV,STORY AV/ELDER AV,LAFAYETTE AV/WHITE PLAINS RD,LAFAYETTE AV/PUGSLEY AV,STORY AV/UNDERHILL AV,CHARLES CRIMI RD/SUBWAY OVERPASS,STORY AV/BOLTON AV,BRUCKNER BL/WILLOW LA,STORY AV/TAYLOR AV,STORY AV/EVERGREEN AV,West Farms Depot (WF)
BAYCHESTER AV/N.E. THRUWAY EXIT,,,,,32.166 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/HAVEMEYER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,0.544 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,
BRUCKNER BL/MIDDLETOWN RD,,,,,,2.938 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.394 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,
STORY AV/SOUNDVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,
PARKING RAMP/ACCESS RD,,,,,,,,,,,21.827 BAY PLAZA via STORY AV via BRUCKNER BL,,,28.317 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/BUHRE AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.842 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/LOGAN AV,,,,,,,,,,,,,,,,,,,,,0.588 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/BOYNTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,0.238 WEST FARMS RD SOUTHRN BL via BRCKNR,
WHITE PLAINS RD/STORY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,
"BRUCKNER BL/ST JOSEPH""S WAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,
TURNBULL AV/ PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.705 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,0.089 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,
STORY AV/NOBLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,
STORY AV/BRONX RIVER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,0.22 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,
BAY PLAZA BL/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/HERMANY AV,,,,,,,,,,,,,,,,,,,0.425 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/TURNBULL AV,,,,,,,,,,,,,,,,,,,,,,,0.244 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/GIFFORD AV,,1.709 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/METCALF AV,,,,,,,,,,,,0.19 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
