,E 161 ST/CONCOURSE VILLAGE E,HUNTS POINT AV/GILBERT PL,E 161 ST/RIVER AV,E 161 ST/SHERMAN AV,HUNTS POINT AV/FAILE ST,E 163RD ST/KELLEY ST,RYAWA AV/HALLECK ST,SPOFFORD AV/BRYANT AV,E 161 ST/PARK AV,FOOD CENTER DR/FARRAGUT ST,E 161 ST/MORRIS AV,HUNTS POINT AV/SENECA AV,FOOD CENTER DR/HUNTS PT MARKET,RIVERSIDE DR/W 160 ST,E 163 ST/PROSPECT AV,E 161 ST/GERARD AV,HALLECK ST/OAK PT AV,HUNTS POINT AV/SPOFFORD AV,RIVERSIDE DR/W 156 ST,HUNTS POINT AV/LAFAYETTE AV,JEROME AV/E 161 ST,HUNTS POINT AV/E 163 ST,E 161 ST/MELROSE AV,RIVERSIDE DR W/157-10 RIVERSIDE DR W,ELTON AV/E 161 ST,E 163 ST/3 AV,W 157 ST/EDWARD M MORGAN PL,E 163 ST/SIMPSON ST,E 163 ST/FOX ST,W 155 ST/BROADWAY,HUNTS POINT AV/BRUCKNER BL,FOOD CENTER DR/FULTON FISH MARKET,HALLECK ST/SPOFFORD AV,W 155 ST/AMSTERDAM AV,W 155 ST/EDGECOMBE AV,E 163 ST/TRINITY AV,E 163 ST/TINTON AV,HUNTS POINT AV/COSTER ST,EDWARD M MORGAN PL/W 157 ST,FOOD CENTER DR/TERMINAL,E 163 ST/WESTCHESTER AV,HALLECK ST/FOOD CENTER DR,E 161 ST/MACOMBS DAM BRIDGE,E 163 ST/INTERVALE AV,FOOD CENTER DR/155 FOOD CENTER DR(BALDOR),HALLECK ST/VIELE AV,West Farms Depot (WF)
E 161 ST/CONCOURSE VILLAGE E,,,,,,,,,0.169 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTS POINT AV/GILBERT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 HUNTS POINT,,,,,,,,,
E 161 ST/RIVER AV,,,,,,,,,,,,,,,,0.32 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 WASHINGTON HTS RIVERSIDE DR,,,,
E 161 ST/SHERMAN AV,0.164 HUNTS POINT,,0.515 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTS POINT AV/FAILE ST,,,,,,,,,,,,,,,,,,,,0.226 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 163RD ST/KELLEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 WASHINGTON HTS RIVERSIDE DR,,,,,,
RYAWA AV/HALLECK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783 HUNTS POINT,,,,,,,,,,,,,,,
SPOFFORD AV/BRYANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 HUNTS POINT,,,,,,,,,,,,,,
E 161 ST/PARK AV,,,,,,,,,,,0.169 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,0.249 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,
FOOD CENTER DR/FARRAGUT ST,,,,,,,,,,,,,2.94 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 161 ST/MORRIS AV,,,,0.164 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTS POINT AV/SENECA AV,,0.114 HUNTS POINT,,,,,,,,,,,,,,,,,,,,0.529 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,
FOOD CENTER DR/HUNTS PT MARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463 HUNTS POINT,,
RIVERSIDE DR/W 160 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549 HUNTS POINT,,,,,,,,
E 163 ST/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 WASHINGTON HTS RIVERSIDE DR,,,,0.209 HUNTS POINT,,,,,,
E 161 ST/GERARD AV,,,,0.943 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLECK ST/OAK PT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648 HUNTS POINT,,,,,
HUNTS POINT AV/SPOFFORD AV,,,,,0.119 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 156 ST,,,,,,,,,,,,,,,,,,,,,,,,0.344 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,
HUNTS POINT AV/LAFAYETTE AV,,,,,,,,,,,,0.628 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/E 161 ST,,,0.852 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTS POINT AV/E 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,
E 161 ST/MELROSE AV,,,,,,,,,0.249 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,0.187 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR W/157-10 RIVERSIDE DR W,,,,,,,,,,,,,,0.897 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTON AV/E 161 ST,,,,,,,,,,,,,,,,,,,,,,,0.187 WASHINGTON HTS RIVERSIDE DR,,,0.282 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,
E 163 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.311 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,0.263 HUNTS POINT,,,,,,,,,,,
W 157 ST/EDWARD M MORGAN PL,,,,,,,,,,,,,,,,,,,0.243 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 163 ST/SIMPSON ST,,,,,,0.221 WASHINGTON HTS RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 163 ST/FOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 HUNTS POINT,,,,,,,,,,,,,,,,4.361 to depot of Bx6
W 155 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 WASHINGTON HTS RIVERSIDE DR,,,,,,,0.243 HUNTS POINT,,,,,,,,,,,,,
HUNTS POINT AV/BRUCKNER BL,,,,,,,,,,,,0.187 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOD CENTER DR/FULTON FISH MARKET,,,,,,,,,,1.25 HUNTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
