,HENRY HUDSON PKY E/W 239 ST,BROADWAY/W 192 ST,BROADWAY/EXTERIOR ST,BROADWAY/W 170 ST,BROADWAY/W 196 ST,BROADWAY/ISHAM ST-W 211 ST,ST NICHOLAS AV/W 167 ST,RIVERDALE AV/GREYSTONE AV,HENRY HUDSON PKY W/W 252 ST,HENRY HUDSON PKY E/W 252 ST,W 231 ST/CORLEAR AV,W 231 ST/TIBBETT AV,BROADWAY/RIVERSIDE DR,BROADWAY/W 173 ST,BROADWAY/DONGAN PL,HENRY HUDSON PKY W/W 246 ST,BROADWAY/W 185 ST,BROADWAY/W 189 ST,BROADWAY/W 218 ST,BROADWAY/W 213 ST,BROADWAY/W 220 ST,BROADWAY/W 225 ST,HENRY HUDSON PKY W/W 249 ST,BROADWAY/W 175 ST,BROADWAY/W 228 ST,W 239 ST/RIVERDALE AV,BROADWAY/FAIRVIEW AV,RIVERDALE AV/W 256 ST,BROADWAY/W 204 ST,BROADWAY/ARDEN ST,RIVERDALE AV/W 254 ST,RIVERDALE AV/W 261 ST,RIVERDALE AV/W 236 ST,BROADWAY/ISHAM ST,BROADWAY/W 187 ST,W 231 ST/BROADWAY,BROADWAY/W 215 ST,W 231 ST/KINGSBRIDGE AV,BROADWAY/W 190 ST,BROADWAY/W 176 ST,BROADWAY/W 171 ST,BROADWAY/W 183 ST,BROADWAY/DYCKMAN ST,BROADWAY/W 193 ST,RIVERDALE AV/W 238 ST,BROADWAY/SHERMAN AV,BROADWAY/W 174 ST,W 230 ST/BROADWAY,BROADWAY/W 168 ST,BROADWAY/BENNETT AV,BROADWAY/W 181 ST,HENRY HUDSON PKY E/W 246 ST,BROADWAY/W 207 ST,BROADWAY/W 178 ST,HENRY HUDSON PKY E/W 250 ST,RIVERDALE AV/W 260 ST,KINGSBRIDGE AV/W 230 ST,RIVERDALE AV/W 259 ST,BROADWAY/W 172 ST,RIVERDALE AV/W 263 ST,W 231 ST/RIVERDALE AV,BROADWAY/ACADEMY ST,Kingsbridge Depot (KB)
HENRY HUDSON PKY E/W 239 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454 RIVERDALE 263 ST,,,,,,,,,,,
BROADWAY/W 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/EXTERIOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,
BROADWAY/W 196 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,
BROADWAY/ISHAM ST-W 211 ST,,,,,,,,,,,,,,,,,,,,0.222 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/GREYSTONE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 252 ST,,,,,,,,,,,,,,,,,,,,,,,0.236 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,0.489 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/RIVERSIDE DR,,,,,,,,,,,,,,,0.256 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 173 ST,,,,,,,,,,,,,,,,,,,,,,,,0.171 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/DONGAN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.595 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 185 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 RIVERDALE 263 ST,,,,,,,,,,,,,,,,0.301 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,
BROADWAY/W 189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 RIVERDALE 263 ST,,,,,,,,0.105 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 218 ST,,,,,,,,,,,,,,,,,,,,,1.714 RIVERDALE 263 ST,,,,,,,,,,,,,,,,0.185 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 213 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,0.112 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 220 ST,,,,,,,,,,,,,,,,,,,0.205 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,1.604 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 225 ST,,,,,,,,,,,,,,,,,,,,,0.315 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,1.715 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 249 ST,,,,,,,,,,,,,,,,0.423 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337 RIVERDALE 263 ST,,,,,,,,,
BROADWAY/W 228 ST,,,1.462 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,0.18 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
