,WILLIAMSBRIDGE RD/SILVER ST,LOCUST POINT DR/HATTING PL,WILLIAMSBRIDGE RD/ASTOR AV,WILLIAMSBRIDGE RD/PELHAM PY N,CROSBY AV/BRUCKNER BL,THROGS NECK EXP/WISSMAN AV,BRONXWOOD AV/DUNCAN ST,BRONXWOOD AV/GUN HILL RD,CROSBY AV/BAISLEY AV,CROSBY AV/BUHRE AV,CROSBY AV/WESTCHESTER AV,BRONXWOOD AV/BURKE AV,BRONXWOOD AV/ADEE AV,BRONXWOOD AV/BARTHOLDI ST,CROSBY AV/DUDLEY AV,THROGS NECK EXP/HARDING AV,EDGEWATER PL/EDGEWATER PK OVAL,BRONXWOOD AV/E 218 ST,WILLIAMSBRIDGE RD/RHINELANDER AV,LONGSTREET AV/CHAFFEE AV,WILLIAMSBRIDGE RD/PELHAM PY,CROSBY AV/ZULETTE AV,WILLIAMSBRIDGE RD/PIERCE AV,CHAFFEE AV/HATTING PL,WILLIAMSBRIDGE RD/MACE AV,OTIS AV/LOGAN AV,THROGS NECK/VETERANS MEMORIAL,LAYTON AV/THROGS NECK EP,WILLIAMSBRIDGE RD/ALLERTON AV,PENNYFIELD AV/THROGS NECK EP,THROGS NECK EP/MEAGHER AV,BRONXWOOD AV/E GUN HILL RD,CROSBY AV/CODDINGTON AV,TIERNEY PL/LONGSTREET AV,WILLIAMSBRIDGE RD/EASTCHESTER RD,WILLIAMSBRIDGE RD/MORRIS PK AV,WILLIAMSBRIDGE RD/BOSTON RD,BRONXWOOD AV/TILDEN ST,BRONXWOOD AV/E 222 ST,E 226 ST/BRONXWOOD AV,PENNYFIELD AV/LAWTON AV,PENNYFIELD AV/HARDING AV,EDGEWATER PK/EDGEWATER PK OVAL,CROSBY AV/MIDDLETOWN RD,CLARENCE AV/PHILIP AV,LAYTON AV/VINCENT AV,BRONXWOOD AV/E 220 ST,OTIS AV/THROGS NECK EP,ELLSWORTH AV/SCHLEY AV,WHITE PLAINS RD/E 225 ST,BRONXWOOD AV/E 216 ST,WHITE PLAINS RD/E 222 ST,THROGS NECK EXP/PRENTISS AV,BRONXWOOD AV/E 214 ST,WESTCHESTER AV/E TREMONT AV,BRONXWOOD AV/E 224 ST,CLARENCE AV/RANDALL AV,WILLIAMSBRIDGE RD/E TREMONT AV,CROSBY AV/WATERBURY AV,WESTCHESTER AV/MULFORD AV,WILLIAMSBRIDGE RD/ST RAYMONDS AV,E TREMONT AV/LANE AV,DEAN AV/LAFAYETTE AV,LOCUST POINT DR/GEIGERICH PL,E 226 ST/BARNES AV,THROGS NECK EP/VETERANS MEMORIAL PK,WESTCHESTER AV/MIDDLETOWN RD,DEAN AV/LAYTON AV,LAYTON AV/CLARENCE AV,E 226 ST/WHITE PLAINS RD,GEIGERICH PL/LOCUST POINT DR,THROGS NECK EP/RANDALL AV,WILLIAMSBRIDGE RD/PELHAM PY S,WESTCHESTER AV/ROBERTS AV,WILLIAMSBRIDGE RD/NEILL AV,E 222 ST/BARNES AV,BRONXWOOD AV/ARNOW AV,West Farms Depot (WF)
WILLIAMSBRIDGE RD/SILVER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,
LOCUST POINT DR/HATTING PL,,,,,,,,,,,,,,,,,,,,0.225 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/ASTOR AV,,,,0.221 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,0.377 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/PELHAM PY N,,,0.221 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 LOCUST PT TIERNEY PL,,,,,
CROSBY AV/BRUCKNER BL,,,,,,,,,0.241 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.429 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROGS NECK EXP/WISSMAN AV,,,,,,,,,,,,,,,,,0.459 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONXWOOD AV/DUNCAN ST,,,,,,,,0.539 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONXWOOD AV/GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSBY AV/BAISLEY AV,,,,,0.241 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,
CROSBY AV/BUHRE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 WILLIAMSBRIDGE 225 ST,,,,
CROSBY AV/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONXWOOD AV/BURKE AV,,,,,,,0.379 WILLIAMSBRIDGE 225 ST,,,,,,0.203 LOCUST PT TIERNEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONXWOOD AV/ADEE AV,,,,,,,,,,,,0.2 WILLIAMSBRIDGE 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 LOCUST PT TIERNEY PL,
