,BROADWAY/W 240 ST,E KINGSBRIDGE RD/E 192 ST,BROADWAY/MOSHOLU AV,BROADWAY/EXTERIOR ST,W KINGSBRIDGE RD/KINGSBRIDGE TER,E 180 ST/CROTONA PY,BROADWAY/W 228 ST,E FORDHAM RD/CAMBERLENG AV,E FORDHAM RD/HOFFMAN ST,BROADWAY/W 242 ST,W 225 ST/BROADWAY,BROADWAY/W 234 ST,W KINGSBRIDGE RD/SEDGWICK AV,BROADWAY/W 231 ST,W KINGSBRIDGE RD/JEROME AV,BROADWAY/W 251 ST,SOUTHERN BL/BRONX PK S,BROADWAY/W 238 ST,BROADWAY/W 260 ST,E 180 ST/BOSTON RD,BROADWAY/W 246 ST,E FORDHAM RD/CAMBRELENG AV,E TREMONT AV/E 177 ST,E FORDHAM RD/3 AV,BROADWAY/TIM HENDRICK PL,W KINGSBRIDGE RD/HEATH AV,W KINGSBRIDGE RD/UNIVERSITY AV,BROADWAY/VAN CORTLANDT PK S,E KINGSBRIDGE RD/E192 ST,E KINGSBRIDGE RD/E FORDHAM RD,SOUTHERN BL/E FORDHAM RD,SOUTHERN BL/E 182 ST,E FORDHAM RD/DECATUR AV,BROADWAY/W 236 ST,W KINGSBRIDGE RD/BAILEY AV,BROADWAY/LAKE VIEW PL,BROADWAY/W 254 ST,SOUTHERN BL/E 189 ST,E FORDHAM RD/BATHGATE AV,SOUTHERN BL/E 183 ST,SOUTHERN BL/E 187 ST,DEVOE AV/LEBANON ST,BROADWAY/KIMBERLY PL,E 180 ST/MOHEGAN AV,E KINGSBRIDGE RD/GRAND CONCOURSE,E 180 ST/DALY AV,BOSTON RD/E 178 ST,BROADWAY/W 262 ST,BOSTON RD/E 180 ST,Kingsbridge Depot (KB)
BROADWAY/W 240 ST,,,,,,,,,,,,,,,,,,0.188 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544 RIVERDALE 262 ST,,,,,
BROADWAY/MOSHOLU AV,,,,,,,,,,,,,,,,,,,0.3 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,0.376 WEST FARMS,,,,,,,,,,,,,
BROADWAY/EXTERIOR ST,,,,,,,,,,,,,,0.321 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/KINGSBRIDGE TER,,,,,,,,,,,,,1.376 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,0.364 RIVERDALE 262 ST,,,,,,,,,,,,,,,
E 180 ST/CROTONA PY,,,,,,,,,,,,,,,,,1.061 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 228 ST,,,,1.462 RIVERDALE 262 ST,,,,,,,0.214 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/CAMBERLENG AV,,,,,,,,,0.804 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/HOFFMAN ST,,,,,,,,,,,,,,,,,,,,,,0.303 WEST FARMS,,,,,,,,,,,,,,,,,0.442 RIVERDALE 262 ST,,,,,,,,,,,
BROADWAY/W 242 ST,0.546 WEST FARMS,,,,,,,,,,,,,,,,,,,,0.256 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 225 ST/BROADWAY,,,,,,,0.832 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,0.451 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,6.827 to depot of Bx9
BROADWAY/W 234 ST,,,,,,,,,,,,,,0.34 WEST FARMS,,,,,,,,,,,0.211 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/SEDGWICK AV,,,,,0.114 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,0.277 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 231 ST,,,,,,,,,,,,1.721 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 WEST FARMS,,,,,,,
W KINGSBRIDGE RD/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,0.321 WEST FARMS,,,,,
BROADWAY/W 251 ST,,,,,,,,,,,,,,,,,,,,,0.418 WEST FARMS,,,,,,,,,,,,,,,0.317 RIVERDALE 262 ST,,,,,,,,,,,,,,
SOUTHERN BL/BRONX PK S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.772 RIVERDALE 262 ST,,,,,,,,,,
BROADWAY/W 238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 RIVERDALE 262 ST,,,,,,0.187 WEST FARMS,,,,,,,,,,,,,,,,
BROADWAY/W 260 ST,,,0.3 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 RIVERDALE 262 ST,,
E 180 ST/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358 RIVERDALE 262 ST,,,,
BROADWAY/W 246 ST,,,,,,,,,,0.436 WEST FARMS,,,,,,0.418 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/CAMBRELENG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 WEST FARMS,,,,,,,,,,,,,,,,,,,
E TREMONT AV/E 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 RIVERDALE 262 ST,,,,,,,,
E FORDHAM RD/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 RIVERDALE 262 ST,,,,,,0.3 WEST FARMS,,,,,,,,,,,
