,BROADWAY/W 174 ST,E 127 ST/2 AV,BROADWAY/RIVERSIDE DR,AMSTERDAM AV/W 161 ST,AMSTERDAM AV/W 156 ST,DYCKMAN ST/10 AV,AMSTERDAM AV/W 145 ST,BROADWAY/W 190 ST,DYCKMAN ST/BROADWAY,BROADWAY/W 176 ST,AMSTERDAM AV/W 158 ST,BROADWAY/DONGAN PL,AMSTERDAM AV/W 131 ST,DYCKMAN ST/SHERMAN AV,E 125 ST/3 AV,BROADWAY/SHERMAN AV,W 125 ST/5 AV,BROADWAY/W 220 ST,DYCKMAN ST/NAGLE AV,BROADWAY/W 170 ST,BROADWAY/W 173 ST,ST NICHOLAS AV/W 162 ST,AMSTERDAM AV/W 138 ST,BROADWAY/W 171 ST,BROADWAY/W 187 ST,AMSTERDAM AV/W 155 ST,E 125 ST/LEXINGTON AV,BROADWAY/W 193 ST,W 125 ST/ST NICHOLAS AV,AMSTERDAM AV/W 150 ST,W 125 ST/ADAM C POWELL BL,AMSTERDAM AV/W 149 ST,10 AV/W 211 ST,10 AV/W 202 ST,10 AV/W 214 ST,BROADWAY/W 178 ST,10 AV/W 204 ST,BROADWAY/ARDEN ST,BROADWAY/W 168 ST,W 125 ST/MALCOLM X  BL,AMSTERDAM AV/W 140 ST,E 125 ST/2 AV,AMSTERDAM AV/W 143 ST,ST NICHOLAS AV/W 163 ST,E 125 ST/PARK AV,W 125 ST/FRED DOUGLASS BL,E 125 ST/5 AV,BROADWAY/W 181 ST,BROADWAY/W 185 ST,AMSTERDAM AV/W 135 ST,ST NICHOLAS AV/W 167 ST,10 AV/SHERMAN AV,W 125 ST/MORNINGSIDE AV,BROADWAY/W 172 ST,W 166 ST/ST NICHOLAS AV,AMSTERDAM AV/W 151 ST,AMSTERDAM AV/W 148 ST,BROADWAY/W 175 ST,AMSTERDAM AV/W 126 ST,ST NICHOLAS AV/W 164 ST,W 125 ST/AMSTERDAM AV,10 AV/HARLEM RIVER DR,10 AV/W 207 ST,BROADWAY/W 183 ST,BROADWAY/W 192 ST,DYCKMAN ST/FT. GEORGE HILL,E 127 ST/ 2 AV,BROADWAY/FAIRVIEW AV,10 AV/W 215 ST,AMSTERDAM AV/W 133 ST,AMSTERDAM AV/W 152 ST,E 125 ST/MADISON AV,BROADWAY/W 196 ST,BROADWAY/W 189 ST,BROADWAY/BENNETT AV,W 125 ST/MALCOLM X BL,3 AV/E 125 ST,AMSTERDAM AV/W 129 ST,Kingsbridge Depot (KB)
BROADWAY/W 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,
E 127 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 E HARLEM 2 AV-127 ST,,,,,,,,,,,,
BROADWAY/RIVERSIDE DR,,,,,,,,,,,,0.256 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 161 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 156 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 E HARLEM 2 AV-127 ST,,,,,,,,
DYCKMAN ST/10 AV,,,,,,,,,,,,,,,,,,,0.325 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 145 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,0.165 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 E HARLEM 2 AV-127 ST,,,,,
DYCKMAN ST/BROADWAY,,,,,,,,,,,,,,0.247 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 176 ST,0.169 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 158 ST,,,,0.235 INWOOD 220 ST via AMSTERDAM via BROADWAY,0.203 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/DONGAN PL,,,,,,,,,,,,,,,,0.145 E HARLEM 2 AV-127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 131 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 INWOOD 220 ST via AMSTERDAM via BROADWAY,,,,,,,,0.181 E HARLEM 2 AV-127 ST,
