,NORTHERN BL/215 PL,SANFORD AV/158 ST,NORTHERN BL/217 ST,NORTHERN BL/MARATHON PY,NORTHERN BL/232 ST,SANFORD AV/PARSONS BL,NORTHERN BL/UTOPIA PY,NORTHERN BL/LITTLE NECK PY,SANFORD AV/165 ST,NORTHERN BL/BELL BL,BOWNE ST/41 AV,NORTHERN BL/168 ST,NORTHERN BL/SPRINGFIELD BL,NORTHERN BL/227 ST,BOWNE ST/SANFORD AV,SANFORD AV/147 ST,ROOSEVELT AV/UNION ST,NORTHERN BL/219 ST,NORTHERN BL/171 ST,NORTHERN BL/189 ST,NORTHERN BL/194 ST,NORTHERN BL/FRANCIS LEWIS BL,NORTHERN BL/244 ST,NORTHERN BL/CLEARVIEW EP,NORTHERN BL/169 ST,NORTHERN BL/221 ST,NORTHERN BL/211 ST,NORTHERN BL/230 ST,NORTHERN BL/223 ST,NORTHERN BL/204 ST,NORTHERN BL/ALAMEDA AV,NORTHERN BL/212 ST,NORTHERN BL/192 ST,NORTHERN BL/MORGAN ST,NORTHERN BL/CORPORAL KENNEDY ST,ROOSEVELT AV/BOWNE ST,NORTHERN BL/220 PL,PEMBROKE AV/GLENWOOD ST,SANFORD AV/149 ST,NORTHERN BL/215 ST,NORTHERN BL/DOUGLASTON PY,NORTHERN BL/BROWVALE LA,NORTHERN BL/243 ST,NORTHERN BL/202 ST,SANFORD AV/156 ST,SANFORD AV/162 ST,ROOSEVELT AV /UNION ST,College Point Depot (CP)
NORTHERN BL/215 PL,,,,,,,,,,0.163 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANFORD AV/158 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FLUSHING MAIN ST STATION via NORTHERN,0.321 LITTLE NECK GLENWOOD ST VIA NORTHERN,,
NORTHERN BL/217 ST,0.201 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,0.493 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/MARATHON PY,,,,,,,,,,,,,,,,,,,,,,,1.015 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,0.886 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,
NORTHERN BL/232 ST,,,,,,,,,,,,,,0.539 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,1.731 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,
SANFORD AV/PARSONS BL,,,,,,,,,,,,,,,0.181 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/UTOPIA PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,
NORTHERN BL/LITTLE NECK PY,,,,0.768 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANFORD AV/165 ST,,,,,,,,,,,,0.262 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 FLUSHING MAIN ST STATION via NORTHERN,,
NORTHERN BL/BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,0.374 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,
BOWNE ST/41 AV,,,,,,,,,,,,,,,,0.728 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/168 ST,,,,,,,,,,,,,,,,,,,0.251 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,
NORTHERN BL/227 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,
BOWNE ST/SANFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,
SANFORD AV/147 ST,,,,,,0.347 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,
ROOSEVELT AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 FLUSHING MAIN ST STATION via NORTHERN,2.865 to depot of Q12
NORTHERN BL/219 ST,,,0.171 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/171 ST,,,,,,,0.86 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,0.166 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/189 ST,,,,,,,,,,,,,,,,,,,0.614 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/194 ST,,,,,,,,,,,,,,,,,,,,,,1.079 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,0.134 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,
NORTHERN BL/FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,0.678 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,0.22 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,
NORTHERN BL/244 ST,,,,0.524 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,
NORTHERN BL/CLEARVIEW EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.063 FLUSHING MAIN ST STATION via NORTHERN,,,,,4.691 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,
NORTHERN BL/169 ST,,,,,,,,,0.874 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/221 ST,,,,,,,,,,,,,,,,,,0.224 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/211 ST,,,,,,,,,,0.373 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/230 ST,,,,,2.23 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/223 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 FLUSHING MAIN ST STATION via NORTHERN,,3.24 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/204 ST,,,,,,,,,,,,,,,,,,,,,,,,3.481 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,0.179 FLUSHING MAIN ST STATION via NORTHERN,,,,
NORTHERN BL/ALAMEDA AV,,,,,0.613 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,
NORTHERN BL/212 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,
NORTHERN BL/192 ST,,,,,,,,,,,,,,,,,,,,0.578 FLUSHING MAIN ST STATION via NORTHERN,0.659 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/MORGAN ST,,,,,,,,1.043 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/CORPORAL KENNEDY ST,,,,,,,,,,,,,,,,,,,,,,,,4.223 FLUSHING MAIN ST STATION via NORTHERN,,,0.17 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,
ROOSEVELT AV/BOWNE ST,,,,,,,,,,,0.13 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 FLUSHING MAIN ST STATION via NORTHERN,
NORTHERN BL/220 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,
PEMBROKE AV/GLENWOOD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,
SANFORD AV/149 ST,,,,,,,,,,,,,,,,0.234 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,
NORTHERN BL/215 ST,,,0.247 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/DOUGLASTON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.609 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,
NORTHERN BL/BROWVALE LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,
NORTHERN BL/243 ST,,,,,,,,,,,,,,,,,,,,,,,0.086 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/202 ST,,,,,,,,,,,,,,,,,,,,,,0.58 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,0.146 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,
SANFORD AV/156 ST,,0.159 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,
SANFORD AV/162 ST,,0.321 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,0.225 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOSEVELT AV /UNION ST,,,,,,,,,,,,,,,,,0.0 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,0.186 LITTLE NECK GLENWOOD ST VIA NORTHERN,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,2.326 FLUSHING MAIN ST STATION via NORTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
