,BELL BL/28 AV,NORTHERN BL/192 ST,BELL BL/32 AV,39 AV /138 ST,BELL BL/33 AV,NORTHERN BL/172 ST,NORTHERN BL/165 ST,NORTHERN BL/154 ST,NORTHERN BL/212 ST,NORTHERN BL/204 ST,NORTHERN BL/169 ST,BELL BL/36 AV,BELL BL/42 AV,BELL BL/38 AV,NORTHERN BL/196 ST,BELL BL/212 ST,NORTHERN BL/146 ST,UNION AV/NORTHERN BL,NORTHERN BL/159 ST,NORTHERN BL/UTOPIA PY,NORTHERN BL/PARSONS BL,TOTTEN AV/CROSS ISLAND PY,BELL BL/14 AV,NORTHERN BL/CORPORAL KENNEDY ST,NORTHERN BL/STATION RD,BELL BL/24 AV,NORTHERN BL/ROOSEVELT AV,NORTHERN BL/171 ST,NORTHERN BL/157 ST,TOTTEN AV /CROSS ISLAND PKY,NORTHERN BL/189 ST,NORTHERN BL/150 ST,NORTHERN BL/AUBURNDALE LA,BELL BL/39 AV,BELL BL/41 AV,NORTHERN BL/CLEARVIEW EP,UNION ST/NORTHERN BL,NORTHERN BL/167 ST,NORTHERN BL/194 ST,BELL BL/35 AV,BELL BL/29 AV,NORTHERN BL/BOWNE ST,NORTHERN BL/FRANCIS LEWIS BL,NORTHERN BL/211 ST,BELL BL/40 AV,NORTHERN BL/168 ST,NORTHERN BL/MURRAY ST,NORTHERN BL/166 ST,NORTHERN BL/202 ST,BELL BL/16 AV,BELL BL/23 AV,NORTHERN BL/190 ST,BELL BL/18 AV,BELL BL/43 AV,NORTHERN BL/161 ST,NORTHERN BL/147 ST,BELL BL/NORTHERN BL,BELL BL/33 RD,NORTHERN BL/163 ST,NORTHERN BL/149 ST,College Point Depot (CP)
BELL BL/28 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 FORT TOTTEN,,,,,,,,,,,,,,,0.193 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578 FLUSHING MAIN ST STATION,,,,,,,,0.659 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,
BELL BL/32 AV,,,,,0.177 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,
39 AV /138 ST,,,,,,,,,,,,,,,,,,0.527 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/33 AV,,,0.177 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.805 FLUSHING MAIN ST STATION,,,
NORTHERN BL/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/165 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.187 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,0.142 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,
NORTHERN BL/212 ST,,,,,,,,,,,,,,,,,,,,,,,,0.25 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/204 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.481 FORT TOTTEN,,,,,,,,,,,,,0.179 FLUSHING MAIN ST STATION,,,,,,,,,,,,
NORTHERN BL/169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/36 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,
BELL BL/42 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455 FORT TOTTEN,,,,,,,,,,,,,,,,
BELL BL/38 AV,,,,,,,,,,,,0.159 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,0.362 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/196 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 FLUSHING MAIN ST STATION,,,,0.181 FORT TOTTEN,,,,,,,,,,,,,,,,,,
BELL BL/212 ST,,,,,,,,,,,,,,,,,,,,,,,0.175 FLUSHING MAIN ST STATION,,,,,,,0.325 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/146 ST,,,,,,,,,,,,,,,,,,,,,1.373 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.969 to depot of Q13
UNION AV/NORTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 FORT TOTTEN,,,,,,,,,,,,,,,,,,,
NORTHERN BL/159 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 FORT TOTTEN,,
NORTHERN BL/UTOPIA PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78 FORT TOTTEN,,,,,,,,,
NORTHERN BL/PARSONS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,0.703 FORT TOTTEN,,,,,
TOTTEN AV/CROSS ISLAND PY,,,,,,,,,,,,,,,,0.241 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/14 AV,,,,,,,,,,,,,,,,0.175 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 FLUSHING MAIN ST STATION,,,,,,,,,,,
NORTHERN BL/CORPORAL KENNEDY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.223 FLUSHING MAIN ST STATION,,,,,,,,0.17 FORT TOTTEN,,,,,,,,,,,,,,,,,
NORTHERN BL/STATION RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001 FLUSHING MAIN ST STATION,,,,,,
BELL BL/24 AV,0.291 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,0.0 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,0.404 FORT TOTTEN,,,,,,,,,,
NORTHERN BL/ROOSEVELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/171 ST,,,,,,,,,,,0.166 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,0.465 FORT TOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
