,7 AV/150 ST,150 ST/11 AV,150 ST/35 AV,150 ST/CROSS ISLAND PKY SVC RD S,41 AV/PARSONS BL,150 ST/29 AV,150 ST/21 AV,154 ST/POWELLS COVE BL,154 ST/10 AV,150 ST/17 RD,10 AV/152 ST,41 AV/149 ST,150 ST/20 AV,150 ST/12 AV,ROOSEVELT AV/UNION ST,150 ST/16 RD,150 ST/25 DR,10 AV/ 152 ST,150 ST/ROOSEVELT AV,ROOSEVELT AV/BOWNE ST,150 ST/27 AV,150 ST/10 AV,CLINTONVILLE ST/7 AV,150 ST/22 AV,150 ST/20 RD,150 ST/23 AV,150 ST/25 AV,154 ST/9 AV,POWELLS COVE BL/157 ST,166 ST/POWELLS COVE BL,150 ST/24 RD,150 ST/15 DR,150 ST/8 AV,162 ST/POWELL'S COVE BL,150 ST/9 AV,150 ST/34 AV,150 ST/33 AV,150 ST/18 AV,ROOSEVELT AV/MAIN ST,150 ST/NORTHERN BL,POWELLS COVE BL/159 ST,POWELLS COVE BL/162 ST,150 ST/19 AV,150 ST/CROSS ISLAND PY SVC RD,41 AV/150 ST,150 ST/7 AV,CLINTONVILLE ST/10 AV,151 ST/7 AV,41 AV/147 ST,POWELLS COVE BL/160 ST,150 ST/BAYSIDE AV,166 ST / POWELLS COVE BL,150 ST/14 AV,150 ST/17 AV,150 ST/24 AV,College Point Depot (CP)
7 AV/150 ST,,,,,,,,,,,,,,,,,,,,,,,0.22 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/11 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 FLUSHING MAIN ST STATION via 10 AV,,,
150 ST/35 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,
150 ST/CROSS ISLAND PKY SVC RD S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 BEECHHURST POWELLS COVE BL via 10 AV,,,
41 AV/PARSONS BL,,,,,,,,,,,,,,,,,,,,0.341 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,
150 ST/29 AV,,,,,,,,,,,,,,,,,,,,,0.16 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/21 AV,,,,,,,,,,,,,0.158 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154 ST/POWELLS COVE BL,,,,,,,,,0.176 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154 ST/10 AV,,,,,,,,,,,,,,,,,,0.306 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/17 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,
10 AV/152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
