,41 AV/147 ST,150 ST/33 AV,150 ST/ROOSEVELT AV,154 ST/9 AV,CROSS ISLAND PY/150 PL,150 ST/19 AV,ROOSEVELT AV/BOWNE ST,CROSS ISLAND PKY/CLINTONVILLE ST,150 ST/25 AV,41 AV/150 ST,154 ST/11 AV,150 ST/16 RD,150 ST/25 DR,POWELLS COVE BL/162 ST,150 ST/24 RD,154 ST/14 AV,154 ST/POWELLS COVE BL,150 ST/29 AV,150 ST/CROSS ISLAND PY SVC RD,154 ST/12 RD,CROSS ISLAND PY/154 ST,150 ST/34 AV,150 ST/15 DR,ROOSEVELT AV/UNION ST,150 ST/23 AV,150 ST/20 RD,150 ST/BAYSIDE AV,166 ST / POWELLS COVE BL,150 ST/27 AV,41 AV/149 ST,150 ST/24 AV,150 ST/20 AV,150 ST/35 AV,150 ST/NORTHERN BL,150 ST/22 AV,150 ST/17 RD,CROSS ISLAND PKY/150 ST,POWELLS COVE BL/157 ST,150 ST/18 AV,ROOSEVELT AV/MAIN ST,POWELLS COVE BL/160 ST,154 ST/CRYDERS LA,POWELLS COVE BL/159 ST,154 ST/CROSS ISLAND PY,150 ST/17 AV,162 ST/POWELL'S COVE BL,166 ST/POWELLS COVE BL,41 AV/PARSONS BL,150 ST/21 AV,College Point Depot (CP)
41 AV/147 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,0.312 FLUSHING MAIN ST STATION via 154 ST,,
150 ST/33 AV,,,,,,,,,,,,,,,,,,,,,,0.163 FLUSHING MAIN ST STATION via 154 ST,,,,,0.284 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,
150 ST/ROOSEVELT AV,,,,,,,,,,0.164 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,0.192 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,
154 ST/9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,
CROSS ISLAND PY/150 PL,,,,,,,,,,,,,,,,,,,24.072 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/19 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,
ROOSEVELT AV/BOWNE ST,,,,,,,,,,,,,,,,,,,,,,,,0.186 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,0.341 BEECHHURST POWELLS COVE BL via 154 ST,,
CROSS ISLAND PKY/CLINTONVILLE ST,,,,,2.653 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,2.653 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/25 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,
41 AV/150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,
154 ST/11 AV,,,,0.158 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,24.177 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/16 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,
150 ST/25 DR,,,,,,,,,,,,,,,0.159 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/162 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,
150 ST/24 RD,,,,,,,,,,,,,,,,,,,,,,,,,0.128 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,
154 ST/14 AV,,,,,,,,,,,,,,,,,,,,23.862 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,0.265 FLUSHING MAIN ST STATION via 154 ST,,,,,,
154 ST/POWELLS COVE BL,,,,,,,,,,,0.255 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/29 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,
150 ST/CROSS ISLAND PY SVC RD,,,,,,,,,,,,21.915 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154 ST/12 RD,,,,,,,,,,,23.908 BEECHHURST POWELLS COVE BL via 154 ST,,,,,24.772 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS ISLAND PY/154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.454 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,
150 ST/34 AV,,0.163 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,
150 ST/15 DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,
ROOSEVELT AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,
150 ST/23 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 BEECHHURST POWELLS COVE BL via 154 ST,
150 ST/20 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,
150 ST/BAYSIDE AV,,0.284 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,0.083 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.157 to depot of Q15
166 ST / POWELLS COVE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BEECHHURST POWELLS COVE BL via 154 ST,,,
150 ST/27 AV,,,,,,,,,,,,,0.189 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,0.243 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,
41 AV/149 ST,0.197 FLUSHING MAIN ST STATION via 154 ST,,0.304 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/24 AV,,,,,,,,,0.151 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/20 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,
150 ST/35 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,
150 ST/NORTHERN BL,,,0.192 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,0.259 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/22 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,
150 ST/17 RD,,,,,,0.123 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS ISLAND PKY/150 ST,,,,,,,,0.364 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/157 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,
150 ST/18 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BEECHHURST POWELLS COVE BL via 154 ST,,,,,
ROOSEVELT AV/MAIN ST,,,,,,,0.506 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/160 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 FLUSHING MAIN ST STATION via 154 ST,,,0.153 BEECHHURST POWELLS COVE BL via 154 ST,,,,
154 ST/CRYDERS LA,,,,,,,,,,,,,,,,0.275 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/159 ST,,,,,,,,,,,,,,,,,0.404 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154 ST/CROSS ISLAND PY,,,,,,,,0.293 FLUSHING MAIN ST STATION via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/17 AV,,,,,,,,,,,,,,,,,,,,,,,0.154 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
162 ST/POWELL'S COVE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 BEECHHURST POWELLS COVE BL via 154 ST,,,,,,,,,,,,,,,,,,,,,,
