,HILLSIDE AV/207 ST,HILLSIDE AV/212 ST,SPRINGFIELD BL/94 DR,HILLSIDE AV/195 PL,SPRINGFIELD BL/91 AV,165 ST / 165 ST TERM,HILLSIDE AV/180 ST,BRADDOCK AV/222 ST,BRADDOCK AV/92 RD,SPRINGFIELD BL/94 AV,BRADDOCK AV/LYMAN ST,HILLSIDE AV/FRANCIS LEWIS BL,HILLSIDE AV/188 ST,HILLSIDE AV/SPRINGFIELD BL,BRADDOCK AV/90 AV,HILLSIDE AV/211 ST,165 ST/TERMINAL,HILLSIDE AV/168 PL,HILLSIDE AV/169 ST,SPRINGFIELD BL/JAMAICA AV,SPRINGFIELD BL/92 AV,HILLSIDE AV/205 ST,BRADDOCK AV /240 ST,BRADDOCK AV/92 AV,BRADDOCK AV/WINCHESTER BL,HILLSIDE AV/EDGERTON BL,HILLSIDE AV/214 ST,SPRINGFIELD BL/90 AV,BRADDOCK AV/238 ST,HILLSIDE AV/202 ST,HILLSIDE AV/172 ST,HILLSIDE AV/189 ST,HILLSIDE AV/175 ST,165 ST/HILLSIDE AV,AMBOY LA/SPRINGFIELD BL,HILLSIDE AV/187 ST,HILLSIDE AV/191 ST,BRADDOCK AV /224 ST,BRADDOCK AV/89 AV,BRADDOCK AV/242 ST,HILLSIDE AV/199 ST,HILLSIDE AV/209 ST,HILLSIDE AV/198 ST,HILLSIDE AV/182 PL,HILLSIDE AV/218 ST,SPRINGFIELD BL/89 AV,BRADDOCK AV/BILLINGS ST,HILLSIDE AV/179 ST SUBWAY,BRADDOCK AV/RANSOM ST,BRADDOCK AV/221 PL,HILLSIDE AV/184 ST,SPRINGFIELD BL / 94 AV,HILLSIDE AV/193 ST,HILLSIDE AV/215 PL,HILLSIDE AV/AVON ST,HILLSIDE AV/171 ST,BRADDOCK AV/CROSS ISLAND PY,SPRINGFIELD BL/93 AV,HILLSIDE AV/210 ST,College Point Depot (CP)
HILLSIDE AV/207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 BELLEROSE 243 ST,
HILLSIDE AV/212 ST,,,,,,,,,,,,,,,,0.205 JAMAICA 165 ST TERM,,,,,,,,,,,0.285 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/94 DR,,,,,,,,,,,,,,,,,,,,0.355 BELLEROSE 243 ST,,,,,,,,,1.746 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/195 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/91 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.649 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,0.689 JAMAICA 165 ST TERM,,,,,,,,,,,,,
165 ST / 165 ST TERM,,,,,,,,,,,,,,,,,0.0 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 BELLEROSE 243 ST,,,,,,,,,,,,,,,,
BRADDOCK AV/222 ST,,,,,,,,,,,,,,,,,,,,,0.637 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK AV/92 RD,,,,,,,,,,1.148 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/94 AV,,,,,,,,,,,,,,,,,,,,,,,1.298 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK AV/LYMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179 JAMAICA 165 ST TERM,,
HILLSIDE AV/FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/188 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466 BELLEROSE 243 ST,,,,,,0.56 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,
BRADDOCK AV/90 AV,,,,,0.626 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,
165 ST/TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,15.031 to depot of Q1
HILLSIDE AV/168 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.282 BELLEROSE 243 ST,,,,
HILLSIDE AV/169 ST,,,,,,0.637 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,1.605 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,1.579 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/92 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.692 JAMAICA 165 ST TERM,,,,,,,,,,,,,0.876 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/205 ST,0.173 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK AV /240 ST,,,1.356 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK AV/92 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945 BELLEROSE 243 ST,,
BRADDOCK AV/WINCHESTER BL,,,,,0.602 JAMAICA 165 ST TERM,,,0.008 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/214 ST,,0.849 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532 BELLEROSE 243 ST,,,,,,
SPRINGFIELD BL/90 AV,,,,,,,,,,,,,,,0.359 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.129 JAMAICA 165 ST TERM,,,,,,,,,,
BRADDOCK AV/238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.251 JAMAICA 165 ST TERM,,,,,,,,
HILLSIDE AV/202 ST,,,,,,,,,,,,,,,,,,,,,,0.156 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,0.259 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,
HILLSIDE AV/172 ST,,,,,,,,,,,,,,,,,,,0.275 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,,,,,,0.497 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,1.108 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY LA/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,0.247 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.564 BELLEROSE 243 ST,,,
HILLSIDE AV/187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,0.468 JAMAICA 165 ST TERM,,,,,
HILLSIDE AV/191 ST,,,,,,,,,,,,,0.528 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35 BELLEROSE 243 ST,,,,,,,
BRADDOCK AV /224 ST,,,,,,,,,,,,,,,,,,,,,,,,0.164 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADDOCK AV/89 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 BELLEROSE 243 ST,,,,,,,,,,,,,,
BRADDOCK AV/242 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/199 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/209 ST,,,,,,,,,,,,0.407 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/198 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473 JAMAICA 165 ST TERM,,,,,,,
HILLSIDE AV/182 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 BELLEROSE 243 ST,,,,,,,,,
HILLSIDE AV/218 ST,,,,,,,,,,,,,,0.339 BELLEROSE 243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662 JAMAICA 165 ST TERM,,,,,,
