,HOLLIS CT BL/195 ST,HOLLIS CT BL/50 AV,BOWNE ST/41 AV,46 AV/162 ST,46 AV/166 ST,HOLLIS CT BL/190 ST,ROOSEVELT AV /UNION ST,46 AV/158 ST,46 AV/164 ST,PARSONS BL/45 AV,ROOSEVELT AV/UNION ST,46 AV/149 ST,HOLLIS CT BL/56 AV,46 AV/163 ST,HOLLIS CT BL/199 ST,HOLLIS CT BL/194 ST,46 AV/156 ST,PARSONS BL/ELM AV,46 AV/UTOPIA PY,SANFORD AV/BOWNE ST,HOLLIS CT BL/48 AV,46 AV/170 ST,46 AV/167 ST,ROOSEVELT AV/BOWNE ST,46 AV/AUBURNDALE LA,HOLLIS CT BL/47 AV,46 AV/171 ST,46 AV/160 ST,HOLLIS CT BL/WEEKS LA,BOWNE ST/SANFORD AV,HOLLIS CT BL/53 AV,SANFORD AV/PARSONS BL,PARSONS BL/ASH AV,46 AV/PARSONS BL,FRANCIS LEWIS BL/58 AV,PARSONS BL/CHERRY AV,46 AV/168 ST,HOLLIS CT BL/FRANCIS LEWIS BL,PARSONS BL/HAWTHORNE AV,PARSONS BL/BEECH AV,46 AV/169 ST,College Point Depot (CP)
HOLLIS CT BL/195 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,,,,,,,
HOLLIS CT BL/50 AV,,,,,,,,,,,,,,,,0.146 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,
BOWNE ST/41 AV,,,,,,,,,,,,,,,,,,,,0.2 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,,,,,,,,,,,,,,,,,,
46 AV/162 ST,,,,,,,,,0.161 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46 AV/166 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,
HOLLIS CT BL/190 ST,,,,,,,,,,,,,,,,,,,0.235 FLUSHING MAIN ST STATION,,,,,,,0.166 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,,,,,,,,,,,,
ROOSEVELT AV /UNION ST,,,,,,,,,,,0.0 FLUSHING MAIN ST STATION,,,,,,,,,,,,,0.186 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,,,,,,,,,,,,,,5.291 to depot of Q26
46 AV/158 ST,,,,,,,,,,,,,,,,,0.159 FLUSHING MAIN ST STATION,,,,,,,,,,,0.159 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,,,,,,,,,,
46 AV/164 ST,,,,,0.157 FRESH MEADOWS HOLLIS COURT BL via 46 AV,,,,,,,,,0.081 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARSONS BL/45 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 FLUSHING MAIN ST STATION,,,,,,
