,UNION AV/NORTHERN BL,NORTHERN BL/157 ST,FRANCIS LEWIS BL/32 AV,32 AV/CORPORAL KENNEDY ST,CORPORAL KENNEDY ST/32 AV,CROCHERON AV/192 ST,FRANCIS LEWIS BL/34 AV,NORTHERN BL/154 ST,NORTHERN BL/ROOSEVELT AV,213 PL/BAY TER CT,23 AV/BELL BL,32 AV/204 ST,23 AV /BELL BL,CROCHERON AV/164 ST,NORTHERN BL/PARSONS BL,CROCHERON AV/169 ST,32 AV/200 ST,CROCHERON AV/166 ST,32 AV/208 ST,23 AV/212 ST,NORTHERN BL/147 ST,32 AV/CLEARVIEW EP SR W,CROCHERON AV/168 ST,CORPORAL KENNEDY ST/26 AV,NORTHERN BL/BOWNE ST,NORTHERN BL/150 ST,FRANCIS LEWIS BL/32 RD,CORPORAL KENNEDY ST/23 AV,32 AV/205 ST,CROCHERON AV/UTOPIA PY,CROCHERON AV/171 ST,18 AV/CORPORAL KENNEDY ST,FRANCIS LEWIS BL/33 AV,CROCHERON AV/162 ST,NORTHERN BL/161 ST,211 ST/18 AV,NORTHERN BL/149 ST,39 AV/138 ST,FRANCIS LEWIS BL/35 AV,NORTHERN BL/146 ST,211 ST/23 AV,NORTHERN BL/159 ST,UNION ST/NORTHERN BL,32 AV/202 ST,CORPORAL KENNEDY ST/28 AV,FRANCIS LEWIS BL/192 ST,32 AV/JORDAN ST,CORPORAL KENNEDY ST/28 RD,18 AV/211 ST,32 AV/CLEARVIEW EP SR E,32 AV/201 ST,NORTHERN BL/MURRAY ST,39 AV /138 ST,College Point Depot (CP)
UNION AV/NORTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,0.221 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.122 to depot of Q28
NORTHERN BL/157 ST,,,,,,,,0.358 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 BAY TERRACE BELL BL,,,,,,,,,,,,
FRANCIS LEWIS BL/32 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,
32 AV/CORPORAL KENNEDY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 BAY TERRACE BELL BL,,,,,,
CORPORAL KENNEDY ST/32 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.269 FLUSHING MAIN ST STATION,,,,
CROCHERON AV/192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 FLUSHING MAIN ST STATION,,,,,,,,,0.497 BAY TERRACE BELL BL,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/34 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/154 ST,,,,,,,,,0.221 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 FLUSHING MAIN ST STATION,,
NORTHERN BL/ROOSEVELT AV,,0.086 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213 PL/BAY TER CT,,,,,,,,,,,,,49.322 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 AV/BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.023 FLUSHING MAIN ST STATION,,,,,,,,,,,,,
32 AV/204 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 FLUSHING MAIN ST STATION,,,
23 AV /BELL BL,,,,,,,,,,,0.0 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROCHERON AV/164 ST,,,,,,,,,,,,,,,,,,0.166 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,0.855 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,
NORTHERN BL/PARSONS BL,,,,,,,,,,,,,,,,,,,,,0.703 BAY TERRACE BELL BL,,,,0.991 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROCHERON AV/169 ST,,,,,,,,,,,,,,,,,,,,,,,0.08 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/200 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 BAY TERRACE BELL BL,,,,,,,,,,
CROCHERON AV/166 ST,,,,,,,,,,,,,,0.166 FLUSHING MAIN ST STATION,,,,,,,,,0.157 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/208 ST,,,,0.112 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 AV/212 ST,,,,,,,,,,52.375 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/147 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,
32 AV/CLEARVIEW EP SR W,,,,,,,,,,,,1.795 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
