,HOLLIS AV/198 ST,HILLSIDE AV/179 ST,187 PL/JAMAICA AV,HOLLIS AV/190 ST,HOLLIS AV/99 AV,HOLLIS AV/205 ST,HILLSIDE AV/184 ST,HOLLIS AV/SPRINGFIELD BL,HILLSIDE AV/187 ST,165 ST/HILLSIDE AV,HOLLIS AV/197 ST,HOLLIS AV/217 ST,HOLLIS AV/201 ST,HOLLIS AV/203 ST,HOLLIS AV/FRANCIS LEWIS BL,165 ST/TERMINAL,HOLLIS AV/211 ST,165 ST / 165 ST TERM,HOLLIS AV/217 LA,HOLLIS AV/216 ST,HOLLIS AV/191 ST,187 PL/90 AV,HILLSIDE AV/AVON ST,HOLLIS AV/100 AV,HILLSIDE AV/169 ST,SPRINGFIELD BL/HOLLIS AV,HOLLIS AV/102 AV,HOLLIS AV/208 ST,HOLLIS AV/209 PL,HEMPSTEAD AV/221 ST,HILLSIDE AV/172 ST,HOLLIS AV/214 ST,HOLLIS AV/195 ST,188 ST/90 AV,HEMPSTEAD AV/224 ST,HOLLIS AV/199 ST,188 ST/89 AV,HOLLIS AV/215 ST,SPRINGFIELD BL/HEMPSTEAD AV,HILLSIDE AV/182 PL,HILLSIDE AV/175 ST,WOODHULL AV/190 ST,HEMPSTEAD AV/220 ST,HOLLIS AV/212 PL,HEMPSTEAD AV/225 ST,HILLSIDE AV/171 ST,HEMPSTEAD AV/SPRINGFIELD BL,HEMPSTEAD AV/223 ST,HOLLIS AV/109 AV,HOLLIS AV/217 LN,HOLLIS AV /204 ST,HOLLIS AV/212 ST,HILLSIDE AV/179 ST SUBWAY,HILLSIDE AV/EDGERTON BL,HOLLIS AV/207 ST,188 ST/JAMAICA AV,HOLLIS AV/104 AV,HOLLIS AV/217 PL,College Point Depot (CP)
HOLLIS AV/198 ST,,,,,,,,,,,,,0.248 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/179 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,
187 PL/JAMAICA AV,,,,0.277 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/190 ST,,,,,,,,,,,,,,,,,,,,,0.153 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/99 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,
HOLLIS AV/205 ST,,,,,,,,,,,,,,0.158 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/184 ST,,,,,,,,,0.241 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 BELMONT PARK 225 ST,,,,,,,,,,,,
HILLSIDE AV/187 ST,,,,,,,,,,,,,,,,,,,,,,0.375 BELMONT PARK 225 ST,0.468 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,1.068 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/197 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/217 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/201 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,0.255 BELMONT PARK 225 ST,,,,,,,,
HOLLIS AV/203 ST,,,,,,,,,,,,,0.175 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/FRANCIS LEWIS BL,,,,,,0.102 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,0.212 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST/TERMINAL,,,,,,,,,,0.387 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.064 to depot of Q2
HOLLIS AV/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334 JAMAICA 165 ST TERMINAL,,,,
165 ST / 165 ST TERM,,,,,,,,,,,,,,,,0.0 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/217 LA,,,,,,,,,,,,0.181 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/216 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 BELMONT PARK 225 ST,,,,,,,,,
HOLLIS AV/191 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187 PL/90 AV,,,0.241 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/AVON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 JAMAICA 165 ST TERMINAL,,,,,,
HOLLIS AV/100 AV,,,,,0.156 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/169 ST,,,,,,,,,,,,,,,,,,0.637 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355 BELMONT PARK 225 ST,,,,,,,,,,,,,
SPRINGFIELD BL/HOLLIS AV,,,,,,,,,,,,,,,,,,,0.218 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/102 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 BELMONT PARK 225 ST,,
HOLLIS AV/208 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/209 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 BELMONT PARK 225 ST,,,,,,,
HEMPSTEAD AV/221 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.275 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/214 ST,,,,,,,,,,,,,,,,,,,,0.188 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/195 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 JAMAICA 165 ST TERMINAL,,
188 ST/90 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,
HEMPSTEAD AV/224 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/199 ST,,,,,,,,,,,0.179 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/89 AV,,,,,,,,,0.32 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/215 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,
SPRINGFIELD BL/HEMPSTEAD AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/182 PL,,,,,,,0.164 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,0.608 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODHULL AV/190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 JAMAICA 165 ST TERMINAL,,,
HEMPSTEAD AV/220 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623 BELMONT PARK 225 ST,,,,,,,,,,,
HOLLIS AV/212 PL,,,,,,,,,,,,,,,,,0.155 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMPSTEAD AV/225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056 JAMAICA 165 ST TERMINAL,,,,,,,,,,0.0 BELMONT PARK 225 ST,,,,,,,,,,,,,,
HILLSIDE AV/171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,
HEMPSTEAD AV/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.022 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,
HEMPSTEAD AV/223 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 BELMONT PARK 225 ST,,,,,,,,,,,,,,
HOLLIS AV/109 AV,0.304 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/217 LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09 BELMONT PARK 225 ST,
HOLLIS AV /204 ST,,,,,,,,,,,,,,,0.18 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/212 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/179 ST SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 JAMAICA 165 ST TERMINAL,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/207 ST,,,,,,,,,,,,,,,0.134 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLIS AV/104 AV,,,,,,,,,,,,,,,,,,,,,,,,0.217 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,0.78 BELMONT PARK 225 ST,,,,,,,,,,
HOLLIS AV/217 PL,,,,,,,,0.354 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,10.914 BELMONT PARK 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
