,UTOPIA PKY/ST. JOHNS UNIVERSITY,JAMAICA AV/153 ST,JAMAICA AV/162 ST,UTOPIA PY/65 AV,JAMAICA AV/GUY R BREWER BL,HORACE HARDING EXP/229 ST,HOMELAWN ST/HIGHLAND AV,UTOPIA PY/76 AV,NASSAU BL/LITTLE NECK PY,UTOPIA PY/69 AV,UTOPIA PY/UNION TP,HORACE HARDING EXP/194 ST,ARCHER AV/SUTPHIN PL,UTOPIA PY/75 AV,HORACE HARDING EXP/207 ST,HOMELAWN ST/173 ST,HORACE HARDING EXP/254 ST,HORACE HARDING EXP/214 ST,HORACE HARDING EXP/211 ST,ARCHER AV /SUTPHIN BL,JAMAICA AV/SUTPHIN BL,UTOPIA PY/80 RD,UTOPIA PY/HORACE HARDING EXP,HORACE HARDING EXP/231 ST,HOMELAWN ST/84 RD,HORACE HARDING EXP/190 ST,UTOPIA PY/67 AV,HORACE HARDING EXP/248 ST,169 ST/JAMAICA AV,HOMELAWN ST/GOTHIC DR,HORACE HARDING EXP/188 ST,HORACE HARDING EXP/246 CR,170 ST/JAMAICA AV,HORACE HARDING EXP/213 ST,DOUGLASTON PY/65 AV,UTOPIA PY/73 AV,JAMAICA AV/150 ST,HORACE HARDING EXP/251 PL,ARCHER AV/149 ST,HORACE HARDING EXP/CLOVERDALE BL,JAMAICA AV/MERRICK BL,W ALLEY RD/233 ST,HORACE HARDING EXP/SPRINGFIELD BL,HORACE HARDING EXP/197 ST,UTOPIA PY/KILDARE RD,HORACE HARDING EXP/PECK AV,169 ST/89 AV,HORACE HARDING EXP/251 ST,HORACE HARDING EXP/MARATHON PY,HILLSIDE AV/HOMELAWN ST,HORACE HARDING EXP/186 ST,HORACE HARDING EXP/202 ST,169 ST/HILLSIDE AV,HORACE HARDING EXP/252 ST,HORACE HARDING EXP/183 ST,HORACE HARDING EXP/185 ST,UTOPIA PY/JEWEL AV,HORACE HARDING EXP/244 ST,HORACE HARDING EXP/246 PL,HORACE HARDING EXP/E HAMPTON BL,56 AV/223 ST,SPRINGFIELD BL/58 AV,SPRINGFIELD BL/56 AV,SPRINGFIELD BL/HORACE HARDING EP N,UTOPIA PY/80 DR,HOMELAWN ST/ASPEN PL,HORACE HARDING EXP/224 ST,58 AV/223 ST,HORACE HARDING EXP/218 ST,HORACE HARDING EXP/FRANCIS LEWIS BL,HOMELAWN ST/CHARLECOTE RIDGE,HOMELAWN ST/CROYDON RD,HORACE HARDING EXP/BELL BL,HORACE HARDING EXP/DOUGLASTON PY,JAMAICA AV/PARSONS BL,UTOPIA PKY/82 AV,DOUGLASTON PY/61 AV,JAMAICA AV/168 ST,HORACE HARDING EXP/OCEANIA ST,College Point Depot (CP)
UTOPIA PKY/ST. JOHNS UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037 JAMAICA LIRR,,,,
JAMAICA AV/153 ST,,,,,1.349 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/162 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 JAMAICA LIRR,,,,,
UTOPIA PY/65 AV,,,,,,,,,,,,,,,,,,,,,,,3.251 LITTLE NECK LITTLE NECK PKY,,,,0.192 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/GUY R BREWER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.201 LITTLE NECK LITTLE NECK PKY,,
HORACE HARDING EXP/229 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.069 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/HIGHLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,0.219 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/76 AV,,,,,,,,,,,1.68 JAMAICA LIRR,,,0.289 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASSAU BL/LITTLE NECK PY,,,,,,,,,,,,,,,,,0.192 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.879 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,
UTOPIA PY/69 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.478 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/UNION TP,,,,,,,,2.565 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,2.703 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/194 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.158 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/SUTPHIN PL,,,,,,,,,,,,,,,,,,,,0.013 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/75 AV,,,,,,,,0.179 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/173 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.298 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/254 ST,,,,,,,,,0.192 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/214 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 LITTLE NECK LITTLE NECK PKY,,,,,,,
HORACE HARDING EXP/211 ST,,,,,,,,,,,,,,,,,,0.625 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 JAMAICA LIRR,
ARCHER AV /SUTPHIN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/SUTPHIN BL,,,,,,,,,,,,,0.15 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/80 RD,1.153 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/HORACE HARDING EXP,,,,2.22 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.357 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/231 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/84 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/190 ST,,,,,,,,,,,,0.546 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,0.079 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/67 AV,,,,0.453 LITTLE NECK LITTLE NECK PKY,,,,,,0.194 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/248 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.758 JAMAICA LIRR,,,
169 ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/GOTHIC DR,,,,,,,0.214 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,
HORACE HARDING EXP/188 ST,,,,,,,,,,,,,,,,,,,,,,,,,,1.187 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/246 CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,
170 ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/213 ST,,,,,,,,,,,,,,,,,,,0.157 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUGLASTON PY/65 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558 LITTLE NECK LITTLE NECK PKY,,,
UTOPIA PY/73 AV,,,,,,,,,,,,,,0.34 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.778 LITTLE NECK LITTLE NECK PKY,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/150 ST,,,,,,,,,,,,,,,,,,,,,0.305 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
