,CORPORAL KENNEDY ST/35 AV,BELL BL/35 AV,32 AV/CLEARVIEW EP SR E,HOMELAWN ST/173 ST,32 AV / FRANCIS LEWIS BL,JAMAICA AV/162 ST,JAMAICA AV/PARSONS BL,JAMAICA AV/SUTPHIN BL,47 AV/193 ST,HOMELAWN ST/GOTHIC DR,47 AV/196 ST,BELL BL/41 AV,UTOPIA PY/47 AV,BELL BL/36 AV,169 ST/JAMAICA AV,32 AV/CLEARVIEW EP SR W,BELL BL/NORTHERN BL,ARCHER AV/SUTPHIN PL,47 AV/197 ST,BELL BL/43 AV,ROCKY HILL RD/203 ST,UTOPIA PY/56 AV,JAMAICA AV/153 ST,ROCKY HILL RD/CLEARVIEW EP,UTOPIA PY/48 AV,48 AV/207 ST,32 AV/CORPORAL KENNEDY ST,UTOPIA PY/50 AV,UTOPIA PY/HORACE HARDING EXP,ARCHER AV/149 ST,BELL BL/39 AV,32 AV/201 ST,BELL BL/46 AV,HILLSIDE AV/HOMELAWN ST,BELL BL/42 AV,CORPORAL KENNEDY ST/32 AV,48 AV/208 ST,UTOPIA PY/KILDARE RD,UTOPIA PY/UNION TP,170 ST/JAMAICA AV,UTOPIA PY/80 RD,48 AV/206 ST,UTOPIA PY/PECK AV,48 AV/211 ST,48 AV/BELL BL,UTOPIA PY/80 DR,UTOPIA PY/UNDERHILL AV,32 AV/200 ST,UTOPIA PY/FAIRCHILD AV,ROCKY HILL RD/202 ST,JAMAICA AV/GUY R BREWER BL,JAMAICA AV/168 ST,UTOPIA PY/46 AV,UTOPIA PY/PIDGEON MEADOW RD,32 AV/205 ST,HOMELAWN ST/CHARLECOTE RIDGE,UTOPIA PY/65 AV,35 AV/212 ST,UTOPIA PY/76 AV,HOMELAWN ST/HIGHLAND AV,HOMELAWN ST/CROYDON RD,CORPORAL KENNEDY ST/34 RD,169 ST/HILLSIDE AV,ARCHER AV /SUTPHIN BL,48 AV/OCEANIA ST,UTOPIA PY/67 AV,UTOPIA PY/BOOTH MEMORIAL AV,32 AV/202 ST,UTOPIA PKY/ST. JOHNS UNIVERSITY,BELL BL/40 AV,JAMAICA AV/MERRICK BL,35 AV/211 ST,FRANCIS LEWIS BL/27 AV,32 AV/204 ST,32 AV/208 ST,47 AV/195 ST,HOMELAWN ST/84 RD,UTOPIA PY/JEWEL AV,UTOPIA PY/58 AV,CORPORAL KENNEDY ST/33 AV,169 ST/89 AV,47 AV/FRANCIS LEWIS BL,48 AV/212 ST,UTOPIA PKY/82 AV,HOLLIS CT BL/190 ST,UTOPIA PY/75 AV,JAMAICA AV/150 ST,BELL BL/38 AV,UTOPIA PY/73 AV,32 AV/JORDAN ST,UTOPIA PY/69 AV,UTOPIA PY/HOLLIS CT BL,HOMELAWN ST/ASPEN PL,College Point Depot (CP)
CORPORAL KENNEDY ST/35 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/35 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,0.256 JAMAICA LIRR,,,,,,
32 AV/CLEARVIEW EP SR E,,,,,,,,,,,,,,,,0.0 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.627 to depot of Q31
HOMELAWN ST/173 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 JAMAICA LIRR,,,,,,,,,,,,,,,,,
32 AV / FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/162 ST,,,,,,,0.198 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/PARSONS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436 JAMAICA LIRR,,,,,,,
JAMAICA AV/SUTPHIN BL,,,,,,,,,,,,,,,,,,0.15 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 AV/193 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,0.214 JAMAICA LIRR,,,,,,,,,
HOMELAWN ST/GOTHIC DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BAYSIDE 27 AV FRANCIS LEWIS BL,
