,LITTLE NECK PY/87 AV,JAMAICA AV/242 ST,LITTLE NECK PY/43 AV,LITTLE NECK PY/75 AV,LITTLE NECK PY/81 AV,212 PL/93 AV,LITTLE NECK PY/58 AV,HILLSIDE AV/182 PL,LITTLE NECK PY/WEST END DR,212 ST/91 AV,JAMAICA AV/214 PL,HILLSIDE AV/189 ST,JERICHO TPKE/MASSACHUSETTS BL,LITTLE NECK PY/LEEDS RD,JERICHO TPKE/REMSEN LANE,JERICHO TPKE/COMMONWEALTH BL,HILLSIDE AV/180 ST,HILLSIDE AV/188 ST,212 PL/89 AV,JAMAICA AV/239 ST,LITTLE NECK PY/CULLMAN AV,JERICHO TPKE/251 ST,JAMAICA AV/218 ST,40 AV/LITTLE NECK PY,212 PL/JAMAICA AV,JAMAICA AV/215 ST,LITTLE NECK PY/HORACE HARDING EXP,JERICHO TPK/COMMONWEALTH BL,257 ST/JERICHO TPKE,LITTLE NECK PY/MARATHON PY,165 ST TERM/165 ST TERM BAY 6,HILLSIDE AV/210 ST,LITTLE NECK PY/80 AV,HILLSIDE AV/207 ST,LITTLE NECK PY/UNION TP,JERICHO TPKE/250 ST,JAMAICA AV/216 ST,LITTLE NECK PY/SHILOH AV,JERICHO TPK/TULIP AV,HILLSIDE AV/179 ST SUBWAY,HILLSIDE AV/184 ST,212 ST/93 AV,LITTLE NECK PY/NORTHERN BL,JERICHO TPKE/PENNSYLVANIA BL,212 ST/94 AV,LITTLE NECK PY/GRAND CENTRAL PY,HILLSIDE AV/168 PL,HILLSIDE AV/EDGERTON BL,212 PL/94 AV,LITTLE NECK PY/255 ST,LITTLE NECK PY/260 ST,LITTLE NECK PY/BATES RD,LITTLE NECK PY/87 TER,HILLSIDE AV/198 ST,JAMAICA AV/222 ST,212 ST/89 AV,HILLSIDE AV/AVON ST,165 ST / 165 ST TERM,LITTLE NECK PY/ANNANDALE LA,HILLSIDE AV/199 ST,HILLSIDE AV/172 ST,LITTLE NECK PY/74 AV,HILLSIDE AV/211 ST,LITTLE NECK PY/85 AV,HILLSIDE AV/205 ST,JAMAICA AV/213 ST,165 ST/HILLSIDE AV,HILLSIDE AV/212 ST,HILLSIDE AV/175 ST,HILLSIDE AV/187 PL,LITTLE NECK PY/BRATTLE AV,LITTLE NECK PY/86 AV,JAMAICA AV/240 ST,HILLSIDE AV/209 ST,HILLSIDE AV/195 PL,JAMAICA AV/224 ST,HILLSIDE AV/171 ST,LITTLE NECK PY/83 AV,LITTLE NECK PY/61 AV,HILLSIDE AV/191 ST,JERICHO TPKE/91 AV,JERICHO TPKE/246 ST,JAMAICA AV/212 PL,256 ST/JERICHO TPKE,JERICHO TPKE/BRADDOCK AV,HILLSIDE AV/FRANCIS LEWIS BL,JAMAICA AV/SPRINGFIELD BL,JAMAICA AV/220 ST,LITTLE NECK PY/82 AV,LITTLE NECK PY/87 RD,212 PL/91 AV,LITTLE NECK PY/HILLSIDE AV,LITTLE NECK PY/73 RD,41 AV/LITTLE NECK PY,LITTLE NECK PY/NASSAU BL,JERICHO TPKE/LITTLE NECK PY,LITTLE NECK PY/87 DR,212 ST/90 AV,LITTLE NECK PY/60 AV,HILLSIDE AV/202 ST,212 PL/90 AV,LITTLE NECK PY/252 ST,HILLSIDE AV/193 ST,HILLSIDE AV/187 ST,HILLSIDE AV/HOMELAWN ST,College Point Depot (CP)
LITTLE NECK PY/87 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.477 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,1.43 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,
JAMAICA AV/242 ST,,,,,,,,,,,,,,,,,,,,0.227 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/43 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.091 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/75 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.903 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/81 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.665 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,
212 PL/93 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/58 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,2.049 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 JAMAICA 165 ST TERM,,,,,,,
HILLSIDE AV/182 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/WEST END DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.316 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,0.416 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 ST/91 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 JAMAICA 165 ST TERM,,,,,,,,
JAMAICA AV/214 PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.238 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPKE/MASSACHUSETTS BL,,,,,,,,,,,,,,,,0.386 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/LEEDS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 JAMAICA 165 ST TERM,,,,,,,,,,,
JERICHO TPKE/REMSEN LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.108 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,
JERICHO TPKE/COMMONWEALTH BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.713 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/180 ST,,,,,,,,0.21 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/188 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 JAMAICA 165 ST TERM,,
212 PL/89 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 FLORAL PARK 257 ST via JAMAICA,,,,,
JAMAICA AV/239 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/CULLMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPKE/251 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/218 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.648 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,
40 AV/LITTLE NECK PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.654 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 PL/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/215 ST,,,,,,,,,,,0.353 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,0.658 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/HORACE HARDING EXP,,,,,,,,,,,,,,1.904 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPK/COMMONWEALTH BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,
257 ST/JERICHO TPKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.802 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,
