,FARMERS BL/MARS PL,FARMERS BL/HENDERSON AV,FARMERS BL/GUY R BREWER BL,FARMERS BL/177 ST,FARMERS BL/111 AV,165 ST / 165 ST TERM,FARMERS BL/140 AV,FARMERS BL/LUDLUM AV,N BOUNDRY R/FEDERAL EXPRESS,HILLSIDE AV/171 ST,FARMERS BL/176 ST,JFK/TERMINAL 5-6,FARMERS BL/113 RD,WOODHULL AV/190 ST,FARMERS BL/KEESEVILLE AV,HILLSIDE AV/179 ST SUBWAY,188 ST/89 AV,FARMERS BL/138 AV,187 PL/JAMAICA AV,FARMERS BL/114 DR,HILLSIDE AV/169 ST,FARMERS BL/144 RD,FARMERS BL/132 AV,HILLSIDE AV/178 ST,148 ST/S. SERVICE CT,165 ST/HILLSIDE AV,HILLSIDE AV/EDGERTON BL,FARMERS BL/113 AV,165 ST/TERMINAL,N BOUNDRY R/N HANGER RD,FARMERS BL/116 AV,FARMERS BL/145 DR,FARMERS BL/LINDEN BL,FARMERS BL/WESTGATE ST,N BOUNDRY R/HALMAR CO,FARMERS BL/105 AV,FARMERS BL/182 ST,HILLSIDE AV/187 ST,FARMERS BL/133 RD,FARMERS BL/144 AV,N BOUNDRY R/CHINA CARGO AIRLINE,FARMERS BL/HOLLIS AV,HILLSIDE AV/175 ST,148 ST/CENTER CARGO RD,FARMERS BL/MERRICK BL,FARMERS BL/112 AV,FARMERS BL/143 RD,188 ST/90 AV,HILLSIDE AV/172 ST,148 ST/S CARGO RD,HOLLIS AV/190 ST,FARMERS BL/118 RD,FARMERS BL/134 AV,JFK AIRPORT/TERMINAL 5 AIRTRAIN STATION,FARMERS BL/TURIN DR,188 ST/JAMAICA AV,187 PL/90 AV,FARMERS BL/120 AV,FARMERS BL/145 RD,FARMERS BL/147 AV,FARMERS BL/JORDAN AV,HILLSIDE AV/182 PL,FARMERS BL/NELLIS ST,N BOUNDRY R/KOREAN AIRLINE,HILLSIDE AV/184 ST,FARMERS BL/ROCKAWAY BL,FARMERS BL/118 AV,FARMERS BL/104 AV,148 ST/150 AV,FARMERS BL/119 AV,FARMERS BL/121 AV,FARMERS BL/BENNETT CT,FARMERS BL/142 AV,FARMERS BL/109 AV,FARMERS BL/175 ST,FARMERS BL/114 RD,FARMERS BL/QUENCER RD,FARMERS BL/122 AV,FARMERS BL/115 RD,FARMERS BL/103 AV,HILLSIDE AV/AVON ST,FARMERS BL/LIBERTY AV,College Point Depot (CP)
FARMERS BL/MARS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/HENDERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,
FARMERS BL/GUY R BREWER BL,,,,0.168 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 JFK AIRPORT via FARMERS BL,,,,,,,,
FARMERS BL/111 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,
165 ST / 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.509 to depot of Q3
FARMERS BL/140 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 JFK AIRPORT via FARMERS BL,,,,,,,,,,
FARMERS BL/LUDLUM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 JFK AIRPORT via FARMERS BL,
N BOUNDRY R/FEDERAL EXPRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.027 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
