,LIBERTY AV/172 ST,ARCHER AV /153 ST,106 AV/177 ST,174 ST/111 AV,SAYRES AV/178 ST,ARCHER AV/165 ST,ARCHER AV/PARSONS BL,SAYRES AV/180 ST,177 ST/106 AV,177 ST/LIBERTY AV,174 ST/108 AV,LIBERTY AV/173 ST,SAYRES AV/179 PL,SAYRES AV/178 PL,LIBERTY AV/177 ST,177TH ST / 104TH AVE,111 AV/177 ST,REX RD/FERN PL,ARCHER AV/TEARDROP CANOPY,POLHEMAS AV/WATSON PL,174 ST/110 AV,FERN PL/POLHEMAS AV,174 ST/109 AV,SAYRES AV/179 ST,LIBERTY AV/170 ST,177 ST/104 AV,ARCHER AV/153 ST,LIBERTY AV/MERRICK BL,111 AV/175 ST,FERN PL/REX RD,LIBERTY AV/168 PL,College Point Depot (CP)
LIBERTY AV/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.206 JAMAICA PARSONS-ARCHER,,,,,,,
ARCHER AV /153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 ADDESLEIGH PARK SAYRES AV,,,,,
106 AV/177 ST,,,,,,,,,,,,,,,,0.159 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,
174 ST/111 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077 ADDESLEIGH PARK SAYRES AV,,,
SAYRES AV/178 ST,,,,,,,,,,,,,,,,,0.086 JAMAICA PARSONS-ARCHER,,,,,,,0.11 ADDESLEIGH PARK SAYRES AV,,,,,,,,
ARCHER AV/165 ST,,,,,,,0.988 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,0.544 ADDESLEIGH PARK SAYRES AV,
ARCHER AV/PARSONS BL,,0.104 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAYRES AV/180 ST,,,,,,,,,,,,,0.089 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,,,
177 ST/106 AV,,,,,,,,,,,,,,,,,,,,0.148 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,
177 ST/LIBERTY AV,0.316 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174 ST/108 AV,,,,,,,,,,,,,,,,,,0.136 JAMAICA PARSONS-ARCHER,,,,,0.16 ADDESLEIGH PARK SAYRES AV,,,,,,,,,
LIBERTY AV/173 ST,,,,,,,,,,,,,,,0.23 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,
SAYRES AV/179 PL,,,,,,,,,,,,,,0.165 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,
SAYRES AV/178 PL,,,,,0.074 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY AV/177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 ADDESLEIGH PARK SAYRES AV,,,,,,
177TH ST / 104TH AVE,,,,,,,,,,0.156 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,
111 AV/177 ST,,,,,0.086 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,,,,,,,,0.161 JAMAICA PARSONS-ARCHER,,,
REX RD/FERN PL,,,,,,,,,,,,,,,,,,,,,,0.134 JAMAICA PARSONS-ARCHER,,,,,,,,,,
ARCHER AV/TEARDROP CANOPY,,,,,,0.726 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,,,,,,,,,,12.321 to depot of Q42
POLHEMAS AV/WATSON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 ADDESLEIGH PARK SAYRES AV,,
174 ST/110 AV,,,,0.201 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,,,0.201 JAMAICA PARSONS-ARCHER,,,,,,,,,
FERN PL/POLHEMAS AV,,,0.226 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174 ST/109 AV,,,,,,,,,,,0.16 JAMAICA PARSONS-ARCHER,,,,,,,,,,0.201 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,
SAYRES AV/179 ST,,,,,,,,0.218 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY AV/170 ST,,,,,,,,,,,,0.287 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,0.955 JAMAICA PARSONS-ARCHER,,,,
177 ST/104 AV,,,,,,,,,0.159 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/153 ST,,,,,,,,,,,,,,,,,,,0.382 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,
LIBERTY AV/MERRICK BL,,,,,,0.432 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,
111 AV/175 ST,,,,,,,,,,,,,,,,,0.161 ADDESLEIGH PARK SAYRES AV,,,,0.278 JAMAICA PARSONS-ARCHER,,,,,,,,,,,
FERN PL/REX RD,,,,,,,,,,,0.136 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,,,,,,,,,
LIBERTY AV/168 PL,,,,,,,,,,,,,,,,,,,,,,,,,0.19 ADDESLEIGH PARK SAYRES AV,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,10.824 ADDESLEIGH PARK SAYRES AV,,,,,,,,,,,,,
