,HILLSIDE AV/171 ST,HILLSIDE AV/212 ST,HILLSIDE AV/211 ST,HILLSIDE AV/207 ST,SUTPHIN BL/89 AV,HILLSIDE AV/175 ST,HILLSIDE AV/191 ST,HILLSIDE AV/248 ST,HILLSIDE AV/161 ST,HILLSIDE AV/205 ST,HILLSIDE AV/239 ST,HILLSIDE AV/202 ST,HILLSIDE AV/SPRINGFIELD BL,HILLSIDE AV/FRANCIS LEWIS BL,HILLSIDE AV/198 ST,SUTPHIN BL/JAMAICA AV,HILLSIDE AV/268 ST,HILLSIDE AV/165 ST,HILLSIDE AV/258 ST,HILLSIDE AV/172 ST,HILLSIDE AV/CREEDMOORE HOSPITAL,SUTPHIN BL/90 AV,HILLSIDE AV/193 ST,HILLSIDE AV/EDGERTON BL,HILLSIDE AV/261 ST,HILLSIDE AV/266 ST,HILLSIDE AV/162 ST,HILLSIDE AV/164 ST,HILLSIDE AV/168 ST,HILLSIDE AV/88 AV,HILLSIDE AV/150 ST,HILLSIDE AV/264 ST,HILLSIDE AV/PARSONS BL,ARCHER AV/SUTPHIN BL,HILLSIDE AV/169 ST,HILLSIDE AV/243 ST,HILLSIDE AV/214 ST,HILLSIDE AV/187 ST,HILLSIDE AV/267 ST,HILLSIDE AV/199 ST,HILLSIDE AV/RANGE ST,HILLSIDE AV/MANOR RD,HILLSIDE AV/163 ST,HILLSIDE AV/CROSS ISLAND PY,HILLSIDE AV/184 ST,HILLSIDE AV/180 ST,HILLSIDE AV/231 ST,HILLSIDE AV/251 ST,HILLSIDE AV/179 ST SUBWAY,ARCHER AV/SUTPHIN PL,HILLSIDE AV/259 ST,HILLSIDE AV/188 ST,HILLSIDE AV/241 ST,HILLSIDE AV/CREEDMORE HOSPITAL,HILLSIDE AV/210 ST,HILLSIDE AV/189 ST,HILLSIDE AV/WINCHESTER BL,SUTPHIN BL/HILLSIDE AV,HILLSIDE AV/182 PL,HILLSIDE AV/215 PL,HILLSIDE AV/COMMONWEALTH BL,HILLSIDE AV/240 ST,HILLSIDE AV/209 ST,HILLSIDE AV/256 ST,HILLSIDE AV/AVON ST,HILLSIDE AV/195 PL,HILLSIDE AV/166 ST,HILLSIDE AV/229 ST,HILLSIDE AV/218 ST,HILLSIDE AV/LITTLE NECK PY,College Point Depot (CP)
HILLSIDE AV/171 ST,,,,,,0.491 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/212 ST,,,0.205 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,
HILLSIDE AV/207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,
SUTPHIN BL/89 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/191 ST,,,,,,,,,,,,,,,,,,,,,,,0.35 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/248 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,0.182 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,
HILLSIDE AV/161 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.785 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/205 ST,,,,0.173 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
