,260 ST/74 AV,UNION TP/271 ST,UNION TP/PARSONS BL,UNION TP/COMMONWEALTH BL,UNION TP/197 ST,UNION TP/164 ST,UNION TP/235 ST,UNION TP/166 ST,UNION TP/UTOPIA PY,LAKEVILLE RD/ HEWLETT ST,UNION TP/236 ST,LIJ MEDICAL CTR/271 ST,UNION TP/211 ST,260 ST/75 AV,UNION TP/263 ST,UNION TP/258 ST,UNION TP/BELL BL,UNION TP/185 ST,UNION TPKE/260 ST,UNION TP/WINCHESTER BL,260 ST/LITTLE NECK PY,UNION TP/251 ST,LAKEVILLE RD/LIJ MEDICAL RDWY,UNION TP/234 ST,UNION TP/175 ST,UNION TP/CROSS ISLAND PY,UNION TP/168 ST,UNION TP/193 ST,UNION TP/153 ST,UNION TP/226 ST,UNION TP/267 ST,UNION TP/174 ST,UNION TP/141 ST,QUEENS BL/78 AV,UNION TP/179 ST,LAKEVILLE RD/HEWLETT ST,UNION TP/198 ST,QUEENS BL/78 CR,UNION TP/270 ST,UNION TPK/HEWLETT ST,260 ST/UNION TP,UNION TP/KENT ST,UNION TP/190 ST,UNION TP/CLOVERDALE BL,UNION TP/265 ST,UNION TP/FRANCIS LEWIS BL,UNION TP/135 ST,UNION TP/160 ST,UNION TP/171 ST,UNION TP/STEWART RD,UNION TP/222 ST,UNION TP/170 ST,UNION TP/255 ST,UNION TP/256 ST,UNION TP/HOLLIS HILLS TER,UNION TP/VLEIGH PL,260 ST/73 AV,UNION TP/220 PL,UNION TP/CHEVY CHASE ST,UNION TP/188 ST,UNION TP/LITTLE NECK PY,L.I.J.MEDICAL RDWY/271 ST,UNION TP/147 ST,UNION TP/173 ST,UNION TP/183 ST,UNION TP/248 ST,UNION TP/260 ST,UNION TP/150 ST,UNION TP/QUEENS BL,UNION TP/SURREY PL,LITTLE NECK PKY/260 ST,UNION TP/196 ST,LAKEVILLE RD/UNION TPK,UNION TP/SPRINGFIELD BL,UNION TP/165 ST,UNION TP/232 ST,UNION TP/252 ST,UNION TP/MAIN ST,UNION TP/GRAND CENTRAL PY,UNION TP/268 ST,College Point Depot (CP)
260 ST/74 AV,,,,,,,,,,,,,,,0.702 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.508 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,
UNION TP/271 ST,1.619 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/PARSONS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,0.732 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/COMMONWEALTH BL,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,
UNION TP/197 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.123 KEW GARDENS QUEENS BL via UNION,,,,,,,,,
UNION TP/164 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,
UNION TP/235 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09 KEW GARDENS QUEENS BL via UNION,,
UNION TP/166 ST,,,,,,0.254 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/UTOPIA PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,
LAKEVILLE RD/ HEWLETT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.792 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/236 ST,,,,,,,,,,,,,,,,,,,,0.233 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIJ MEDICAL CTR/271 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,
UNION TP/211 ST,,,,,,,,,,,,,,,,,0.698 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,
