,DITMARS BL/29 AV,ROOSEVELT AV/GRAND CENTRAL PY,ROOSEVELT AV/COLLEGE PT BL,23 AV/85 ST,108 ST/37 AV,ROOSEVELT AV/126 ST,ROOSEVELT AV/111 ST,ROOSEVELT AV/SHEA PARKING LOT,ROOSEVELT AV/114 ST,108 ST/ASTORIA BL,ROOSEVELT AV/108 ST,DITMARS BL/102 ST,ROOSEVELT AV/MAIN ST,LGA/TERMINAL C,23 AV/92 ST,DITMARS BL/MARINE TERMINAL RD,DITMARS BL/24 RD,ROOSEVELT AV/WILLETS PT BL STATION,23 AV/88 ST,23 AV/90 ST,LGA/TERMINAL B,DITMARS BL/27 AV,ROOSEVELT AV/WILLETS PT BL STATIO,108 ST/NORTHERN BL,108 ST/38 AV,23 AV/94 ST,LGA/TERMINAL D,ROOSEVELT AV/WILLETS PT BL,108 ST/32 AV,108 ST/34 AV,DITMARS BL/31 AV,DITMARS BL/25 AV,College Point Depot (CP)
DITMARS BL/29 AV,,,,,,,,,,,,,,,,,,,,,,0.213 LAGUARDIA AIRPORT,,,,,,,,,0.194 FLUSHING MAIN ST STATION,,
ROOSEVELT AV/GRAND CENTRAL PY,,,,,,,,,0.241 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,
ROOSEVELT AV/COLLEGE PT BL,,,,,,,,,,,,,0.349 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,1.414 LAGUARDIA AIRPORT,,,,,
23 AV/85 ST,,,,,,,,,,,,,,,,0.435 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,
108 ST/37 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.197 FLUSHING MAIN ST STATION,,,,,0.285 LAGUARDIA AIRPORT,,,
ROOSEVELT AV/126 ST,,,0.874 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOSEVELT AV/111 ST,,,,,,,,,0.301 FLUSHING MAIN ST STATION,,0.25 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,,
ROOSEVELT AV/SHEA PARKING LOT,,,,,,,,,,,,,,,,,,,,,,,0.275 FLUSHING MAIN ST STATION,,,,,,,,,,
ROOSEVELT AV/114 ST,,,,,,,0.301 LAGUARDIA AIRPORT,0.398 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,
108 ST/ASTORIA BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094 FLUSHING MAIN ST STATION,,,,
ROOSEVELT AV/108 ST,,,,,,,0.25 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,0.214 LAGUARDIA AIRPORT,,,,,,,,
DITMARS BL/102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.622 FLUSHING MAIN ST STATION,
ROOSEVELT AV/MAIN ST,,,0.454 LAGUARDIA AIRPORT,,,,,,,,,,0.0 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,4.563 to depot of Q48
LGA/TERMINAL C,,,,,,,,,,,,0.762 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,
23 AV/92 ST,,,,,,,,,,,,,,,,,,,,0.461 LAGUARDIA AIRPORT,,,,,,,,,,,,,
DITMARS BL/MARINE TERMINAL RD,,,,,,,,,,,,,,,,,,,,,0.155 LAGUARDIA AIRPORT,,,,,,,,,,,,
DITMARS BL/24 RD,,,,,,,,,,,,,,,,,,,,,,,,,,1.023 LAGUARDIA AIRPORT,,,,,,,
ROOSEVELT AV/WILLETS PT BL STATION,,8.674 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 AV/88 ST,,,,0.245 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 AV/90 ST,,,,,,,,,,,,,,,,,,,0.31 LAGUARDIA AIRPORT,,,,,,,,,,,,,,
LGA/TERMINAL B,,,,,,,,,,,,,,,,,,,,,,,,,,,0.851 LAGUARDIA AIRPORT,,,,,,
DITMARS BL/27 AV,0.213 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,0.262 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,
ROOSEVELT AV/WILLETS PT BL STATIO,,,,,,0.161 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
108 ST/NORTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.654 LAGUARDIA AIRPORT,0.276 FLUSHING MAIN ST STATION,,,
108 ST/38 AV,,,,,0.42 LAGUARDIA AIRPORT,,,,,,0.214 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,
23 AV/94 ST,,,,,,,,,,,,,,,0.191 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,,
LGA/TERMINAL D,,,,,,,,,,,,,,0.364 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,
ROOSEVELT AV/WILLETS PT BL,,,,,,,,,,,,,,,,,,8.155 LAGUARDIA AIRPORT,,,,,,,,,,,,,,,
108 ST/32 AV,,,,,,,,,,,,,,,,,,,,,,,,0.264 FLUSHING MAIN ST STATION,,,,,,,0.346 LAGUARDIA AIRPORT,,
108 ST/34 AV,,,,,0.538 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,0.183 LAGUARDIA AIRPORT,,,,,,,,,
DITMARS BL/31 AV,0.194 LAGUARDIA AIRPORT,,,,,,,,,0.446 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,
DITMARS BL/25 AV,,,,,,,,,,,,,,,,,,,,,,0.161 FLUSHING MAIN ST STATION,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,2.677 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,
