,LINDEN BL/EVERITT PL,LINDEN BL/201 ST,LINDEN BL/231 ST,MERRICK BL/108 AV,LINDEN BL/219 ST,MERRICK BL/105 AV,LINDEN BL/178 ST,LINDEN BL/199 ST,LINDEN BL/228 ST,LINDEN BL/191 ST,MERRICK BL/109 AV,LIBERTY AV/MERRICK BL,MERRICK BL/LIBERTY AV,LINDEN BL/SPRINGFIELD BL,ARCHER AV/PARSONS BL,LINDEN BL/222 ST,LINDEN BL/NASHVILLE BL,LINDEN BL/NEWBURG ST,MERRICK BL/169 PL,LINDEN BL/192 ST,LINDEN BL/177 ST,LINDEN BL/FRANCIS LEWIS BL,LINDEN BL/FARMERS BL,LINDEN BL/175 PL,LINDEN BL/225 ST,MERRICK BL/107 AV,LINDEN BL/179 ST,LINDEN BL/202 ST,LINDEN BL/172 ST,LINDEN BL/174 ST,LINDEN BL/235 ST,LINDEN BL/204 ST,LINDEN BL/176 ST,LINDEN BL/MURDOCK AV,235 ST/LINDEN BL,LINDEN BL/230 ST,LINDEN BL/193 ST,MERRICK BL/111 AV,LINDEN BL/232 ST,ARCHER AV/165 ST,LINDEN BL/217 ST,MERRICK BL/110 AV,MERRICK BL/SAYRES AV,LINDEN BL/197 ST,LINDEN BL/195 ST,168 ST/DOUGLAS AV,MERRICK BL/104 AV,College Point Depot (CP)
LINDEN BL/EVERITT PL,,,,,,,,,,,,,,,,,,,,,,,0.145 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/201 ST,,,,,,,,0.165 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,0.077 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,
LINDEN BL/231 ST,,,,,,,,,0.241 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/108 AV,,,,,,,,,,,,,,,,,,,0.103 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,0.255 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/219 ST,,,,,,,,,,,,,,,,0.218 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,0.161 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,
MERRICK BL/105 AV,,,,,,,,,,,,,0.975 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,0.263 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,
LINDEN BL/199 ST,,0.165 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 JAMAICA PARSONS-ARCHER via LINDEN,,,,
LINDEN BL/228 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.244 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,0.158 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,
LINDEN BL/191 ST,,,,,,,,,,,,,,,,,,,,,,,0.195 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/109 AV,,,,0.289 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,
LIBERTY AV/MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,
MERRICK BL/LIBERTY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 JAMAICA PARSONS-ARCHER via LINDEN,0.351 CAMBRIA HEIGHTS 235 ST via LINDEN,
LINDEN BL/SPRINGFIELD BL,,,,,0.2 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/PARSONS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,12.11 to depot of Q4
LINDEN BL/222 ST,,,,,0.218 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,0.269 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/NASHVILLE BL,,,,,,,,,,,,,,,,,,,,,,0.12 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/NEWBURG ST,0.123 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/169 PL,,,,,,,,,,,0.189 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 CAMBRIA HEIGHTS 235 ST via LINDEN,,,
LINDEN BL/177 ST,,,,,,,0.121 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/FRANCIS LEWIS BL,,,,,,,,,,,,,,0.575 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,0.572 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,
LINDEN BL/FARMERS BL,,,,,,,,,,,,,,,,,,0.394 JAMAICA PARSONS-ARCHER via LINDEN,,0.584 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/175 PL,,,,,,,,,,,,,,,,,,,,,0.186 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/225 ST,,,,,,,,,0.244 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,0.269 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/107 AV,,,,0.253 CAMBRIA HEIGHTS 235 ST via LINDEN,,0.1 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/179 ST,,,,,,,0.217 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,0.236 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/202 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,
LINDEN BL/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,0.235 JAMAICA PARSONS-ARCHER via LINDEN,,,,,
LINDEN BL/174 ST,,,,,,,,,,,,,,,,,,,,,,,,0.194 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/235 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,
LINDEN BL/204 ST,,0.266 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,0.212 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/176 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,
LINDEN BL/MURDOCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,
235 ST/LINDEN BL,,,0.285 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/230 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,
LINDEN BL/193 ST,,,,,,,,,,0.153 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/111 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598 JAMAICA PARSONS-ARCHER via LINDEN,0.178 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,
LINDEN BL/232 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,
ARCHER AV/165 ST,,,,,,,,,,,,,0.436 CAMBRIA HEIGHTS 235 ST via LINDEN,,0.988 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/217 ST,,,,,,,,,,,,,,,,,0.214 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/110 AV,,,,,,,,,,,0.172 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,
MERRICK BL/SAYRES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,0.237 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,
LINDEN BL/197 ST,,,,,,,,0.165 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 JAMAICA PARSONS-ARCHER via LINDEN,,,
LINDEN BL/195 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,0.156 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,
168 ST/DOUGLAS AV,,,,,,,,,,,,0.516 JAMAICA PARSONS-ARCHER via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/104 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.535 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,10.83 CAMBRIA HEIGHTS 235 ST via LINDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
