,MYRTLE AV/115 ST,MYRTLE AV/73 PL,MYRTLE AV/66 ST,MYRTLE AV/ONDERDONK AV,MYRTLE AV/FREEDOM DR,MYRTLE AV/68 ST,MYRTLE AV/70 ST,MYRTLE AV/79 PL,MYRTLE AV/82 AV,MYRTLE AV/81 AV,MYRTLE AV/HILLSIDE AV,PALMETTO ST/MYRTLE AV,MYRTLE AV/60 LA,MYRTLE AV/72 ST,MYRTLE AV/66 PL,117 ST/JAMAICA AV,MYRTLE AV/SENECA AV,MYRTLE AV/85 ST,MYRTLE AV/71 PL,MYRTLE AV/111 ST,MYRTLE AV/FRESH POND RD,MYRTLE AV/MADISON ST,MYRTLE AV/108 ST,MYRTLE AV/73 ST,MYRTLE AV/81 ST,MYRTLE AV/67 PL,MYRTLE AV/ST NICHOLAS AV,MYRTLE AV/67 ST,MYRTLE AV/CYPRESS HILLS ST,MYRTLE AV/69 ST,MYRTLE AV/114 ST,MYRTLE AV/PALMETTO AV,MYRTLE AV/88 ST,MYRTLE AV/79 ST,MYRTLE AV/64 ST,MYRTLE AV/WOODHAVEN BL,PALMETTO ST/WYCKOFF AV,MYRTLE AV/PARK LA S,MYRTLE AV/CYPRESS AV,MYRTLE AV/CENTRE ST,MYRTLE AV/CORNELIA ST,MYRTLE AV/FOREST AV,MYRTLE AV/76 ST,MYRTLE AV/62 ST,MYRTLE AV/65 PL,MYRTLE AV/74 ST,MYRTLE AV/60 ST,MYRTLE AV/88 LA,MYRTLE AV/WOODHAVEN BL F,MYRTLE AV/WOODHAVEN BL N,MYRTLE AV/83 ST,MYRTLE AV/SUMMERFIELD ST,MYRTLE AV/85 AV,College Point Depot (CP)
MYRTLE AV/115 ST,,,,,,,,,,,,,,,,0.266 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,0.091 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/73 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,
MYRTLE AV/66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/ONDERDONK AV,,,,,,,,,,,,,,,,,0.193 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/FREEDOM DR,,,,,,,,,,,,,,,,,,,,,,,0.682 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,0.433 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,
MYRTLE AV/68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/70 ST,,,,,,,,,,,,,,0.234 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/79 PL,,,,,,,,,,,,,,,,,,,,,,,,,0.218 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/82 AV,,,,,,,,,,0.233 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/81 AV,,,,,,,,,,,,,,,,,,0.212 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,0.219 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/HILLSIDE AV,0.186 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMETTO ST/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,
MYRTLE AV/60 LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.589 RIDGEWOOD TERM via MYRTLE,,,,,,,
