,GRAND AV/REMSEN PL,FRESH POND RD/MENAHAN ST,108 ST/MARTENSE AV,CORONA AV/46 AV,FRESH POND RD/GATES AV,PUTNAM AV/WOODWARD AV,CORONA AV/104 ST,PUTNAM AV/FOREST AV,108 ST/HORACE HARDING EXPWY,GRAND AV/72 ST,COLLEGE PT BL/HORACE HARDING EXP,GRAND AV/VAN HORN ST,BROADWAY/QUEENS BL,PALMETTO ST/WYCKOFF AV,PUTNAM AV/MYRTLE AV,GRAND AV/79 ST,GRAND AV/HASPEL ST,BROADWAY/CORONA AV,FLUSHING AV/64 ST,FRESH POND RD/PALMETTO ST,SENECA AV/CORNELIA ST,COLLEGE PT BL/59 AV,FRESH POND RD/59 AV,COLLEGE PT BL/MAPLE AV,FRESH POND RD/59 DR,MADISON ST/CYPRESS AV,GRAND AV/QUEENS BL,COLLEGE PT BL/SANFORD AV,67 AV/FRESH POND RD,CORONA AV/102 ST,FRESH POND RD/BLEECKER ST,GRAND AV/82 ST,41 RD/COLLEGE PT BL,COLLEGE PT BL/58 AV,GRAND AV/84 ST,MADISON ST/ONDERDONK AV,PALMETTO ST/MYRTLE AV,COLLEGE PT BL/AVERY AV,MADISON ST/WOODWARD AV,108 ST/HORACE HARDING EP,FRESH POND RD/WOODBINE ST,GRAND AV/HAMILTON PL,GRAND AV/66 ST,FRESH POND RD/METROPOLITAN AV,FRESH POND RD/60 RD,CORONA AV/91 PL,FRESH POND RD/PUTNAM AV,GRAND AV/BORDEN AV,FRESH POND RD/FLUSHING AV,COLLEGE PT BL/VAN WYCK EY EXIT,CORONA AV/88 ST,41 RD/MAIN ST,FRESH POND RD/LINDEN ST,BROADWAY/JUSTICE AV,PUTNAM AV/WYCKOFF AV,FRESH POND RD / 61ST ST,HORACE HARDING EXP/WALDRON ST,FRESH POND RD/ELIOT AV,CORONA AV/NATIONAL ST,GRAND AV/CALAMUS AV,GRAND AV/73 ST,67 AV/60 ST,CORONA AV/90 ST,108 ST/VAN CLEEF ST,PUTNAM AV/ONDERDONK AV,COLLEGE PT BL/58 RD,108 ST/WALDRON ST,COLLEGE PT BL/FOWLER AV,FRESH POND RD/GROVE ST,COLLEGE PT BL/57 RD,FRESH POND RD/60 AV,CORONA AV/94 ST,CORONA AV/98 PL,CORONA AV/51 AV,GRAND AV/69 PL,COLLEGE PT BL/BOOTH MEMORIAL AV,CORONA AV/JUNCTION BL,MADISON ST/FAIRVIEW AV,108 ST/53 AV,MADISON ST/SENECA AV,GRAND AV/74 ST,GRAND AV/GOLDSMITH ST,CORONA AV/ALSTYNE AV,FAIRVIEW AV/FOREST AV,PUTNAM AV/FRESH POND RD,GRAND AV/71 ST,CORONA AV/93 ST,CYPRESS AV/PALMETTO ST,108 ST/OTIS AV,GRAND AV/QUEENS MIDTOWN EP,College Point Depot (CP)
GRAND AV/REMSEN PL,,,,,,,,,,,,,,,,,,,0.162 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/MENAHAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108 ST/MARTENSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,
CORONA AV/46 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 RIDGEWOOD TERM,,,,,,,,,,,,,,
FRESH POND RD/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,
PUTNAM AV/WOODWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,
PUTNAM AV/FOREST AV,,,,,,0.189 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108 ST/HORACE HARDING EXPWY,,,,,,,,,,,1.786 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 RIDGEWOOD TERM,,,,,,,,,,,,,,,,
COLLEGE PT BL/HORACE HARDING EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,
