,GRAND AV/79 ST,GRAND AV/74 ST,QUEENS BL/WOODHAVEN BL,GRAND AV/47 ST,QUEENS BL/59 AV,METROPOLITAN AV/RODNEY ST,GRAND AV/QUEENS BL,GRAND AV/RUST ST,ROEBLING ST/GRAND ST,JUNCTION BL/HOR HARDING SR RD S,KENT AV/S 6 ST,GRAND AV/HASPEL ST,GRAND AV/69 PL,GRAND AV/71 ST,90 ST/57 AV,GRAND AV/BORDEN AV,BROADWAY/ROEBLING ST,KENT AV/S 3 ST,GRAND ST/WYTHE AV,GRAND AV/84 ST,GARDNER AV/GRAND ST,GRAND AV/72 ST,GRAND ST/BUSHWICK AV,GRAND AV/54 ST,BROADWAY/BEDFORD AV,GRAND AV/REMSEN PL,GRAND ST/OLIVE ST,GRAND AV/MASPETH AV,BROADWAY/KENT AV,GRAND ST/ROEBLING ST,HOR HARDING SER RD S/QUEENS BL,GRAND ST/WATERBURY ST,GRAND AV/59 ST,WYTHE AV/S 3 ST,GRAND AV/VAN HORN ST,GRAND ST/METRO BRIDGE,GRAND ST/UNION AV,GRAND AV/56 ST,GRAND AV/61 ST,GRAND AV/QUEENS MIDTOWN EP,GRAND AV/HAMILTON PL,KENT AV/S 1 ST,GRAND AV/PAGE PL,62 DR/QUEENS BL,BROADWAY/WYTHE AV,GRAND ST/GRAND ST BRIDGE,GRAND AV/58 AV,QUEENS BL/56 AV,WYTHE AV/S 5 ST,GRAND ST/GARDNER AV,METROPOLITAN AV/HAVEMEYER ST,GRAND ST/MORGAN AV,GRAND AV/64 ST,GRAND AV/73 ST,GRAND AV/GOLDSMITH ST,GRAND AV/CALAMUS AV,METROPOLITAN AV/N 5 ST,WYTHE AV/S 1 ST,GRAND ST/LORIMER ST,GRAND AV/66 ST,GRAND ST/BEDFORD AV,GRAND ST/GRAHAM AV,GRAND AV/82 ST,QUEENS BL/62 DR,56 AV/QUEENS BL,METROPOLITAN AV/MACRI SQ,QUEENS BL/55 AV,GRAND ST/METROPOLITAN AV BR,College Point Depot (CP)
GRAND AV/79 ST,,0.182 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,0.331 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/74 ST,0.182 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,
QUEENS BL/WOODHAVEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.984 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 QUEENS BLVD 62 DRIVE via GRAND,,,0.139 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,
QUEENS BL/59 AV,,,,,,,,,,,,,,,0.235 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/RODNEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/QUEENS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,0.211 QUEENS BLVD 62 DRIVE via GRAND,,
GRAND AV/RUST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.904 QUEENS BLVD 62 DRIVE via GRAND,,,,,10.19 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROEBLING ST/GRAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,
JUNCTION BL/HOR HARDING SR RD S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,8.278 to depot of Q59
KENT AV/S 6 ST,,,,,,,,,,,,,,,,,,0.235 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/HASPEL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,0.205 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,
GRAND AV/69 PL,,,,,,,,,,,,,,0.224 QUEENS BLVD 62 DRIVE via GRAND,,0.247 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/71 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,
90 ST/57 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319 WILLAMSBURG BRIDGE PLZ via GRAND,,,,
GRAND AV/BORDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
