,HILLSIDE AV/193 ST,FRANCIS LEWIS BL/192 ST,HILLSIDE AV/171 ST,FRANCIS LEWIS BL/73 AV,HILLSIDE AV/187 ST,20 AV/WHITESTONE EXP,HILLSIDE AV/169 ST,FRANCIS LEWIS BL/17 RD,FRANCIS LEWIS BL/86 RD,FRANCIS LEWIS BL/LOCKE AV,HILLSIDE AV/189 ST,FRANCIS LEWIS BL/EPSOM COURSE,FRANCIS LEWIS BL/17 AV,HILLSIDE AV/202 ST,14 AV/PARSONS BL,FRANCIS LEWIS BL/168 ST,14 AV/147 ST,FRANCIS LEWIS BL/STATION RD,20 AV/BABIES R US,FRANCIS LEWIS BL/50 AV,FRANCIS LEWIS BL/45 RD,FRANCIS LEWIS BL/44 AV,FRANCIS LEWIS BL/HORACE HARDING EXP S,FRANCIS LEWIS BL/204 ST,FRANCIS LEWIS BL/32 AV,FRANCIS LEWIS BL/GRAND CENTRAL PY,HILLSIDE AV/175 ST,HILLSIDE AV/178 ST,CROSS ISLAND PY/150 ST,CROSS ISLAND PY/150 PL,FRANCIS LEWIS BL/HORACE HARDING EXP,CROSS ISLAND PY/154 ST,20 AV/OPP SHOPRITE,FRANCIS LEWIS BL/48 AV,FRANCIS LEWIS BL/172 ST,HILLSIDE AV/195 PL,14 AV/146 ST,HILLSIDE AV/182 PL,FRANCIS LEWIS BL/21 AV,FRANCIS LEWIS BL/45 AV,HILLSIDE AV/AVON ST,FRANCIS LEWIS BL/WHITEHALL TERR,PARSONS BL/17 AV,FRANCIS LEWIS BL/58 AV,20 AV/TARGET SUPERMARKET,HILLSIDE AV/179 ST SUBWAY,FRANCIS LEWIS BL/33 AV,CROSS ISLAND PKY/149 ST,FRANCIS LEWIS BL/UNION TP,FRANCIS LEWIS BL/170 ST,HILLSIDE AV/181 ST,FRANCIS LEWIS BL/163 ST,FRANCIS LEWIS BL/NORTHERN BL,HILLSIDE AV/EDGERTON BL,FRANCIS LEWIS BL/56 AV,FRANCIS LEWIS BL/16 AV,FRANCIS LEWIS BL/25 AV,HILLSIDE AV/168 PL,FRANCIS LEWIS BL/24 AV,165 ST TERM/165 ST TERM BAY 3,FRANCIS LEWIS BL/38 AV,FRANCIS LEWIS BL/194 ST,FRANCIS LEWIS BL/32 RD,132 ST/20 AV,FRANCIS LEWIS BL/WILLETS PT BL,FRANCIS LEWIS BL/169 ST,HILLSIDE AV/198 ST,165 ST/HILLSIDE AV,FRANCIS LEWIS BL/34 AV,20 AV/OPP TARGET,FRANCIS LEWIS BL/42 AV,FRANCIS LEWIS BL/47 AV,HILLSIDE AV/184 ST,FRANCIS LEWIS BL/53 AV,FRANCIS LEWIS BL/HILLSIDE AV,165 ST / 165 ST TERM,FRANCIS LEWIS BL/MCLAUGHLIN AV,PARSONS BL/17 RD,HILLSIDE AV/188 ST,20 AV/131 ST,FRANCIS LEWIS BL/18 AV,FRANCIS LEWIS BL/171 ST,PARSONS BL/20 AV,20 AV/WALDBAUMS,HILLSIDE AV/191 ST,FRANCIS LEWIS BL/43 AV,20 AV/POSTAL FACILITY,FRANCIS LEWIS BL/46 AV,131 ST/15 AV,FRANCIS LEWIS BL/HORACE HARDING EXP N,CROSS ISLAND PKY/CLINTONVILLE ST,132 ST /20 AV,PARSONS BL/14 AV,CROSS ISLAND PKY/150 ST,HILLSIDE AV/172 ST,FRANCIS LEWIS BL/35 AV,FRANCIS LEWIS BL/160 ST,HILLSIDE AV/199 ST,FRANCIS LEWIS BL/28 AV,College Point Depot (CP)
HILLSIDE AV/193 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/73 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.454 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,0.551 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/187 ST,,,,,,,,,,,0.228 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 AV/WHITESTONE EXP,,,,,,,,,,,,,,,,,,,1.524 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/17 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/86 RD,,,,,,,,,,,,0.199 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/LOCKE AV,,,,,,,,,,,,,0.222 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,
