,SPRINGFIELD BL/136 AV,HILLSIDE AV/198 ST,FRANCIS LEWIS/LINDEN BL,FRANCIS LEWIS BL/89 AV,HILLSIDE AV/HOMELAWN ST,FRANCIS LEWIS BL/115 AV,SPRINGFIELD BL/LUCAS ST,SPRINGFIELD BL/145 AV,SPRINGFIELD BL/141 AV,SPRINGFIELD BL/122 AV,SPRINGFIELD BL/E GATE PZ,FRANCIS LEWIS BL/109 AV,SPRINGFIELD BL/138 RD,SPRINGFIELD BL/130 AV,HILLSIDE AV/188 ST,165 ST / BUS TERMINAL,SPRINGFIELD BL/144 AV,HILLSIDE AV/168 PL,FRANCIS LEWIS BL/100 AV,HILLSIDE AV/195 PL,FRANCIS LEWIS BL/NASHVILLE BL,HILLSIDE AV/182 PL,HILLSIDE AV/187 ST,SPRINGFIELD BL/MERRICK BL,SPRINGFIELD BL/143 AV,SPRINGFIELD BL/120 AV,HILLSIDE AV/EDGERTON BL,HILLSIDE AV/172 ST,FRANCIS LEWIS BL/113 AV,HILLSIDE AV/175 ST,HILLSIDE AV/205 ST,HILLSIDE AV/179 ST SUBWAY,HILLSIDE AV/189 ST,HILLSIDE AV/184 ST,SPRINGFIELD BL/139 AV,FRANCIS LEWIS BL/LINDEN BL,165 ST/HILLSIDE AV,HILLSIDE AV/171 ST,S CONDUIT AV/221 ST,HILLSIDE AV/FRANCIS LEWIS BL,FRANCIS LEWIS BL/MURDOCK AV,HILLSIDE AV/191 ST,FRANCIS LEWIS BL/93 AV,FRANCIS LEWIS BL/SPRINGFIELD BL,FRANCIS LEWIS BL/99 AV,FRANCIS LEWIS BL/104 AV,HILLSIDE AV/178 ST,SPRINGFIELD BL/131 AV,HILLSIDE AV/AVON ST,SPRINGFIELD BL/132 RD,FRANCIS LEWIS BL/112 AV,SPRINGFIELD BL/141 RD,SPRINGFIELD BL/197 ST,HILLSIDE AV/193 ST,SPRINGFIELD BL/121 AV,FRANCIS LEWIS BL/116 AV,165 ST / 165 ST TERMINAL,SPRINGFIELD BL/193 ST,SPRINGFIELD BL/ 135 AV,SPRINGFIELD/MONTEFIORE CEMETERY,FRANCIS LEWIS BL/111 AV,HILLSIDE AV/199 ST,HILLSIDE AV/181 ST,HILLSIDE AV/202 ST,FRANCIS LEWIS BL/90 AV,FRANCIS LEWIS BL/HOLLIS AV,FRANCIS LEWIS BL/JAMAICA AV,HILLSIDE AV/187 PL,College Point Depot (CP)
SPRINGFIELD BL/136 AV,,,,,,,,,,,,,,,,,,,,,,,,0.398 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/198 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,
FRANCIS LEWIS/LINDEN BL,,,,,,,,,,,,,,,,,,,,,0.295 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/89 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,0.192 SPRINGFIELD GARDENS,,,,
HILLSIDE AV/HOMELAWN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,
FRANCIS LEWIS BL/115 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,0.573 SPRINGFIELD GARDENS,,,,,,,,,,,,,
SPRINGFIELD BL/LUCAS ST,,,,,,,,,,,,,,,,,,,,,,,,0.366 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/145 AV,,,,,,,,,,,,,,,,,1.038 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/141 AV,,,,,,,,,,,,,0.282 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,0.37 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/122 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,
SPRINGFIELD BL/E GATE PZ,0.271 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/109 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,0.183 SPRINGFIELD GARDENS,,,
SPRINGFIELD BL/138 RD,,,,,,,,,,,0.169 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/130 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 JAMAICA 165 ST TERMINAL,,,,,,,,,
HILLSIDE AV/188 ST,,,,,,,,,,,,,,,,,,,,,,,0.158 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST / BUS TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/144 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.186 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/168 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.282 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/100 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,0.807 JAMAICA 165 ST TERMINAL,,
HILLSIDE AV/195 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 SPRINGFIELD GARDENS,,,,,,,
FRANCIS LEWIS BL/NASHVILLE BL,,,,,,,,,,,,,,,,,,,,,,,,,,0.311 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/182 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37 JAMAICA 165 ST TERMINAL,,,,,,,,,0.204 SPRINGFIELD GARDENS,,,,,,,,,,
SPRINGFIELD BL/143 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455 SPRINGFIELD GARDENS,,,,,,,,,,,,,0.728 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/120 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 JAMAICA 165 ST TERMINAL,,,,,,,,,,,0.213 SPRINGFIELD GARDENS,,,,,,,,,,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/172 ST,,,,,0.315 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/113 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 SPRINGFIELD GARDENS,,,,,,,,,,0.174 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/205 ST,,,,0.262 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/179 ST SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/184 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.137 SPRINGFIELD GARDENS,
SPRINGFIELD BL/139 AV,,,,,,,,,0.695 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,
165 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,1.108 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S CONDUIT AV/221 ST,,,,,,,,1.27 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631 JAMAICA 165 ST TERMINAL,,,,,
FRANCIS LEWIS BL/MURDOCK AV,,,,,,0.252 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,0.164 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/191 ST,,,,,,,,,,,,,,,0.528 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/93 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 JAMAICA 165 ST TERMINAL,,0.363 SPRINGFIELD GARDENS,,
FRANCIS LEWIS BL/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/99 AV,,,,,,,,,,,,,,,,,,,0.123 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/104 AV,,,,,,,,,,,,0.188 SPRINGFIELD GARDENS,,,,,,,0.366 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 SPRINGFIELD GARDENS,,,,,,
SPRINGFIELD BL/131 AV,,,,,,,,,,,,,,0.225 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/AVON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/132 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/112 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 JAMAICA 165 ST TERMINAL,,,,,,,,
SPRINGFIELD BL/141 RD,,,,,,,,,0.084 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/197 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 SPRINGFIELD GARDENS,,,,,,,,,,,
HILLSIDE AV/193 ST,,,,,,,,,,,,,,,,,,,,0.215 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,0.186 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/121 AV,,,,,,,,,,0.292 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,0.203 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/116 AV,,,0.31 SPRINGFIELD GARDENS,,,0.234 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST / 165 ST TERMINAL,,,,,,,,,,,,,,,,0.0 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.793 to depot of Q77
SPRINGFIELD BL/193 ST,,,,,,,0.23 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/ 135 AV,,,,,,,,,,,0.744 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD/MONTEFIORE CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,
FRANCIS LEWIS BL/111 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,0.206 JAMAICA 165 ST TERMINAL,,,
HILLSIDE AV/199 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 SPRINGFIELD GARDENS,,,,,
HILLSIDE AV/181 ST,,,,,,,,,,,,,,,,,,,,,,0.171 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/202 ST,,0.259 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/90 AV,,,,0.192 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/HOLLIS AV,,,,,,,,,,,,0.187 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 SPRINGFIELD GARDENS,,,,,,,,
FRANCIS LEWIS BL/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 JAMAICA 165 ST TERMINAL,,0.289 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/187 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09 SPRINGFIELD GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.914 JAMAICA 165 ST TERMINAL,,,,,,,,,,,,
