,120 AV/190 ST,120 AV/199 ST,MERRICK BL/111 AV,168 ST/DOUGLAS AV,MERRICK BL/109 AV,MERRICK BL/104 AV,120 AV/193 ST,MERRICK BL/VICTORIA RD,MERRICK BL/SAYRES AV,MERRICK BL/FOCH BL,120 AV/194 ST,120 AV/217 ST,120 AV/NASHVILLE BL,120 AV/178 PL,238 ST/128 AV,120 AV/237 ST,237 ST/129 AV,120 AV/218 ST,LAURELTON PY/129 AV,MERRICK BL/110 AV,120 AV/232 ST,120 AV/197 ST,120 AV/178 ST,120 AV/SUNBURY RD,MERRICK BL/LIBERTY AV,MERRICK BL/BAISLEY BL,120 AV/234 ST,MERRICK BL/108 AV,120 AV/227 ST,120 AV/177 ST,120 AV/IRWIN PL,120 AV/231 ST,ARCHER AV/PARSONS BL,MERRICK BL/116 AV,120 AV/200 ST,120 AV/180 ST,120 AV/226 ST,238 ST/121 AV,MERRICK BL/105 AV,120 AV/195 ST,120 AV/202 ST,120 AV/LUCAS ST,120 AV/198 ST,237 ST/121 AV,MERRICK BL/169 PL,MERRICK BL/LINDEN BL,120 AV/224 ST,120 AV/192 ST,120 AV/229 ST,120 AV/FARMERS BL,ARCHER AV/153 ST,120 AV/196 ST,120 AV/SPRINGFIELD BL,MERRICK BL/107 AV,120 AV/222 ST,120 AV/FRANCIS LEWIS BL,237 ST/128 AV,MERRICK BL/119 AV,MERRICK BL/115 AV,ARCHER AV/165 ST,ARCHER AV/TEARDROP CANOPY,120 AV/230 ST,College Point Depot (CP)
120 AV/190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,
120 AV/199 ST,,,,,,,,,,,,,,,,,,,,,,0.12 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/111 AV,,,,,,,,,0.178 LAURELTON 238 ST via 120 AV,,,,,,,,,,,0.598 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168 ST/DOUGLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444 JAMAICA PARSONS-ARCHER,,,
MERRICK BL/109 AV,,,,,,,,,,,,,,,,,,,,0.289 LAURELTON 238 ST via 120 AV,,,,,,,,0.289 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/104 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535 LAURELTON 238 ST via 120 AV,,,,,,,,,
120 AV/193 ST,0.235 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/VICTORIA RD,,,,,,,,,,0.87 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,0.383 LAURELTON 238 ST via 120 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERRICK BL/SAYRES AV,,,0.237 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 LAURELTON 238 ST via 120 AV,,,,,,,,,,,,,,,,,
MERRICK BL/FOCH BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 JAMAICA PARSONS-ARCHER,,,,,,,,,,,,,,,,,,,,,,,,1.009 LAURELTON 238 ST via 120 AV,,,,,
120 AV/194 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 LAURELTON 238 ST via 120 AV,,,,,,,,,,,
120 AV/217 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083 JAMAICA PARSONS-ARCHER,,,,,,,,,,
