,SPRINGFIELD BL/94 DR,73 AV/195 ST,SPRINGFIELD BL / 94 AV,HORACE HARDING EXP/175 PL,SPRINGFIELD BL/UNION TP,AMBOY LA/SPRINGFIELD BL,73 AV/CLEARVIEW EXP,HORACE HARDING EXP/185 ST,73 AV/197 ST,73 AV/HOLLIS HILLS TERR,73 AV/BELL BL,SPRINGFIELD BL/HILLSIDE AV,HORACE HARDING EXP/64 AV,HORACE HARDING EXP/YELLOWSTONE BL,HORACE HARDING EXP/PARSONS BL,HORACE HARDING EXP/172 ST,HORACE HARDING EXP/MAIN ST,92 ST/59 AV,73 AV/SPRINGFIELD BL,HORACE HARDING EXP/166 ST,73 AV/218 ST,HORACE HARDING EXP/156 ST,94 ST/58 AV,HORACE HARDING EXP/183 ST,73 AV/213 ST,73 AV/193 ST,SPRINGFIELD BL/76 AV,SPRINGFIELD BL/GRAND CENTRAL PKWY,73 AV/194 ST,HORACE HARDING EXP/97 ST,HORACE HARDING EXP/153 ST,SPRINGFIELD BL/77 AV,SPRINGFIELD BL/90 AV,188 ST/64 AV,SPRINGFIELD BL/KINGSBURY AV,73 AV/210 ST,73 AV/192 ST,HORACE HARDING EXP/99 ST,HORACE HARDING EXP/150 ST,HORACE HARDING EXP/170 ST,SPRINGFIELD BL/91 AV,188 ST/HORACE HARDING EXP,HORACE HARDING EXP/OTIS AV,188 ST/186 LA #2,SPRINGFIELD BL/94 AV,HORACE HARDING EXP/UTOPIA PY,HORACE HARDING EXP/JUNCTION BL,HORACE HARDING EXP/98 ST,188 ST/HORACE HARDING EP,HORACE HARDING EXP/136 ST,SPRINGFIELD BL/JAMAICA AV,HORACE HARDING EXP/KISSENA BL,188 ST/186 LA #1,73 AV/220 ST,HORACE HARDING EXP/146 ST,HORACE HARDING EXP/188 ST,HORACE HARDING EXP/WALDRON ST,SPRINGFIELD BL/SAWYER AV,HORACE HARDING EXP/FRESH MEADOW LA,73 AV/198 ST,HORACE HARDING EXP/108 ST,HORACE HARDING EXP /JUNCTION BL,HORACE HARDING EXP/134 ST,HORACE HARDING EXP/160 ST,SPRINGFIELD BL/223 ST,SPRINGFIELD BL/89 AV,HORACE HARDING EXP/186 ST,AMBOY LA/JAMAICA AV,HORACE HARDING EXP/WESTSIDE AV,JUNCTION BL/59 AV,73 AV/199 ST,HORACE HARDING EXP/LAWRENCE ST,SPRINGFIELD BL/92 AV,HORACE HARDING EXP/102 ST,SPRINGFIELD BL/93 AV,HORACE HARDING EXP/162 ST,HORACE HARDING EXP/168 ST,HORACE HARDING EXP/148 ST,73 AV/189 ST,HORACE HARDING EXP/164 ST,73 AV/190 ST,HORACE HARDING EXP/REEVES AV,73 AV/196 ST,73 AV/FRANCIS LEWIS BL,SPRINGFIELD BL/75 AV,HORACE HARDING EXP/138 ST,HORACE HARDING EXP/COLLEGE PT BL,188 ST/69 AV,College Point Depot (CP)
SPRINGFIELD BL/94 DR,,,0.155 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/195 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL / 94 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,
HORACE HARDING EXP/175 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/UNION TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY LA/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/CLEARVIEW EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,
HORACE HARDING EXP/185 ST,,,,,,,,,,,,,,,,,,,,,,,,1.099 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/197 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,
73 AV/HOLLIS HILLS TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,0.511 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,0.198 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/64 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/YELLOWSTONE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/PARSONS BL,,,,,,,,,,,,,,,,,,,,,,2.776 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/172 ST,,,,,,,,,,,,,0.1 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,0.056 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 ST/59 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,
73 AV/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,0.302 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 QUEENS VILLAGE JAMAICA AV,,,,
HORACE HARDING EXP/166 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.609 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,
73 AV/218 ST,,,,,,,,,,,0.137 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/156 ST,,,,,,,,,,,,,,,2.78 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.328 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94 ST/58 AV,,,,,,,,,,,,,,,,,,0.434 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/183 ST,,,,1.207 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.555 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,
73 AV/213 ST,,,,,,,,,,,0.226 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,0.278 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/193 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,
SPRINGFIELD BL/76 AV,,,,,,,,,,,,,,,,,,,0.461 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,0.159 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/GRAND CENTRAL PKWY,,,,,0.179 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/194 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 QUEENS VILLAGE JAMAICA AV,,,,,,
HORACE HARDING EXP/97 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 QUEENS VILLAGE JAMAICA AV,,,,,,,
SPRINGFIELD BL/77 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/90 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,0.317 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,
188 ST/64 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.223 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,1.466 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD BL/KINGSBURY AV,,,,,0.227 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,0.299 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/210 ST,,,,,,,0.525 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,0.446 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73 AV/192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,,,,,,,,,,,,,1.817 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,,0.232 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,
HORACE HARDING EXP/150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.368 QUEENS VILLAGE JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595 WOODHVN BL STA QNS CTR MALL via H.HRDNG,,,,,,,,,,,
