,RICHMOND TER/POST LA,RICHMOND TER/HARBOR RD,GOETHALS RD N/MOBILE HOME PARK ROW A,RICHMOND TER/JOHN ST,CHELSEA RD/BLOOMFIELD AV,RICHMOND TER/NICHOLAS AV,FRANK W. GAY BL/10 AV,ST GEORGE FERRY /ST GEORGE FERRY,RICHMOND TER/BODINE ST,RICHMOND TER/TOMPKINS CT,SOUTH AV/NETHERLAND AV,RICHMOND TER/FABER ST,RICHMOND TER/STUYVESANT PL,FOREST AV/ELIZABETH GROVE RD,FOREST AV/GOETHALS RD N,RICHMOND TER/LAKE AV,RICHMOND TER/GRANITE AV,FOREST AV/UA THEATERS,SOUTH AV/RICHMOND TER,RICHMOND TER/ST PETERS PL,RICHMOND TER/LAFAYETTE AV,RICHMOND TER/HOUSEMAN AV,FOREST AV / HOME DEPOT,RICHMOND TER/TAYLOR ST,RICHMOND TER/FRANKLIN AV,RICHMOND TER/SIMONSON AV,RICHMOND TER/BARD AV,SOUTH AV/ARLINGTON PL,FOREST AV/SOUTH AV,ST GEORGE FERRY/S40 & S90,RICHMOND TER/ANDROS AV,RICHMOND TER/JEWETT AV,RICHMOND TER/NORTH ST,RICHMOND TER/SCHUYLER ST,RICHMOND TER/CLOVE RD,RICHMOND TER/JERSEY ST,RICHMOND TER/BEMENT AV,RICHMOND TER/BROADWAY,RICHMOND TER/WESTERVELT AV,SOUTH AV/BRABANT ST,FRANK W. GAY BL/CHELSEA RD,RICHMOND TER/SHARPE AV,RICHMOND TER/SNUG HARBOR RD 2,RICHMOND TER/NICHOLAS ST,FOREST AV/LILAC CT,RICHMOND TER/SOUTH AV,GOETHALS RD N/ADMIN PARKING LOT,RICHMOND TER/MORNINGSTAR RD,RICHMOND TER/VAN PELT AV,RICHMOND TER/RECTOR ST,RICHMOND TER/SAILORS S H GATE,RICHMOND TER/ST GEORGE FERRY,RICHMOND TER/HEBERTON AV,RICHMOND TER/N BURGHER AV,RICHMOND TER/GRANDVIEW AV,SOUTH AV/CABLE WAY,RICHMOND TER/MAPLE AV,RICHMOND TER/DAVIS AV,RICHMOND TER/UNION AV,RICHMOND TER/SNUG HARBOR RD,RICHMOND TER/PARK AV,RICHMOND TER/ALASKA ST,RICHMOND TER/VAN NAME AV,RICHMOND TER/CLINTON AV,RICHMOND TER/WALL ST,Yukon Depot (YU)
RICHMOND TER/POST LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/HARBOR RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 ST GEORGE FERRY via RICHMOND TERR,,,,,,,
GOETHALS RD N/MOBILE HOME PARK ROW A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,
RICHMOND TER/JOHN ST,,,,,,0.27 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,
CHELSEA RD/BLOOMFIELD AV,,,,,,,1.018 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,2.26 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.481 to depot of S40
RICHMOND TER/NICHOLAS AV,,,,0.27 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,
FRANK W. GAY BL/10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY /ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/BODINE ST,,,,,,,,,,,,,,,,,,,,,,,,0.177 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/TOMPKINS CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,0.214 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,
