,BRIGHTON AV/JERSEY ST,HAMILTON AV/EGMONT PL,LAFAYETTE AV/ALDEN PL,ST MARKS PL/FORT PL,PROSPECT AV/PENDELTON PL,WESTERVELT AV/HAMILTON AV,BAY ST/BOROUGH PL,ST MARKS PL/HAMILTON AV,WESTERVELT AV/CLEVELAND ST,HAMILTON AV/ST MARKS PL,ST MARKS PL/HYATT ST,JERSEY ST/BRIGHTON AV,JERSEY ST/LAYTON AV,JERSEY ST/CARLYLE ST,SLOSSON TER/BAY ST,WESTERVELT AV/ST MARKS PL,JERSEY ST/HENDRICKS AV,CENTRAL AV/HYATT ST,ST MARKS PL/WALL ST,ST GEORGE FERRY/ST GEORGE FERRY,PROSPECT AV/FRANKLIN AV,JERSEY ST/CRESCENT AV,HYATT ST/CENTRAL AV,BAY ST/NICK LAPORTE PL,FRANKLIN AV/PROSPECT AV,CRESCENT AV/WESTERVELT AV,BRIGHTON AV/LAFAYETTE AV,WESTERVELT AV/CRESCENT AV,BRIGHTON AV/PINE ST,BRIGHTON AV/WEBSTER AV,PROSPECT AV/LAFAYETTE AV,JERSEY ST/PAUW ST,ST GEORGE FERRY/S42 & S52,LAFAYETTE AV/BRIGHTON AV,LAFAYETTE AV/PROSPECT AV,CLYDE PL/ARNOLD ST,ST MARKS PL/NICHOLAS ST,ST MARKS PL/83 ST MARKS PL,Yukon Depot (YU)
BRIGHTON AV/JERSEY ST,,,,,,,,,,,,,,,,,0.233 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,
HAMILTON AV/EGMONT PL,,,,,,,,,,0.316 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/ALDEN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 ST GEORGE FERRY,0.192 CLYDE PL ARNOLD ST,,,,
ST MARKS PL/FORT PL,,,,,,,,,,,,,,,,,,,,,,,0.615 ST GEORGE FERRY,,,,,,,,,,,,,,,,
PROSPECT AV/PENDELTON PL,,,,,,,,,,,,,,,,,,,,,0.08 CLYDE PL ARNOLD ST,,,,,,,,,,0.174 ST GEORGE FERRY,,,,,,,,
WESTERVELT AV/HAMILTON AV,,0.183 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,0.392 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,
ST MARKS PL/HAMILTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 CLYDE PL ARNOLD ST,,
WESTERVELT AV/CLEVELAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 CLYDE PL ARNOLD ST,,,,,,,,,,,,,
HAMILTON AV/ST MARKS PL,,,,,,,,,,,,,,,,,,,0.2 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,
