,RICHMOND TER/ST PETERS PL,HENDERSON AV/BARD AV,MORNINGSTAR RD/WALKER ST,RICHMOND AV/VICTORY BL,RICHMOND AV/MERRILL AV,BEMENT AV/HENDERSON AV,HENDERSON AV/BEMENT AV,YUKON AV/RICHMOND AV,RING RD/SEARS PLATINUM AV,PORT RICHMOND AV/HATFIELD PL,CARY AV/BEMENT AV,BEMENT AV/CARY AV,RICHMOND TER/JERSEY ST,RICHMOND TER/ST GEORGE FERRY,BEMENT AV/CASTLETON AV,MORNINGSTAR RD/DAVID PL,RICHMOND AV/AMSTERDAM PL,RICHMOND AV/ROCKLAND AV,HENDERSON AV/LAFAYETTE AV,ST GEORGE FERRY/ST GEORGE FERRY,YUKON AV/KMART DWY,RICHMOND AV/FOREST ST,RICHMOND TER/FRANKLIN AV,RICHMOND AV/LAMBERTS LA,POST AV/DRIPROCK ST,YUKON AV/WATCHMANS OFFICE,CARY AV/BROADWAY,MORNINGSTAR RD/BOWLES AV,RICHMOND AV/SIGNS RD,MORNINGSTAR RD/FOREST  AV,CARY AV/ELIZABETH ST,RICHMOND AV/CARNEGIE AV,HENDERSON AV/DEVON PL,RICHMOND AV/RIVINGTON AV,RICHMOND AV/MORANI ST,LAFAYETTE AV/HENDERSON AV,RICHMOND AV/JULES DR,RING RD/MACYS PLATINUM AV,PORT RICHMOND AV/HOOKER PL,RICHMOND TER/NICHOLAS ST,RICHMOND AV/DRAPER PL S,PORT RICHMOND AV/CLINTON PL,RICHMOND AV/YUKON AV,RICHMOND AV/YONA AV,ST GEORGE FERRY/S44 & S94,CARY AV/TAYLOR ST,RICHMOND TER/WALL ST,RICHMOND AV/GOETHALS RD N,PORT RICHMOND AV/CATHERINE ST,MORNINGSTAR RD/ST ADALBERT PL,RICHMOND AV/RICHMOND HILL RD,PORT RICHMOND AV/HOMESTEAD AV,HENDERSON AV/PELTON AV,LAFAYETTE AV/CASSIDY PL,RICHMOND TER/WESTERVELT AV,LAFAYETTE AV/RICHMOND TER,MORNINGSTAR RD/DIXON AV,RICHMOND AV/LANDER AV,HENDERSON AV/CLINTON AV,RICHMOND AV/MARC ST,LAFAYETTE AV/FILLMORE ST,RICHMOND AV/NOME AV,RICHMOND AV/MONSEY PL,RICHMOND AV/W CASWELL AV,POST AV/CLOVE RD,WALKER ST/PORT RICHMOND AV,RICHMOND AV/ETON PL,RICHMOND AV/ARMAND ST,POST AV/DECKER AV,YUKON AV/KMART DRWY,WALKER ST/TRANTOR PL,RICHMOND AV/TRAVIS AV,HENDERSON AV/WESTBURY AV,RICHMOND AV/CHRISTOPHER LA,POST AV/PORT RICHMOND AV,RICHMOND TER/SCHUYLER ST,RICHMOND AV/VEDDER AV,CARY AV/CLOVE RD,CARY AV/CAROLINE ST,RICHMOND AV/BARON HIRSCH CEM,RICHMOND TER/STUYVESANT PL,CARY AV/N BURGHER AV,POST AV/JEWETT AV,POST AV/GREENLEAF AV,Yukon Depot (YU)
RICHMOND TER/ST PETERS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961 ST GEORGE FERRY,,,,,,,,,,,,,,,0.195 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON AV/BARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,0.301 ST GEORGE FERRY,,,,,,,,,,,,
MORNINGSTAR RD/WALKER ST,,,,,,,,,,,,,,,,0.164 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 ST GEORGE FERRY,,,,,,,,,,,,,,
RICHMOND AV/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,0.251 S I MALL YUKON AV,,,,,,,,,,,,,0.852 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MERRILL AV,,,,0.825 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEMENT AV/HENDERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON AV/BEMENT AV,,,,,,,,,,,,,,,0.313 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 S I MALL YUKON AV,,,,,,,,,,,,,,,
RING RD/SEARS PLATINUM AV,,,,,,,,0.537 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HATFIELD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 ST GEORGE FERRY,,,,,,,,,,
CARY AV/BEMENT AV,,,,,,,,,,,,,,,0.168 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEMENT AV/CARY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 S I MALL YUKON AV,,,
