,BAY ST/SLOSSON TE,WEST SHORE PLAZA/CHELSEA ST,CASTLETON AV/CONYINGHAM AV,CASTLETON AV/RANDALL AV,NICHOLAS AV/CHARLES AV,BAY ST/NICK LAPORTE PL,CASTLETON AV/KISSEL AV,VICTORY BL/BROOK ST,BAY ST/BOROUGH PL,CASTLETON AV/BARD AV,DE RUYTER PL/VAN PELT AV,SOUTH AV/CABLE WAY,UNION AV/BRABANT ST,CASTLETON AV/JEWETT AV,CASTLETON AV/SHARPE AV,WALKER ST/VAN PELT AV,CASTLETON AV/OAKLAND AV,VICTORY BL/JERSEY ST,CASTLETON AV/CLOVE RD,INNIS ST/JOHN ST,CASTLETON AV/CEBRA AV,MORNINGSTAR RD/INNIS ST,CASTLETON AV/CAROLINE ST,SOUTH AV/GOETHALS RD N,CASTLETON AV/ELIZABETH ST,MORNINGSTAR RD/KALVER PL,WALLOON ST/MAPLE PY,CASTLETON AV/HAVENWOOD RD,NICHOLAS AV/CASTLETON AV,BRABANT ST/LOCKMAN AV,CASTLETON AV/BARKER ST,SOUTH AV/TRAVIS AV,TELEPORT DR/SOUTH AV #1,GRANDVIEW AV/BRABANT ST,VICTORY BL/VAN DUZER ST,MAPLE PY/WALLOON ST,CASTLETON AV/BEMENT AV,CASTLETON AV/DAVIS AV,WALKER ST/SIMONSON AV,WALKER ST/PULASKI AV,BRABANT ST/GRANDVIEW AV,WALKER ST/VAN NAME AV,CASTLETON AV/TAYLOR ST,VICTORY BL / BAY ST,SOUTH AV/HILTON HOTEL,CASTLETON AV/WEBSTER AV,SOUTH AV/OPP 1000 SOUTH AV,SOUTH AV/1000 SOUTH AV,VICTORY BL/FREMONT ST,ST GEORGE FERRY/S46 & S96,BAY ST/CENTRAL AV,TELEPORT DR/SOUTH AV #2,INNIS ST/EATON PL,CASTLETON AV/GLEN AV,BRABANT ST/UNION AV,SOUTH AV/AMADOR ST,ST GEORGE FERRY/ST GEORGE FERRY,CASTLETON AV/BRIGHTON AV,CASTLETON AV/HAVEN ESPLANADE,VICTORY BL/MONTGOMERY AV,CASTLETON AV/PORT RICHMOND AV,LINDEN AV/VAN PELT AV,SOUTH AV/TELEPORT DR,CASTLETON AV/TREADWELL AV,INNIS ST/NICHOLAS AV,GRANDVIEW AV/CONTINENTAL PL,CASTLETON AV/HEBERTON AV,GRANDVIEW AV/FOREST AV,CASTLETON AV/N BURGHER AV,TELEPORT DR/CORP COMMONS BLDG,CASTLETON AV/HARBOR VIEW CT,WALKER ST/MORNINGSTAR RD,VICTORY BL/ BROOK ST,SOUTH AV/FOREST AV,CASTLETON AV/N RANDALL AV,CASTLETON AV/WOODSTOCK AV,SOUTH AV/1200 SOUTH AV,VICTORY BL/CEBRA AV,INNIS ST/ST JOSEPH AV,CASTLETON AV/HUNTER PL,CASTLETON AV/NICHOLAS AV,CASTLETON AV/BROADWAY,Yukon Depot (YU)
BAY ST/SLOSSON TE,,,,,,,,,0.124 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST SHORE PLAZA/CHELSEA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.898 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,
CASTLETON AV/CONYINGHAM AV,,,,,,,0.208 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/RANDALL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,
NICHOLAS AV/CHARLES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 WEST SHORE PLZ via CASTLETON,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/KISSEL AV,,,,,,,,,,0.169 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 ST GEORGE FERRY via CASTLETON,,,
VICTORY BL/BROOK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/BARD AV,,,,,,,0.169 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE RUYTER PL/VAN PELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
