,FOREST AV/SHARON AV,FOREST AV/GRANDVIEW AV,VICTORY BL/AUSTIN PL,FOREST AV/AMITY PL,ARLINGTON PL/SOUTH AV,RICHMOND TER/FEDERAL PL,FOREST AV/HAVEN ESPLANADE,FOREST AV/JEWETT AV,FOREST AV/HARBOR PLAZA,FOREST AV/VICTORY BL,FOREST AV/LIVERMORE AV,FOREST AV/BARD  AV,SOUTH AV/CABLE WAY,SOUTH AV/RICHMOND TER,VICTORY BL / BAY ST,FOREST AV/ELIZABETH ST,FOREST AV/HAMLIN PL,FOREST AV/SANDERS ST,FOREST AV/RAYMOND PL,FOREST AV/SILVER LAKE PK,ARLINGTON PL/HOLLAND AV,FOREST AV/CLOVE RD,VICTORY BL/ BROOK ST,VICTORY BL/FREMONT ST,ST GEORGE FERRY/S48 & S98,ARLINGTON PL/NORTHFIELD AV,FOREST AV/RICHMOND AV,VICTORY BL/VAN DUZER ST,FOREST AV/BARRETT  AV,SOUTH AV/ARLINGTON PL,SOUTH AV/NETHERLAND AV,HOLLAND AV/BENJAMIN PL,FOREST AV/DECKER AV,FOREST AV/WILLOW RD W,VICTORY BL/WOODSTOCK AV,FOREST AV/VAN PELT AV,BAY ST/CENTRAL AV,FOREST AV/BURNSIDE AV,FOREST AV/CRYSTAL AV,VICTORY BL/CEBRA AV,FOREST AV/BEMENT AV,FOREST AV/HARBOR RD,VICTORY BL/JERSEY ST,FOREST AV/WALBROOKE AV,RICHMOND TER/ARLINGTON AV,FOREST AV/BRIGHTON AV,FOREST AV/WILLOW RD E,FOREST AV/BROADWAY,FOREST AV / LAWRENCE AV,FOREST AV/UNIVERSITY PL,FOREST AV/OXFORD PL,FOREST AV/WILLOWBROOK RD,ST GEORGE FERRY/ST GEORGE FERRY,FOREST AV/STAPLES,VICTORY BL/MONTGOMERY AV,FOREST AV/HART BL,FOREST AV/MANOR RD,FOREST AV/DUBOIS AV,FOREST AV/BARD AV,FOREST AV/SOUTH AV,FOREST AV/N BURGHER AV,FOREST AV/MARIANNE ST,FOREST AV/UNION AV,FOREST AV/PELTON AV,FOREST AV/SIMONSON AV,SOUTH AV/BRABANT ST,FOREST AV/MAPLE PY,FOREST AV/EUNICE PL,BAY ST/SLOSSON TE,FOREST AV/RANDALL AV,BAY ST/BOROUGH PL,BAY ST/NICK LAPORTE PL,Yukon Depot (YU)
FOREST AV/SHARON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,
FOREST AV/GRANDVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,
VICTORY BL/AUSTIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/AMITY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 ST GEORGE FERRY via FOREST,,,,,,
ARLINGTON PL/SOUTH AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/FEDERAL PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/HAVEN ESPLANADE,,,,,,,,,,0.357 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/JEWETT AV,,,,,,,,,,,,,,,,,0.175 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,
FOREST AV/HARBOR PLAZA,,0.153 ARLINGTON HOLLAND AV via FOREST,,0.941 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/VICTORY BL,,,0.316 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/LIVERMORE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/BARD  AV,0.296 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AV/CABLE WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,
SOUTH AV/RICHMOND TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL / BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,0.431 ST GEORGE FERRY via FOREST,,,,
FOREST AV/ELIZABETH ST,,,,,,,,,,,,,,,,,,,,,,0.2 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/HAMLIN PL,,,,,,,,0.175 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,0.262 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/SANDERS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852 ARLINGTON HOLLAND AV via FOREST,,,,,,,,
FOREST AV/RAYMOND PL,,,,,,,,,,,,,,,,,,,,,,0.236 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/SILVER LAKE PK,,,,,,,3.504 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLINGTON PL/HOLLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/CLOVE RD,,,,,,,,,,,,,,,,0.2 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,
VICTORY BL/ BROOK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/FREMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/S48 & S98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 ARLINGTON HOLLAND AV via FOREST,
ARLINGTON PL/NORTHFIELD AV,,,,,,,,,,,,,,,,,,,,,0.248 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/RICHMOND AV,,,,,,,,,,,,,,,,,,0.615 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/VAN DUZER ST,,,,,,,,,,,,,,,0.099 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/BARRETT  AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,
SOUTH AV/ARLINGTON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41 ST GEORGE FERRY via FOREST,,,,,,,
SOUTH AV/NETHERLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 ARLINGTON HOLLAND AV via FOREST,,,,,,,
HOLLAND AV/BENJAMIN PL,,,,,,0.315 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/DECKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,
FOREST AV/WILLOW RD W,,,,,,,,,,,,,,,,,,,,,,,,,,,0.683 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/WOODSTOCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/VAN PELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,
BAY ST/CENTRAL AV,,,,,,,,,,,,,,,0.153 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/BURNSIDE AV,,,,,,,,,,,,,,,,,0.231 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/CRYSTAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,
VICTORY BL/CEBRA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 ARLINGTON HOLLAND AV via FOREST,,,,,,,,0.258 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
