,FR CAPODANNO BL/BUEL AV,BAY ST/BOROUGH PL,MIDLAND AV/RICHMOND RD,MIDLAND AV/MASON AV,LINCOLN AV/GRANT PL,FR CAPODANNO BL/LINDA AV,FR CAPODANNO BL/SAND LA,BAY ST/VIRGINIA AV,FR CAPODANNO BL/ATLANTIC AV,FR CAPODANNO BL/NAUGHTON AV,SCHOOL RD/DENNIS TORRICELLI ST,MIDLAND AV/HYLAN BL,FR CAPODANNO BL/CROMWELL AV,MIDLAND AV/FR CAPODANNO BL,FR CAPODANNA BL / SAND LA,BAY ST/CENTRAL AV,NEW YORK AV/DRUM AV- BLDG 120,BAY ST/NICK LAPORTE PL,NEW YORK AV/TOMPKINS AV,BAY ST/ST MARYS AV,BAY ST/FINGERBOARD RD,LILY POND AV/MAJOR AV,MIDLAND AV/N RAILROAD AV,LINCOLN AV/RICHMOND RD,MC CLEAN AV/LILY POND AV,MIDLAND AV/PATTERSON AV,BAY ST/WATER ST,BAY ST/VANDERBILT AV,BAY ST/LYMAN AV,FR CAPODANNO BL/BURGHER AV,MIDLAND AV/COLONY ST,BAY ST/WAVE ST,BAY ST/PROSPECT ST,FR CAPODANNO BL/DOTY AV,BAY ST/BAYLEY SETON HOSPITAL,BAY ST/VAN DUZER EXT,FR CAPODANNO BL/GRAHAM BL,LINCOLN AV/EDISON ST,FR CAPODANNO BL/DELAWARE AV,BAY ST/SANDS ST,MIDLAND AV/EDISON ST,BAY ST/CLINTON ST,FR CAPODANNO BL/SLATER BL,BATTERY RD/AIR FORCE RESERVE,MIDLAND AV/BOUNDARY AV,BAY ST/HANNAH ST,BAY ST/LYNHURST AV,BAY ST/HYLAN BL,NEW YORK AV/COAST GUARD DR,MIDLAND AV/CLAWSON ST,BATTERY RD/TENNESSEE RD,FR CAPADONNO BL/SEAVIEW AV,SCHOOL RD/D TORRECELLI ST,BAY ST/CHESTNUT AV,MIDLAND AV/MORELAND ST,LILY POND AV/MC CLEAN AV,FR CAPODANNO BL/HEMPSTEAD AV,BAY ST/NAUTILUS ST,FR CAPODANNO BL/ROBIN RD,NEW YORK AV/DRUM AV - BLDG 209,MIDLAND AV/FREEBORN ST,SCHOOL RD/TOMPKINS AV,BAY ST/EDGEWATER ST,ST GEORGE FERRY/S51 & S81,FR CAPODANNO BL/OCEAN AV,BAY ST/SEA GATE RD,NEW YORK AV/MARSHALL RD,HYLAN BL/MIDLAND AV,FR CAPODANNO BL/HUNTER AV,BAY ST/NEW LA,BAY ST/ST JOHNS AV,FR CAPODANNO BL/JEFFERSON AV,BAY ST/GRANT ST,BAY ST/SLOSSON TE,BAY ST/BROAD ST,BAY ST/VICTORY BL,FR CAPODANNO BL/ALTER AV,LINCOLN AV/S RAILROAD AV,FR CAPODANNO BL/SEAVIEW AV,BAY ST/THOMPSON ST,FR CAPODANNO BL/SIOUX ST,BAY ST/TOWNSEND AV,MIDLAND AV/KISWICK ST,BAY ST/WILLIAM ST,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/WILLOW AV,BAY ST/SHORE ACRES DR,NEW YORK AV/SOUTH RD,Yukon Depot (YU)
FR CAPODANNO BL/BUEL AV,,,,,,,,,,0.181 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 ST GEORGE FERRY via BAY ST,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392 ST GEORGE FERRY via BAY ST,,,,
MIDLAND AV/RICHMOND RD,,,,,,,,,,,,,,,,,,,,,,,0.283 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/MASON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 ST GEORGE FERRY via BAY ST,,,,,,
LINCOLN AV/GRANT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/LINDA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/SAND LA,,,,,,,,,1.01 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/VIRGINIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.891 ST GEORGE FERRY via BAY ST,,,,,,,,,0.107 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/NAUGHTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL RD/DENNIS TORRICELLI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,
