,AMBOY RD/PETERSONS LN,RICHMOND AV/FOREST HILL RD,BLOOMINGDALE RD/SHARROTTS RD,AMBOY RD/PERTERSONS LN,BLOOMINGDALE RD/ENGLEWOOD AV,RICHMOND AV/YUKON AV,BLOOMINGDALE RD/CLAY PIT RD,ARTHUR KILL RD/ANNADALE RD,AMBOY RD/BLOOMINGDALE RD,MARSH AV/ELMWOOD PK DR,SEGUINE AV/JOHANNA LA,SEGUINE AV/DIRENZO CT,BLOOMINGDALE RD/SOUTH SERVICE RD,ANNADALE RD/DRUMGOOLE RD E,ANNADALE RD/RYE AV,MARSH AV/WINDHAM LOOP,HYLAN BL/LUTEN AV,ANNADALE RD/DORVAL PL,BLOOMINGDALE RD/OPP SHIEL AV,AMBOY RD/KINGDOM AV,LUTEN AV/HYLAN BL,ANNADALE RD/DRUMGOOLE RD W,ANNADALE RD/HILLIS ST,ANNADALE RD/CROSSFIELD AV,PLATINUM AV/TOYS R US,ANNADALE RD/GENESEE AV,ANNADALE RD/GRANTWOOD AV,HYLAN BL/CORNELIA AV,BLOOMINGDALE RD/OPP KRAMER AV,HYLAN BL/HUGUENOT AV,BLOOMINGDALE RD/PEMBROOK LOOP,ANNADALE RD/SOUTH RAILROAD ST,ANNADLE RD/TYNAN ST,SEGUINE AV/WATERBURY AV,BLOOMINGDALE RD/AMBOY RD,BLOOMINGDALE RD/CORRELL AV,SEGUINE AV/KNOX ST,PLATINUM AV/SEARS,LUTEN AV/EYLANDT ST,AMBOY RD/BAYVIEW AV,ANNADALE RD/AMBOY RD,ELTINGVILLE/TRANSIT CENTER,BLOOMINGDALE RD/MARVIN RD,AMBOY RD/HUGUENOT AV,ANNADALE RD/ARDEN AV,ANNADALE RD/NOTUS AV,BLOOMINGDALE RD/ALYSIA CT,ARTHUR KILL RD/CROSSFIELD AV,RICHMOND AV/PLATINUM AV,ANNADALE RD/TOKEN ST,HYLAN BL/SEGUINE AV,AMBOY RD/ARBUTUS AV,HYLAN BL/WENDY DR,AMBOY RD/RUGGLES ST,BLOOMINGDALE RD/VETERANS RD E,ANNADALE RD/NORTH PINE TER,BLOOMINGDALE RD/KRAMER AV,LUTEN AV/DEISIUS ST,HYLAN BL/BERTRAM AV,MARSH AV/RING RD,AMBOY RD/ALVINE AV,Charleston Depot (CH)
AMBOY RD/PETERSONS LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/FOREST HILL RD,,,,,,1.238 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.532 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/SHARROTTS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/PERTERSONS LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544 S I MALL,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/ENGLEWOOD AV,,,,,,,,,0.858 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,6.287 to depot of S55
RICHMOND AV/YUKON AV,,0.676 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,1.159 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/CLAY PIT RD,,,0.268 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,
ARTHUR KILL RD/ANNADALE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 S I MALL,,,,,,,,,,,,,,
AMBOY RD/BLOOMINGDALE RD,,,,0.361 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,,,,,,,,,,,,,,,,0.858 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 S I MALL,,
