,ARTHUR KILL RD/CROSSFIELD AV,FOSTER RD/SINCLAIR AV,EYLENDT ST/ LUTEN AV,ARDEN AV/ARTHUR KILL RD,ARTHUR KILL RD/ST JOHN NEWMANN,HYLAN BL/CORNELIA AV,ARDEN AV/HAMPTON GREEN,LUTEN AV/EYLANDT ST,HYLAN BL/WENDY DR,MARSH AV/ELMWOOD PK DR,FOSTER RD/DRUMGOOLE RD E,RICHMOND AV/PLATINUM AV,WOODROW RD/ALMOND ST,WOODROW RD/ELLSWORTH AV,ARDEN AV/FOREST GREEN,ARTHUR KILL RD/ARDEN AV,WOODROW RD/DESEREE AV,WOODROW RD/FOSTER RD,ARTHUR KILL RD/OPP ASPEN KNOLLS,ARDEN AV/ROLLING HILL GREEN,WOODROW RD/VINELAND AV,SEGUINE AV/SINGLETON ST,MARSH AV/WINDHAM LOOP,ARTHUR KILL RD/1297 ARTHUR KILL RD,FOSTER RD/RAMONA AV,ELTINGVILLE/TRANSIT CENTER,FOSTER RD/DARLINGTON AV,MARSH AV/RING RD,WOODROW RD/DELMAR AV,ARTHUR KILL RD/WOODROW RD,SEGUINE AV/DIRENZO CT,HYLAN BL/SEGUINE AV,HYLAN BL/LUTEN AV,WOODROW RD/HOLCOMB AV,WOODROW RD/CANTON AV,ARTHUR KILL RD/1666 ARTHUR KILL RD,ARDEN AV/CORRELL AV,RICHMOND AV/YUKON AV,WOODROW RD/BOULDER ST,FOSTER RD/WHEELING AV,PLATINUM AV/TOYS R US,ARDEN AV/DOVER GREEN,ARTHUR KILL RD/ANNADALE RD,SEGUINE AV/KNOX ST,ARDEN AV/WOODROW RD,FOSTER RD/AMBOY RD,SEGUINE AV/OSWALD PL,FOSTER RD/ALBOURNE AV,SEGUINE AV/WATERBURY AV,PLATINUM AV/SEARS,FOSTER RD/DRUMGOOLE RD W,SEGUINE AV/JOHANNA LA,ARTHUR KILL RD/1547 ARTHUR KILL RD,FOSTER RD/WOODROW RD,RICHMOND AV/FOREST HILL RD,WOODROW RD/ALVERSON AV,FOSTER RD/RATBURN AV,ARTHUR KILL RD/ARDEN HGHTS SHOP,ARTHUR KILL RD/LADD AV,Charleston Depot (CH)
ARTHUR KILL RD/CROSSFIELD AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.964 S56 S I MALL,,,,,,,,,,,,,,,,,0.205 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,
FOSTER RD/SINCLAIR AV,,,,,,,,,,,,,,,,,,0.289 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 S56 HUGUENOT LUTEN AV,,,
EYLENDT ST/ LUTEN AV,,,,,,,,,1.436 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ST JOHN NEWMANN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CORNELIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.117 S56 S I MALL,2.812 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/HAMPTON GREEN,,,,,,,,,,,,,,,0.159 S56 S I MALL,,,,,0.39 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUTEN AV/EYLANDT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/WENDY DR,,,,,,,,2.038 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,,,,,,,,,,,,,,,,,,,,,,,0.858 S56 HUGUENOT LUTEN AV,,,,,0.316 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
