,WATCHOGUE RD/WILLOWBROOK RD,BRADLEY AV/PURDY AV,WILLOWBROOK RD/HOUSTON ST,AMBOY RD/BELFAST AV,ROSE AV/NEW DORP PZ,POST AV/DECKER AV,WILLOWBROOK RD/DEVENS ST,RICHMOND TER/PARK AV #2,MILL RD/EBBITTS ST,RICHMOND TER/PARK AV,WILLOWBROOK RD/VEDDER AV,DECKER AV/HAGAMAN PL,NEW DORP LA/3 ST,GUYON AV/SIR,GUYON AV/CLAWSON ST,RICHMOND RD/ROSE AV,SEAVIEW HOSPITAL/TRAFFIC CIR #2,AMBOY RD/1 ST,PORT RICHMOND AV/ANN ST,BRIELLE AV/ROCKLAND AV,WATCHOGUE RD/SMITH CT,DECKER AV/BEEKMAN ST,HYLAN BL/RENO AV,BRADLEY AV/WILLOWBROOK RD,AMBOY RD/OAKLEY PL,ROCKLAND AV/FLORIDA TER,BRADLEY AV/WESTWOOD AV,AMBOY RD/E BROADWAY,ROCKLAND AV/MANOR RD,HYLAN BLVD / HYLAN BLVD,ROSE AV/NEW DORP PLZ,ROCKLAND AV/MEISNER AV,BRADLEY AV/BRIELLE AV,NEW DORP LA/NEW DORP PZ,GUYON AV/ELMIRA ST,WATCHOGUE RD/LIVERMORE AV,PORT RICHMOND AV/ALBION PL,ROCKLAND AV/BRIELLE AV,DECKER AV/FOREST AV,MILL RD/TYSENS LA,RICHMOND RD/ROCKLAND AV,WATCHOGUE RD/NEAL DOW AV,GUYAN AV/SIR,SEAVIEW HOSPITAL/TRAFFIC CIR #1,PORT RICHMOND AV/CHARLES AV,AMBOY RD/GUYON AV,WATCHOGUE RD/GLASCOE AV,ROCKLAND AV/ST GEORGE RD,WATCHOGUE RD/CRYSTAL AV,DECKER AV/BARRETT AV,PORT RICHMOND AV/HARRISON AV,HYLAN BL/OAK AV,WATCHOGUE RD/FREDERICK ST,PORT RICHMOND AV/BENNETT ST,BRADLEY AV/HAROLD ST,BRIELLE AV/ROANOKE ST,HYLAN BL/TYSENS LA,ROSE AV/3 ST,BRADLEY AV/PORTAGE AV,AMBOY RD/BEACH AV,DECKER AV/CATHERINE ST,WILLOWBROOK RD/COLLEGE AV,AMBOY RD/THOMAS ST,AMBOY RD/TYSENS LA,GUYON AV/TARRING ST,WILLOWBROOK RD/FOREST AV,BRADLEY AV/S GANNON AV,DECKER AV/PALMER AV,BRADLEY AV/N GANNON AV,BRADLEY AV/VICTORY BL,AMBOY RD/BEHAN CT,SEAVIEW HOSP/DR E ROBITZEK BLDG,RICHMOND RD/NEW DORP LA,EBBITTS ST/HYLAN BL,SEAVIEW HOSPITAL/E ROBITZEK  BLDG,POST AV/PORT RICHMOND AV,WILLOWBROOK RD/LEONARD AV,GUYON AV/AMBOY RD,WILLOWBROOK RD/LATHROP AV,MILL RD/ISERNIA AV,PARK LA/SEAVIEW HOSPITAL,RICHMOND RD/SUMMIT AV,RICHMOND RD/ENFIELD PL,TYSENS LA/FALCON AV,ROCKLAND AV/NEVADA AV,SEAVIEW HOSPITAL/PARK LA,BRADLEY AV/HOLDEN BL,WILLOWBROOK RD/WATCHOGUE RD,RICHMOND RD/BEACON AV,GUYON AV/WHITEHALL ST,Yukon Depot (YU)
WATCHOGUE RD/WILLOWBROOK RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 PORT RICHMOND,,,,,,,,,,,,,,
BRADLEY AV/PURDY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 NEW DORP MILL RD,0.214 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,
WILLOWBROOK RD/HOUSTON ST,,,,,,,,,,,0.205 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/BELFAST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE AV/NEW DORP PZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST AV/DECKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 NEW DORP MILL RD,,,,,,,,0.299 PORT RICHMOND,,,,,,,,,,,,,,,
WILLOWBROOK RD/DEVENS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 NEW DORP MILL RD,,,
RICHMOND TER/PARK AV #2,,,,,,,,,,5.67 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/EBBITTS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 PORT RICHMOND,,,,,,,,,,,
RICHMOND TER/PARK AV,,,,,,,,,,,,,,,,,,,0.3 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLOWBROOK RD/VEDDER AV,,,,,,,0.182 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECKER AV/HAGAMAN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 NEW DORP MILL RD,,,,,,,,,,,0.268 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 PORT RICHMOND,,,,,,,,,,,,,,,,,,
GUYON AV/SIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,
GUYON AV/CLAWSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 PORT RICHMOND,,,,,,,,,,,,,,,,,0.418 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ROSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW HOSPITAL/TRAFFIC CIR #2,,,,,,,,,,,,,,,,,,,,0.737 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/1 ST,,,,,,,,,,,,,,,,0.145 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/ANN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIELLE AV/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.082 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.776 to depot of S57
WATCHOGUE RD/SMITH CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECKER AV/BEEKMAN ST,,,,,,,,,,,,0.248 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RENO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 NEW DORP MILL RD,,,,,,,,,,,,,,,,,
BRADLEY AV/WILLOWBROOK RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/OAKLEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKLAND AV/FLORIDA TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/WESTWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,0.204 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/E BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKLAND AV/MANOR RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.027 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BLVD / HYLAN BLVD,,,,,,,,,,,,,,,2.81 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE AV/NEW DORP PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKLAND AV/MEISNER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402 NEW DORP MILL RD,,,,,,
