,RICHMOND AV/ARMAND ST,PORT RICHMOND AV/ORANGE AV,RICHMOND AV/VICTORY BL,ELTINGVILLE/TRANSIT CENTER,RICHMOND AV/SYCAMORE ST,AMBOY RD/FINLEY ST,HYLAN BL/KENNY RD,RICHMOND TER/PARK AV #3,HYLAN BL/YETMAN AV,RICHMOND AV/BARTLETT AV,RICHMOND AV/ETON PL,HYLAN BL/POILLON AV,PORT RICHMOND AV/BENNETT ST,HYLAN BL/DOLE ST,RICHMOND AV/BARON HIRSCH CEM,RICHMOND AV/SIGNS RD,PORT RICHMOND AV/BEEKMAN ST,HYLAN BL/WENDY DR,PORT RICHMOND AV/BLACKFORD AV,HYLAN BL/BAY VIEW AV,HYLAN BL/CRAIG AV,HYLAN BL/RICHMOND AV (LOT),RICHMOND AV/BARLOW AV,HYLAN BL/JOLINE AV,RICHMOND AV/CARNEGIE AV,RING RD/SEARS PLATINUM AV,FOREST AV/WILLOW RD W,HYLAN BL/HUGUENOT AV,RICHMOND AV/TRAVIS AV,HYLAN BL/ARDEN AV,RICHMOND AV/AUGUSTA AV,HYLAN BL/BARCLAY AV,RICHMOND AV/KING ST,PORT RICHMOND AV/SMITH PL,RICHMOND AV/DRUMGOOLE RD E,HYLAN BL/WOODS OF ARDEN RD,HYLAN BL/CORNELIA AV,YUKON AV/KMART DWY,YUKON AV/WATCHMANS OFFICE,HYLAN BL/CARTERET ST,PORT RICHMOND AV/ALBION PL,RICHMOND AV/LEVERETT AV,FOREST AV/WILLOWBROOK RD,HYLAN BL/CONNECTICUT AV,RICHMOND AV/KOCH BL,RICHMOND AV/FOREST HILL RD,PORT RICHMOND AV/CATHERINE ST,HYLAN BL/CHELSEA ST,RICHMOND AV/MEMPHIS AV,RICHMOND AV/GENESEE AV,YUKON AV/RICHMOND AV,RICHMOND AV/MONSEY PL,HYLAN BL/PAGE AV,RICHMOND AV/MORANI ST,RICHMOND AV/ROCKLAND AV,FOREST AV/RICHMOND AV,RICHMOND AV/W CASWELL AV,RICHMOND AV/LAMBERTS LA,PORT RICHMOND AV/DIXON AV,HYLAN BL/BAYVIEW AV,RICHMOND AV/DRAPER PL S,PORT RICHMOND AV/HOMESTEAD AV,PORT RICHMOND AV/HOOKER PL,RICHMOND AV/CHRISTOPHER LA,PORT RICHMOND AV/HATFIELD PL,RICHMOND AV/OAKDALE ST,RICHMOND AV/FOREST ST,RICHMOND AV/MERRILL AV,HYLAN BL/LIPSETT AV,RICHMOND AV/SERRELL AV,HYLAN BL/SPRAGUE AV,RICHMOND AV/AMSTERDAM PL,CRAIG AV/AMBOY RD,RING RD/MACYS PLATINUM AV,HYLAN BL/CUNNINGHAM RD,RICHMOND AV/YONA AV,RICHMOND AV/GURLEY AV,HYLAN BL/SHARROTT AV,FOREST AV/WILLOW RD E,HYLAN BL/SEGUINE AV,RICHMOND AV/MARC ST,RICHMOND AV/LANDER AV,RICHMOND AV/HYLAN BL,RICHMOND AV/JULES DR,HYLAN BL/RICHARD AV,RICHMOND AV/WILSON AV,MAIN ST/AMBOY RD,RICHMOND AV/RIVINGTON AV,HYLAN BL/LUTEN AV,PORT RICHMOND AV/CLINTON PL,HYLAN BL/WOODVALE AV,RICHMOND AV/ELTINGVILLE BL,PORT RICHMOND AV/ANN ST,HYLAN BL/HALES AV,HYLAN BL/BRIGHTON ST,RICHMOND AV/VEDDER AV,PORT RICHMOND AV/CHARLES AV,HYLAN BL/BEDELL AV,HYLAN BL/RICHMOND AV,RICHMOND AV/SHIRLEY AV,PORT RICHMOND AV/HARRISON AV,HYLAN BL/ARBUTUS AV,RICHMOND AV/RICHMOND HILL RD,HYLAN BL/INEZ ST,RICHMOND AV/AMBOY RD,HYLAN BL/HOLDRIDGE AV,RICHMOND AV/KATAN AV,RICHMOND AV/NOME AV,MAIN ST/HYLAN BL,RICHMOND AV/GOETHALS RD N,Yukon Depot (YU)
RICHMOND AV/ARMAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/ORANGE AV,,,,,,,,,,,,,,,,,0.141 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852 PORT RICHMOND,,,,,,,,,,,,,0.251 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.477 HYLAN BL,,,,,,,,,,,2.256 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/SYCAMORE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 HYLAN BL,,,,,,,,,,,,,,,,,,,,,0.227 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/FINLEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/KENNY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.096 HYLAN BL,,,1.739 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/PARK AV #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.528 HYLAN BL,,,,,,,,,,,,,,,,,,
HYLAN BL/YETMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,0.16 HYLAN BL,,,,,,,,,,,,,,,,
RICHMOND AV/BARTLETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ETON PL,,,0.88 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/POILLON AV,,,,,,,,,,,,,,0.2 PORT RICHMOND,,,,1.898 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/BENNETT ST,,,,,,,,5.719 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/DOLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/BARON HIRSCH CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.621 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/SIGNS RD,,,,,,,,,,,0.865 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/BEEKMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/WENDY DR,,,,,,,,,,,,0.29 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.809 HYLAN BL,,,,,,,,,
PORT RICHMOND AV/BLACKFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAY VIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 PORT RICHMOND,,,,,,,
HYLAN BL/CRAIG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RICHMOND AV (LOT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.297 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/BARLOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/JOLINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 PORT RICHMOND,,,,,,,,,,,,,
RICHMOND AV/CARNEGIE AV,,,,,,,,,,,,,,,,0.739 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RING RD/SEARS PLATINUM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,0.567 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/WILLOW RD W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/HUGUENOT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652 HYLAN BL,,,,,,,,,,,,,0.572 PORT RICHMOND,,,,,,,,,
RICHMOND AV/TRAVIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 HYLAN BL,,,
HYLAN BL/ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 HYLAN BL,,,,,
RICHMOND AV/AUGUSTA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 HYLAN BL,,,,
HYLAN BL/BARCLAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.435 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 PORT RICHMOND,,,,,
RICHMOND AV/KING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 HYLAN BL,0.313 PORT RICHMOND,,,,,,,,,,,
PORT RICHMOND AV/SMITH PL,,0.268 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/DRUMGOOLE RD E,,,,,,,,,,,,,,,,,,,,,,,2.547 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/WOODS OF ARDEN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283 PORT RICHMOND,,,,,,,,,,,,,,,,,
HYLAN BL/CORNELIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.715 HYLAN BL,,,,,,,,,3.385 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/KMART DWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 HYLAN BL,,,,,,,,,,,,0.307 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/WATCHMANS OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 PORT RICHMOND,,,,,,,,0.748 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.418 to depot of S59
HYLAN BL/CARTERET ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/ALBION PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 PORT RICHMOND,,,,,,,,,,
RICHMOND AV/LEVERETT AV,,,,,,,,,,,,,,,,,,,,,,,0.245 PORT RICHMOND,,,,,,,,0.332 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/WILLOWBROOK RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CONNECTICUT AV,,,,,,,,,,,,,,,,,,,,,0.11 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/KOCH BL,,,,,0.225 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346 HYLAN BL,,,,,,,,,,,
RICHMOND AV/FOREST HILL RD,,,,1.532 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.785 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/CATHERINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHELSEA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MEMPHIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 PORT RICHMOND,,,,
RICHMOND AV/GENESEE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,1.198 PORT RICHMOND,,,,,,,,,,,,0.307 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MONSEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 HYLAN BL,,,,,,,,,,,,,,,
HYLAN BL/PAGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.774 PORT RICHMOND,,,,,,,,,,,,,0.292 HYLAN BL,,,,,,,,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
