,BRADLEY AV/N GANNON AV,FOREST HILL RD/STEERS ST,HAROLD ST/JOSEPH AV,BRADLEY AV/HOLDEN BL,BRADLEY AV/PURDY AV,VICTORY BL/VAN DUZER ST,MARSH AV/RICHMOND HILL RD,BRADLEY AV/WILLOWBROOK RD,MARSH AV/WINDHAM LOOP,VICTORY BL/ONTARIO AV,BAY ST/BOROUGH PL,VICTORY BL/MELROSE AV,RICHMOND HILL RD/VASSAR ST,BRADLEY AV/HAROLD ST,VICTORY BL/FOREST AV,VICTORY BL/CLOVE RD,ST GEORGE FERRY/S61 & S91,VICTORY BL/JERSEY ST,YUKON AV/KMART DRWY,TRAVIS AV/DENKER PL,VICTORY BL/CEBRA AV,BRADLEY AV/S GANNON AV,TRAVIS AV/LEWISTON ST,VICTORY BL/CHESHIRE PL,MERRYMOUNT ST/SHILOH ST,HAROLD ST/SUNSET AV,PLATINUM AV/TOYS R US,VICTORY BL/GOLF COURSE ENT,VICTORY BL/WOODSTOCK AV,PLATINUM AV/SEARS,VICTORY BL/WESTCOTT BL,MARSH AV/RING RD,VICTORY BL/LABAU AV,VICTORY BL/GRAND AV,VICTORY BL/THERESA PL,FOREST HILL RD/ROCKLAND AV,VICTORY BL/PERRY AV,VICTORY BL/S GREENLEAF AV,TRAVIS AV/BOGOTA ST,BAY ST/CENTRAL AV,VICTORY BL/MONTGOMERY AV,RICHMOND AV/YUKON AV,MARSH AV/ELMWOOD PK DR,YUKON AV/WATCHMANS OFFICE,HAROLD ST/ROOSEVELT AV,VICTORY BL/ BROOK ST,ST GEORGE FERRY/ST GEORGE FERRY,VICTORY BL/BROOK ST,VICTORY BL/MANOR RD,BRADLEY AV/VICTORY BL,TRAVIS AV/NEHRING AV,MARSH AV/WESTPORT ST,VICTORY BL / BAY ST,FOREST HILL RD/STEERS  ST,VICTORY BL/HIGHLAND AV,VICTORY BL/MOUNTAINVIEW AV,VICTORY BL/HODGES PL,TRAVIS AV/EVANS ST,HAROLD ST/BRADLEY AV,VICTORY BL/SILVER MT CEM,VICTORY BL/SILVER LAKE APTS,YUKON AV/RICHMOND AV,VICTORY BL/ALBERT ST,VICTORY BL/EDDY ST,VICTORY BL/CYPRESS AV,VICTORY BL/RENWICK AV,VICTORY BL/LESTER ST,FOREST HILL RD/DOROTHY ST,BRADLEY AV/WESTWOOD AV,MERRYMOUNT ST/TRAVIS AV,INDEPENDENCE AV/PATHMARK,BAY ST/NICK LAPORTE PL,VICTORY BL/JEWETT AV,BAY ST/SLOSSON TE,YUKON AV/KMART DWY,VICTORY BL/AUSTIN PL,FOREST HILL RD/1150 FOREST HILL RD,HAROLD ST/FOREST HILL RD,HAROLD ST/WASHINGTON AV,VICTORY BL/SLOSSON AV,VICTORY BL/TODT HILL RD,VICTORY BL/LITTLE CLOVE RD,FOREST HILL RD/FIELD ST,Yukon Depot (YU)
BRADLEY AV/N GANNON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 S I MALL YUKON AV,,,,,,,,,,,,,,,
FOREST HILL RD/STEERS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 ST GEORGE FERRY,,,,,,,,,,,,,,,,
HAROLD ST/JOSEPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 S I MALL YUKON AV,,,,,,
BRADLEY AV/HOLDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 ST GEORGE FERRY,,,,,,,,,,,,,,,
BRADLEY AV/PURDY AV,0.189 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/VAN DUZER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/RICHMOND HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/WILLOWBROOK RD,,,,,,,,,,,,,,0.262 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836 S I MALL YUKON AV,,,,,,,,,,,,,0.372 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/ONTARIO AV,,,,,,,,,,,,,,,,0.152 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MELROSE AV,,,,,,,,,,,,,,,,0.19 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
