,VICTORY BL/3485 VICTORY BL,VICTORY BL/SILVER MT CEM,VICTORY BL/PERRY AV,VICTORY BL/ALBERT ST,VICTORY BL/CRYSTAL AV,VICTORY BL/MANOR RD,VICTORY BL/FELDMEYERS LA,VICTORY BL/VAN DUZER ST,BAY ST/CENTRAL AV,VICTORY BL/AUSTIN PL,VICTORY BL/LITTLE CLOVE RD,VICTORY BL/SHENANDOAH AV,VICTORY BL/GLEN ST,COLLEGE OF SI/ROADWAY ENT,VICTORY BL/JEWETT AV,VICTORY BL/WILLOWBROOK RD,VICTORY BL/WILD AV,BAY ST/BOROUGH PL,VICTORY BL/CHESHIRE PL,VICTORY BL/DINSMORE ST,VICTORY BL/BRYSON AV,VICTORY BL/THERESA PL,VICTORY BL/BROOK ST,VICTORY BL/RENWICK AV,VICTORY BL / BAY ST,VICTORY BL/MELROSE AV,VICTORY BL/INGRAM AV,BAY ST/NICK LAPORTE PL,VICTORY BL/HIGHLAND AV,VICTORY BL/WILLOW RD,VICTORY BL/MONTGOMERY AV,VICTORY BL/RICHMOND AV,VICTORY BL/CLOVE RD,VICTORY BL/LABAU AV,VICTORY BL/WESTCOTT BL,VICTORY BL/BURKE AV,VICTORY BL/MOUNTAINVIEW AV,VICTORY BL/MARTIN AV,VICTORY BL/CEBRA AV,VICTORY BL/CANNON AV,VICTORY BL/TODT HILL RD,VICTORY BL/WILLOWBROOK PK,VICTORY BL/OCONNOR AV,VICTORY BL/SHERADEN AV,VICTORY BL/SIGNS RD,VICTORY BL/SIMMONS LA,VICTORY BL/SILVER LAKE APTS,BAY ST/SLOSSON TE,VICTORY BL/LESTER ST,VICTORY BL/LEROY ST,VICTORY BL/HODGES PL,VICTORY BL/3599 VICTORY BL,VICTORY BL/DECATUR AV,VICTORY BL/JERSEY ST,VICTORY BL/GOLLER PL,VICTORY BL/FOREST AV,VICTORY BL/ BROOK ST,VICTORY BL/BARON BL,VICTORY BL/ARLENE ST,VICTORY BL/CYPRESS AV,VICTORY BL/WOODSTOCK AV,VICTORY BL/MANN AV,VICTORY BL/CON EDISON,VICTORY BL/OPP CON EDISON,ST GEORGE FERRY/ST GEORGE FERRY,VICTORY BL/S GREENLEAF AV,VICTORY BL/ALBERTA AV,VICTORY BL/SLOSSON AV,VICTORY BL/ONTARIO AV,VICTORY BL/FIELDMEYERS LA,VICTORY BL/GRAND AV,VICTORY BL/TRAVIS AV,VICTORY BL/NEPTUNE PL,VICTORY BL/LIVERMORE AV,VICTORY BL/SPARKS LA,VICTORY BL/EDDY ST,VICTORY BL/RIDGEWAY AV,VICTORY BL/MORANI ST,VICTORY BL/N GANNON AV,VICTORY BL/LISA PL,VICTORY BL/TRAVIS AV 2,VICTORY BL/GOLF COURSE ENT,VICTORY BL/GRAHAM AV,ST GEORGE FERRY/S62 & S92,Yukon Depot (YU)
VICTORY BL/3485 VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/SILVER MT CEM,,,,,,,,,,,,,,,,,,,,,,0.476 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/PERRY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/ALBERT ST,,,,,,,,,,,0.196 TRAVIS via VICTORY,,,,,,,,,,,,,0.33 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/CRYSTAL AV,,,,,,,,,,,,,,,,,,,,,0.206 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,0.281 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MANOR RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,0.202 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,
VICTORY BL/FELDMEYERS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,
VICTORY BL/VAN DUZER ST,,,,,,,,,,,,,,,,,,,,,,,,,0.099 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/CENTRAL AV,,,,,,,,,,,,,,,,,,,,,,,,,0.153 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/AUSTIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LITTLE CLOVE RD,,,,0.196 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,
