,JEWETT AV/HOLBERNT CT,JEWETT AV/KEIBER CT,VICTORY BL/EDDY ST,CLOVE RD/NIAGARA ST,ST GEORGE FERRY/S66,VICTORY BL/SILVER MT CEM,PORT RICHMOND AV/HARRISON AV,PARK AV/RICHMOND TER #2,PARK AV/RICHMOND TE,JEWETT AV/GOODWIN AV,BAY ST/SLOSSON TE,JEWETT AV/THE BLVD,JEWETT AV/KIMBALL AV,VICTORY BL/ALBERT ST,JEWETT AV/KRAMER PL,CLOVE RD/HOWARD AV,VICTORY BL/JERSEY ST,VICTORY BL/ BROOK ST,VICTORY BL / BAY ST,HOWARD AV/SIGNAL HILL RD,VICTORY BL/LITTLE CLOVE RD,CLOVE RD/SCHOHARIE ST,JEWETT AV/EGBERT AV,VICTORY BL/BROOK ST,CLOVE RD/VAN CORTLANDT AV,JEWETT AV/WATERS AV,ARLO RD / STRATFORD AV,JEWETT AV/WATCHOGUE RD,VICTORY BL/GOLF COURSE ENT,JEWETT AV/COLLEGE AV,BAY ST/BOROUGH PL,VICTORY BL/FREMONT ST,BAY ST/NICK LAPORTE PL,VICTORY BL/MONTGOMERY AV,ARLO RD / 73 ARLO RD,VICTORY BL/LABAU AV,VICTORY BL/CEBRA AV,ST GEORGE FERRY/RAMP A BAY 2,HOWARD AV/CAMPUS RD,HOWARD AV/CLOVE RD,CASTLETON AV/JEWETT AV,VICTORY BL/MOUNTAINVIEW AV,BAY ST/CENTRAL AV,VICTORY BL/VAN DUZER ST,HOWARD AV/SETH CT,ARLO RD/STRATFORD RD,VICTORY BL/SLOSSON AV,VICTORY BL/S GREENLEAF AV,VICTORY BL/WOODSTOCK AV,VICTORY BL/CLOVE RD,CLOVE RD/FOOTE AV,VICTORY BL/FOREST AV,VICTORY BL/MANOR RD,JEWETT AV/BURNSIDE AV,VICTORY BL/RENWICK AV,VICTORY BL/WESTCOTT BL,VICTORY BL/HIGHLAND AV,VICTORY BL/THERESA PL,VICTORY BL/TODT HILL RD,VICTORY BL/CYPRESS AV,JEWETT AV/MARKHAM PL,JEWETT AV/FOREST AV,VICTORY BL/AUSTIN PL,CLOVE RD/TIOGA ST,VICTORY BL/SILVER LAKE APTS,VICTORY BL/ONTARIO AV,PORT RICHMOND AV/BENNETT ST,VICTORY BL/LESTER ST,JEWETT AV/POST AV,VICTORY BL/HODGES PL,HOWARD AV / WAGNER COLLEGE,HOWARD AV/HILLSIDE AV,CASTLETON AV/HEBERTON AV,VICTORY BL/PERRY AV,PORT RICHMOND AV/ANN ST,ARLO RD/HOWARD AV,VICTORY BL/JEWETT AV,Yukon Depot (YU)
JEWETT AV/HOLBERNT CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 PORT RICHMOND via GRYMES HILL,,,,,,,,,
JEWETT AV/KEIBER CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/EDDY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446 ST GEORGE FERRY via GRYMES HILL,,,,,,0.315 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,
CLOVE RD/NIAGARA ST,,,,,,,,,,,,,,,,,,,,,,0.151 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/S66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/SILVER MT CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HARRISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 PORT RICHMOND via GRYMES HILL,,,,,,0.301 ST GEORGE FERRY via GRYMES HILL,,,,,
PARK AV/RICHMOND TER #2,,,,,,,,,39.902 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK AV/RICHMOND TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.644 ST GEORGE FERRY via GRYMES HILL,,,
JEWETT AV/GOODWIN AV,,0.247 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
