,BAY ST/CLINTON ST,VANDERBILT AV/PARK HILL LA,RICHMOND RD/BANCROFT AV,RICHMOND RD/SEAVER AV,NEW DORP LA/2 ST,NEW DORP LA/CEDAR GROVE AV,RICHMOND RD/DELLWOOD RD,NEW DORP LA/FINLEY AV,NEW DORP LA/ROMA AV,NEW DORP LA/NEW DORP PZ,RICHMOND RD/GREELEY AV,EBBITTS ST/CUBA AV,MILL RD/PROMENADE AV,NEW DORP LA/EDISON ST,NEW DORP LA/HYLAN BL,EBBITTS ST/FINLEY AV,TARGEE ST/SOBEL CT,CEDAR GROVE AV/CEDAR GROVE CT,VANDERBILT AV/VAN DUZER ST,MILL RD/TYSENS LA,VANDERBILT AV/OSGOOD AV,RICHMOND RD/SPRING ST,MILL RD/ISERNIA AV,NEW DORP LA/MILL RD,NEW DORP LA/10 ST,MILL RD/ISABELLA AV,BAY ST/WAVE ST,CEDAR GROVE AV/GARIBALDI AV,BAY ST/SANDS ST,BAY ST/BAYLEY SETON HOSPITAL,NEW DORP LA/CUBA AV,VANDERBILT AV/PLEASANT PL,TARGEE ST/ROME AV,RICHMOND RD/STEELE AV,RICHMOND RD/BURGHER AV,ST GEORGE FERRY/S 76 & S86,RICHMOND RD/ROME AV,VANDERBILT AV/ROFF ST,EBBITTS ST/MANILA PL,MILL RD/PETER AV,RICHMOND RD/DOUGLAS RD,RICHMOND RD/NORDEN ST,BAY ST/VAN DUZER EXT,RICHMOND RD/SEAVIEW AV,RICHMOND RD/HUNTON ST,CEDAR GROVE AV/NEW DORP LA,TARGEE ST/CLOVE RD,MILL RD/AVISTON ST,VANDERBILT AV/ERRINGTON PL,BAY ST/VICTORY BL,RICHMOND RD/DONGAN HILLS AV,VANDERBILT AV/IRVING PL,ST GEORGE FERRY/ST GEORGE FERRY,EBBITTS ST/CEDAR GROVE AV,RICHMOND RD/OLD TOWN RD,TARGEE ST/PALMA DR,VANDERBILT AV/HILLSIDE AV,BAY ST/THOMPSON ST,MILL RD/GUYON AV,CEDAR GROVE AV/MAPLE TER,RICHMOND RD/ALTAMONT ST,RICHMOND RD/FOUR CORNERS RD,TARGEE ST/VANDERBILT AV,VANDERBILT AV/TOMPKINS AV,BAY ST/VANDERBILT AV,BAY ST/HANNAH ST,TARGEE ST/DE KALB ST,RICHMOND RD/DE KALB ST,RICHMOND RD/RARITAN AV,CEDAR GROVE AV/TOPPING ST,MILL RD/DEWITT AV,EBBITTS ST/WINHAM AV,BAY ST/WATER ST,MILL RD/STONEHAM ST,MILL RD/ROBERTS DR,NEW DORP LA/WINHAM AV,TARGEE ST/DOCTORS HOSPITAL,BAY ST/CENTRAL AV,MILL RD/FOX LA,RICHMOND RD/NEW DORP LA,EBBITTS ST/ROMA AV,RICHMOND RD/MARK ST,RICHMOND RD/LINCOLN AV,RICHMOND RD/LONGVIEW RD,BAY ST/BROAD ST,BAY ST/NICK LAPORTE PL,TARGEE ST/W FINGERBOARD RD,TARGEE ST/STEUBEN ST,BAY ST/BOROUGH PL,MILL RD/TARLTON ST,RICHMOND RD/HUNTER AV,BAY ST/GRANT ST,CEDAR GROVE AV/EBBITTS ST,RICHMOND RD/BARTON AV,BAY ST/PROSPECT ST,RICHMOND RD/LOCUST AV,CEDER GROVE AV/WAVE CREST AV,RICHMOND RD/HULL AV,RICHMOND RD/NARROWS RD S,TARGEE ST/BALTIC AV,NEW DORP LA/CLAWSON ST,RICHMOND RD/EDGAR PL,RICHMOND RD/MIDLAND AV,RICHMOND RD/TODT HILL RD,NEW DORP LA/3 ST,VANDERBILT AV/BAYLEY SETON HOSPITAL,RICHMOND RD/TARGEE ST,NEW DORP LA/WINHAM ST,MILL RD/EBBITTS ST,BAY ST/SLOSSON TE,RICHMOND RD/BUEL AV,BAY ST/WILLIAM ST,Yukon Depot (YU)
BAY ST/CLINTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/PARK HILL LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/BANCROFT AV,,,,,,,,,,,0.16 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/SEAVER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 OAKWOOD MILL RD,,,,,,,,,,,,,,,
NEW DORP LA/2 ST,,,,,,,,,,0.28 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.555 to depot of S76
NEW DORP LA/CEDAR GROVE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 OAKWOOD MILL RD,,,,,,,,,,,,,,,,
RICHMOND RD/DELLWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/FINLEY AV,,,,,,,,,0.153 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 ST GEORGE FERRY,,,,,
NEW DORP LA/ROMA AV,,,,,,0.269 OAKWOOD MILL RD,,0.153 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/NEW DORP PZ,,,,,,,,,,,,,,,,,,,,,,,,,0.283 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 ST GEORGE FERRY,,,,,,,,
RICHMOND RD/GREELEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBBITTS ST/CUBA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 OAKWOOD MILL RD,,,,
