,RICHMOND TER/JERSEY ST,FRANK W. GAY BL/CHELSEA RD,RICHMOND TER/GRANDVIEW AV,RICHMOND TER/LAFAYETTE AV,GOETHALS RD N/MOBILE HOME PARK ROW A,RICHMOND TER/HOUSEMAN AV,GOETHALS RD N/ADMIN PARKING LOT,SOUTH AV/NETHERLAND AV,ST GEORGE FERRY /ST GEORGE FERRY,RICHMOND TER/PARK AV,RICHMOND TER/JOHN ST,FOREST AV/GOETHALS RD N,FOREST AV/LILAC CT,RICHMOND TER/NICHOLAS AV,RICHMOND TER/SIMONSON AV,RICHMOND TER/N BURGHER AV,RICHMOND TER/NORTH ST,SOUTH AV/CABLE WAY,RICHMOND TER/MORNINGSTAR RD,RICHMOND TER/SOUTH AV,SOUTH AV/ARLINGTON PL,SOUTH AV/RICHMOND TER,FOREST AV/ELIZABETH GROVE RD,RICHMOND TER/POST LA,SOUTH AV/BRABANT ST,FOREST AV/UA THEATERS,RICHMOND TER/UNION AV,RICHMOND TER/VAN NAME AV,CHELSEA RD/BLOOMFIELD AV,RICHMOND TER/ANDROS AV,RICHMOND TER/MAPLE AV,RICHMOND TER/LAKE AV,RICHMOND TER/HARBOR RD,FOREST AV / HOME DEPOT,RICHMOND TER/GRANITE AV,RICHMOND TER/FABER ST,FRANK W. GAY BL/10 AV,FOREST AV/SOUTH AV,RICHMOND TER/SHARPE AV,ST GEORGE FERRY/S40 & S90,Yukon Depot (YU)
RICHMOND TER/JERSEY ST,,,,1.307 LTD MATRIX PK via RICH TERR via GULF AV,,,,,1.824 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANK W. GAY BL/CHELSEA RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,
RICHMOND TER/GRANDVIEW AV,,,,,,,,,,,,,,,,,,,,,,0.12 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,
RICHMOND TER/LAFAYETTE AV,1.307 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,1.815 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,,
GOETHALS RD N/MOBILE HOME PARK ROW A,,,,,,,0.362 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/HOUSEMAN AV,,,,,,,,,,,,,,,0.253 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,0.138 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,
GOETHALS RD N/ADMIN PARKING LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.452 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,
SOUTH AV/NETHERLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,0.342 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,
ST GEORGE FERRY /ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 LIMITED ST GEORGE FERRY via RCHMOND TERR,
RICHMOND TER/PARK AV,,,,,,,,,,,,,,,,1.64 LIMITED ST GEORGE FERRY via RCHMOND TERR,0.402 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/JOHN ST,,,,,,,,,,,,,,0.27 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,0.272 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/GOETHALS RD N,,,,,,,,,,,,,,,,,,,,,,,,,,0.467 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,
FOREST AV/LILAC CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,
RICHMOND TER/NICHOLAS AV,,,,,,,,,,,0.27 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 LIMITED ST GEORGE FERRY via RCHMOND TERR,,
RICHMOND TER/SIMONSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,
RICHMOND TER/N BURGHER AV,,,,1.815 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,1.64 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/NORTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 LTD MATRIX PK via RICH TERR via GULF AV,,
SOUTH AV/CABLE WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 LTD MATRIX PK via RICH TERR via GULF AV,,,
RICHMOND TER/MORNINGSTAR RD,,,,,,,,,,,0.272 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,0.135 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,
RICHMOND TER/SOUTH AV,,,,,,,,,,,,,,,,,,,,,,,,0.16 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,
SOUTH AV/ARLINGTON PL,,,,,,,,,,,,,,,,,,,,0.491 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,0.41 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,
SOUTH AV/RICHMOND TER,,,,,,,,,,,,,,,,,,,,,0.491 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,
FOREST AV/ELIZABETH GROVE RD,,,,,0.399 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/POST LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,
SOUTH AV/BRABANT ST,,,,,,,,,,,,,,,,,,0.232 LTD MATRIX PK via RICH TERR via GULF AV,,,0.421 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,
FOREST AV/UA THEATERS,,,,,,,,,,,,,0.312 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/UNION AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,0.213 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,
RICHMOND TER/VAN NAME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402 LTD MATRIX PK via RICH TERR via GULF AV,,,,,0.225 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,
CHELSEA RD/BLOOMFIELD AV,,,,,,,,,,,,2.26 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,1.018 LTD MATRIX PK via RICH TERR via GULF AV,,,,10.137 to depot of S90
RICHMOND TER/ANDROS AV,,,0.281 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,
RICHMOND TER/MAPLE AV,,,,,,,,,,0.258 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/LAKE AV,,,,,,0.151 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/HARBOR RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,0.217 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,
FOREST AV / HOME DEPOT,,,,,,,,,,,,,,,,,,,,,,,0.342 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,
RICHMOND TER/GRANITE AV,,,,,,0.138 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,0.135 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/FABER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,
FRANK W. GAY BL/10 AV,,0.004 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/SOUTH AV,,,,,,,,0.187 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,0.673 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,
RICHMOND TER/SHARPE AV,,,,,,,,,,,,,,0.254 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,0.132 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,
ST GEORGE FERRY/S40 & S90,1.59 LTD MATRIX PK via RICH TERR via GULF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.734 LIMITED ST GEORGE FERRY via RCHMOND TERR,,,,,,,,,,,,
