,HAROLD ST/JOSEPH AV,FOREST HILL RD/ROCKLAND AV,FOREST HILL RD/1150 FOREST HILL RD,MARSH AV/WESTPORT ST,ST GEORGE FERRY/ST GEORGE FERRY,FOREST HILL RD/STEERS  ST,VICTORY BL/SILVER LAKE APTS,TRAVIS AV/DENKER PL,MERRYMOUNT ST/TRAVIS AV,VICTORY BL/MANOR RD,VICTORY BL/JEWETT AV,BRADLEY AV/HAROLD ST,PLATINUM AV/TOYS R US,FOREST HILL RD/DOROTHY ST,YUKON AV/KMART DRWY,HAROLD ST/BRADLEY AV,RICHMOND AV/YUKON AV,FOREST HILL RD/STEERS ST,TRAVIS AV/BOGOTA ST,BRADLEY AV/PURDY AV,BAY ST/BOROUGH PL,MARSH AV/ELMWOOD PK DR,MARSH AV/RICHMOND HILL RD,MERRYMOUNT ST/SHILOH ST,BRADLEY AV/N GANNON AV,TRAVIS AV/EVANS ST,PLATINUM AV/SEARS,RICHMOND HILL RD/VASSAR ST,VICTORY BL/CLOVE RD,MARSH AV/WINDHAM LOOP,YUKON AV/RICHMOND AV,VICTORY BL/EDDY ST,BRADLEY AV/HOLDEN BL,TRAVIS AV/LEWISTON ST,YUKON AV/KMART DWY,HAROLD ST/SUNSET AV,BRADLEY AV/WILLOWBROOK RD,YUKON AV/WATCHMANS OFFICE,BAY ST/NICK LAPORTE PL,VICTORY BL/PERRY AV,BRADLEY AV/VICTORY BL,VICTORY BL / BAY ST,ST GEORGE FERRY/S61 & S91,MARSH AV/RING RD,BRADLEY AV/S GANNON AV,HAROLD ST/ROOSEVELT AV,INDEPENDENCE AV/PATHMARK,FOREST HILL RD/FIELD ST,HAROLD ST/FOREST HILL RD,VICTORY BL/FOREST AV,HAROLD ST/WASHINGTON AV,TRAVIS AV/NEHRING AV,VICTORY BL/VAN DUZER ST,BRADLEY AV/WESTWOOD AV,Yukon Depot (YU)
HAROLD ST/JOSEPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 LIMITED S I MALL,,,,,,
FOREST HILL RD/ROCKLAND AV,,,,,,,,,,,,,,,,,,,0.552 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 LIMITED ST GEORGE,,,,,,,
FOREST HILL RD/1150 FOREST HILL RD,,0.317 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/WESTPORT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.831 LIMITED S I MALL,,,,,,,,,,,,
FOREST HILL RD/STEERS  ST,,,0.687 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/SILVER LAKE APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646 LIMITED S I MALL,,,0.866 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,
TRAVIS AV/DENKER PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.384 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,0.488 LIMITED S I MALL,,,
MERRYMOUNT ST/TRAVIS AV,,,,,,,,,,,,,,,,,,,,,,,,0.254 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 LIMITED ST GEORGE,,,
VICTORY BL/MANOR RD,,,,,,,,,,,0.693 LIMITED S I MALL,,,,,,,,,,,,,,,,,,1.678 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/JEWETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 LIMITED S I MALL,,,,,,,,,,,,,,
BRADLEY AV/HAROLD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081 LIMITED S I MALL,,,,,,,,,
PLATINUM AV/TOYS R US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST HILL RD/DOROTHY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 LIMITED ST GEORGE,,,,,,
YUKON AV/KMART DRWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 LIMITED S I MALL,,,,,,,,,,,,,,,,,5.131 to depot of S91
HAROLD ST/BRADLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,,,,,1.159 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST HILL RD/STEERS ST,,,,,,,,,,,,,,0.238 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAVIS AV/BOGOTA ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/PURDY AV,,,,,,,,,,,,,,,,,,,,,,,,,0.189 LIMITED S I MALL,,,,,,,,,,,,,,,,0.214 LIMITED ST GEORGE,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,0.392 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/ELMWOOD PK DR,,,,0.349 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,0.883 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/RICHMOND HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673 LIMITED S I MALL,,,,,,,,,,,
MERRYMOUNT ST/SHILOH ST,,,,,,,,,0.254 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,0.453 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/N GANNON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 LIMITED S I MALL,
TRAVIS AV/EVANS ST,,,,,,,,1.1 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND HILL RD/VASSAR ST,,,,,,,,,,,,,,,,,,,,,,,0.199 LIMITED S I MALL,0.453 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/CLOVE RD,,,,,,,0.646 LIMITED ST GEORGE,,,1.678 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,,,,,,,,,,,,,,,,,0.372 LIMITED ST GEORGE,,,,,0.836 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/RICHMOND AV,,,,,,,,,,,,,,,0.308 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/EDDY ST,,,,,,,0.866 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446 LIMITED ST GEORGE,,,,,
BRADLEY AV/HOLDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 LIMITED ST GEORGE,
TRAVIS AV/LEWISTON ST,,0.572 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/KMART DWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.788 LIMITED ST GEORGE,,,,,,,,
HAROLD ST/SUNSET AV,0.197 LIMITED S I MALL,,,,,,,,,,,,,,,0.273 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/WILLOWBROOK RD,,,,,,,,,,,,0.262 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/WATCHMANS OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539 LIMITED S I MALL,,,,,,,,,,,,,
VICTORY BL/PERRY AV,,,,,,,,,,0.646 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/VICTORY BL,,,,,,,,,,,,,,,,,,,,0.214 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,0.251 LIMITED ST GEORGE,,,,,,,,,,,,,,,
VICTORY BL / BAY ST,,,,,,,,,,,,,,,,,,,,,0.556 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.433 LIMITED S I MALL,,,,,
ST GEORGE FERRY/S61 & S91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 LIMITED S I MALL,,,,,,,,,,,,,,,,
MARSH AV/RING RD,,,,,,,,,,,,,,,,,,,,,,0.981 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/S GANNON AV,,,,,,,,,,,,,,,,,,,,0.28 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAROLD ST/ROOSEVELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,
INDEPENDENCE AV/PATHMARK,,,,,,,,,,,,,,,,,1.132 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST HILL RD/FIELD ST,,,,,,,,,,,,,,,,,,0.304 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAROLD ST/FOREST HILL RD,,,,,,0.478 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366 LIMITED ST GEORGE,,,,
VICTORY BL/FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,1.334 LIMITED ST GEORGE,,
HAROLD ST/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122 LIMITED ST GEORGE,,,,,,,,,,,,,,,,,,,
TRAVIS AV/NEHRING AV,,,,,,,,0.255 LIMITED ST GEORGE,0.183 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/VAN DUZER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 LIMITED ST GEORGE,,,,,,,,,,,,,
BRADLEY AV/WESTWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 LIMITED S I MALL,,,,,,,,0.244 LIMITED ST GEORGE,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,0.489 LIMITED S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
