,VICTORY BL/SIGNS RD,VICTORY BL/MANOR RD,VICTORY BL/JEWETT AV,VICTORY BL/SIMMONS LA,VICTORY BL/FOREST AV,VICTORY BL/BRYSON AV,VICTORY BL/GOLLER PL,VICTORY BL/ARLENE ST,VICTORY BL/SILVER LAKE APTS,VICTORY BL/WILD AV,VICTORY BL/CLOVE RD,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/NICK LAPORTE PL,VICTORY BL/FIELDMEYERS LA,VICTORY BL/TRAVIS AV 2,VICTORY BL/ALBERTA AV,VICTORY BL/OPP CON EDISON,VICTORY BL/RICHMOND AV,VICTORY BL/MORANI ST,VICTORY BL/GLEN ST,VICTORY BL/OCONNOR AV,VICTORY BL/BARON BL,VICTORY BL/NEPTUNE PL,VICTORY BL/WILLOWBROOK RD,VICTORY BL/SHENANDOAH AV,VICTORY BL/CANNON AV,VICTORY BL/BURKE AV,VICTORY BL/CRYSTAL AV,VICTORY BL/INGRAM AV,VICTORY BL / BAY ST,BAY ST/BOROUGH PL,VICTORY BL/TRAVIS AV,VICTORY BL/LIVERMORE AV,VICTORY BL/RIDGEWAY AV,VICTORY BL/SPARKS LA,VICTORY BL/SHERADEN AV,ST GEORGE FERRY/S62 & S92,VICTORY BL/3485 VICTORY BL,VICTORY BL/DINSMORE ST,VICTORY BL/CON EDISON,COLLEGE OF SI/ROADWAY ENT,VICTORY BL/FELDMEYERS LA,VICTORY BL/EDDY ST,VICTORY BL/MANN AV,VICTORY BL/WILLOWBROOK PK,VICTORY BL/GRAHAM AV,VICTORY BL/VAN DUZER ST,VICTORY BL/LEROY ST,VICTORY BL/PERRY AV,VICTORY BL/MARTIN AV,VICTORY BL/DECATUR AV,VICTORY BL/LISA PL,VICTORY BL/N GANNON AV,VICTORY BL/3599 VICTORY BL,VICTORY BL/WILLOW RD,Yukon Depot (YU)
VICTORY BL/SIGNS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 LIMITED TRAVIS via VICTORY,0.283 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,
VICTORY BL/MANOR RD,,,0.693 LIMITED TRAVIS via VICTORY,,,,,,,,1.678 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/JEWETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,
VICTORY BL/SIMMONS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446 LIMITED TRAVIS via VICTORY,,,,1.334 LIMITED ST GEORGE FERRY,,,,,,,,,
VICTORY BL/BRYSON AV,,,,,,,,,,,,,,,,,,,,,,,,0.1 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/GOLLER PL,,,,,,,,,,,,,,,,,,2.411 LIMITED TRAVIS via VICTORY,2.036 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/ARLENE ST,,,,,,,,,,,,,,,,,,0.626 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 LIMITED TRAVIS via VICTORY,,,,,,,,,,
VICTORY BL/SILVER LAKE APTS,,,,,,,,,,,0.646 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,
VICTORY BL/WILD AV,,,,,,,,,,,,,,,,,,,,5.047 LIMITED TRAVIS via VICTORY,,,,,,,0.218 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,0.4 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,
VICTORY BL/CLOVE RD,,1.678 LIMITED TRAVIS via VICTORY,,,,,,,0.646 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/FIELDMEYERS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 LIMITED TRAVIS via VICTORY,,,,,,,,,,,,,,,,
VICTORY BL/TRAVIS AV 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,5.649 to depot of S92
VICTORY BL/ALBERTA AV,,,,,,,,,,0.191 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/OPP CON EDISON,,,,,,,,,,1.102 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/RICHMOND AV,,,,,,,0.955 LIMITED ST GEORGE FERRY,0.395 LIMITED TRAVIS via VICTORY,,,,,,,,,,0.0 LIMITED ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
