,VICTORY BL/LIVERMORE AV,CLOVE RD/NIAGARA ST,NARROWS RD SO/TARGEE ST,VICTORY BL/BRYSON AV,86 ST/FT HAMILTON PY,COLLEGE OF SI/ROADWAY ENT,VICTORY BL/SHERADEN AV,NARROWS RD S/HYLAN BL,92 ST/GATLING PL,VICTORY BL/OCONNOR AV,VICTORY BL/WILLOWBROOK RD,NARROWS RD S/FINGERBOARD RD,4 AV/87 ST,CLOVE RD/HOWARD AV,VICTORY BL/WILLOW RD,VICTORY BL/CLOVE RD,VICTORY BL/WHEELER AV,VICTORY BL/DECATUR AV,VICTORY BL/MANN AV,VICTORY BL/JEWETT AV,VICTORY BL/NEPTUNE PL,VICTORY BL/INGRAM AV,NARROWS RD N/TARGEE ST,4 AV/90 ST,VICTORY BL/N GANNON AV,B ST/1 AV,CLOVE RD /RICHMOND RD,92 ST/FT HAMILTON PY,VICTORY BL/PERRY AV,C ST/1 AV,VICTORY BL/MANOR RD,NARROWS RD N/FINGERBOARD RD,86 ST/5 AV,NARROWS RD N/RICHMOND RD,NARROWS RD N/ST JOHNS AV,VICTORY BL/CRYSTAL AV,VICTORY BL/MARTIN AV,Yukon Depot (YU)
VICTORY BL/LIVERMORE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 LIMITED WILLOWBROOK S I COLL via VICTORY,,
CLOVE RD/NIAGARA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,1.381 LIMITED BAY RIDGE 86 ST STA via VICTORY,,,,,,,,,,,
NARROWS RD SO/TARGEE ST,,,,,,,,0.971 LIMITED BAY RIDGE 86 ST STA via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/BRYSON AV,,,,,,,,,,,0.1 LIMITED WILLOWBROOK S I COLL via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/FT HAMILTON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 LIMITED BAY RIDGE 86 ST STA via VICTORY,,,,,
COLLEGE OF SI/ROADWAY ENT,,,,,,,,,,,,,,,,,,,,,,,,,0.331 LIMITED BAY RIDGE 86 ST STA via VICTORY,,,,,,,,,,,,,
VICTORY BL/SHERADEN AV,,,,,,,,,,,,,,,,,,,,,,0.181 LIMITED BAY RIDGE 86 ST STA via VICTORY,,,,,,,,,,,,,,,,
NARROWS RD S/HYLAN BL,,,,,,,,,,,,0.763 LIMITED BAY RIDGE 86 ST STA via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,
92 ST/GATLING PL,,,,,0.537 LIMITED BAY RIDGE 86 ST STA via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/OCONNOR AV,0.226 LIMITED WILLOWBROOK S I COLL via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
